date,open,high,low,close,volume
2026-04-01,1351.2,1405.4,1348.7,1385.4,3684039.0
2026-04-02,1354.4,1384.2,1332.6,1377.6,3210456.0
2026-04-06,1379.8,1391.8,1348.1,1387.1,2519628.0
2026-04-07,1375.0,1390.0,1368.4,1381.0,1812944.0
2026-04-08,1464.9,1505.7,1449.0,1453.3,7636467.0
2026-04-09,1437.0,1456.2,1415.2,1447.4,3159307.0
2026-04-10,1442.0,1478.1,1438.3,1475.3,4026881.0
2026-04-13,1426.8,1477.9,1421.0,1465.3,3629785.0
2026-04-15,1484.3,1515.0,1480.9,1511.8,4415637.0
2026-04-16,1524.9,1555.8,1510.0,1549.8,7476052.0
2026-04-17,1559.0,1578.5,1549.2,1573.4,6024587.0
2026-04-20,1572.4,1600.5,1566.1,1578.4,2998603.0
2026-04-21,1578.5,1611.9,1578.4,1594.1,4276868.0
2026-04-22,1588.9,1603.4,1582.0,1588.6,1918773.0
2026-04-23,1575.0,1611.0,1566.2,1602.9,2406876.0
2026-04-24,1612.0,1618.8,1556.5,1585.1,2290223.0
2026-04-27,1600.0,1649.9,1593.0,1628.5,3787783.0
2026-04-28,1628.4,1648.0,1624.5,1637.6,2500914.0
2026-04-29,1645.0,1672.0,1644.9,1661.1,2345365.0
2026-04-30,1650.0,1677.0,1596.8,1657.3,6313698.0
2026-05-04,1702.0,1748.6,1687.3,1742.6,7171346.0
2026-05-05,1749.8,1757.4,1718.7,1725.0,4357699.0
