TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-12-01,2025-12-01,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,13200.00,13340.00,13112.02,13164.88,13199.00,13143.54,,13165.28,,,849,11220589.15,114,F1,1,,,,,
2025-12-01,2025-12-01,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,13300.01,13394.84,13105.00,13157.20,13199.00,13102.46,,13157.20,,,170,2248109.22,64,F1,1,,,,,
2025-12-01,2025-12-01,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,13299.00,13499.00,13151.00,13339.31,13340.00,13136.40,,13340.30,,,690,9187722.92,162,F1,1,,,,,
2025-12-01,2025-12-01,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,13166.10,13439.98,13166.10,13295.97,13295.97,13151.35,,13423.91,,,249,3321342.38,67,F1,1,,,,,
2025-12-01,2025-12-01,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,13254.01,13399.96,13155.01,13201.00,13201.00,13187.51,,13201.00,,,185,2460648.94,51,F1,1,,,,,
2025-12-01,2025-12-01,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,13250.01,13398.99,13150.50,13212.73,13200.01,13192.97,,13212.73,,,464,6165364.02,80,F1,1,,,,,
2025-12-01,2025-12-01,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,13395.00,13446.70,13175.05,13254.96,13195.00,13173.19,,13242.01,,,299,3982388.13,81,F1,1,,,,,
2025-12-01,2025-12-01,CM,NSE,STK,623,IN0020170125,SGBDEC25,GB,,,,,2.50%GOLDBONDS 2025 SR-X,12605.00,13000.00,12605.00,12690.00,12690.00,12555.00,,12690.00,,,18,229087.04,9,F1,1,,,,,
2025-12-01,2025-12-01,CM,NSE,STK,729,IN0020170133,SGBDEC25XI,GB,,,,,2.50%GOLDBONDS 2025 SR-XI,12990.00,12990.00,12990.00,12990.00,12990.00,12990.00,,12990.00,,,2,25980.00,1,F1,1,,,,,
2025-12-01,2025-12-01,CM,NSE,STK,795,IN0020170141,SGBDEC2512,GB,,,,,2.50%GOLDBONDS2025 SR-XII,13150.00,13150.00,13150.00,13150.00,13150.00,13150.00,,13150.00,,,2,26300.00,2,F1,1,,,,,
2025-12-01,2025-12-01,CM,NSE,STK,2891,IN0020180033,SGBMAY26,GB,,,,,2.50%GOLDBONDS2026SR-I,13400.00,13500.00,13400.00,13500.00,13500.00,13381.25,,13500.00,,,8,107700.00,2,F1,1,,,,,
2025-12-01,2025-12-01,CM,NSE,STK,5960,IN0020180249,SGBOCT26,GB,,,,,2.50%GOLDBONDS2026SR-II,13400.03,13400.03,13400.03,13400.03,13400.03,13923.66,,13400.03,,,1,13400.03,1,F1,1,,,,,
2025-12-01,2025-12-01,CM,NSE,STK,6355,IN0020180314,SGBNOV26,GB,,,,,2.50%GOLDBONDS2026SR-III,13350.00,13350.00,13350.00,13350.00,13350.00,13350.01,,13350.00,,,3,40050.00,3,F1,1,,,,,
2025-12-01,2025-12-01,CM,NSE,STK,7654,IN0020180389,SGBDEC26,GB,,,,,2.50%GOLDBONDS2026SR-IV,13580.00,13580.00,13111.00,13111.00,13111.00,13928.00,,13111.00,,,4,52913.00,3,F1,1,,,,,
2025-12-01,2025-12-01,CM,NSE,STK,10261,IN0020190073,SGBJUN27,GB,,,,,2.50%GOLDBONDS2027SR-I,13200.00,13200.00,13200.00,13200.00,13200.00,13100.00,,13225.00,,,1,13200.00,1,F1,1,,,,,
2025-12-01,2025-12-01,CM,NSE,STK,11154,IN0020190081,SGBJUL27,GB,,,,,2.50%GOLDBONDS2027SR-II,13025.02,13305.00,13025.02,13200.00,13200.00,13025.01,,13200.00,,,57,752911.54,11,F1,1,,,,,
2025-12-01,2025-12-01,CM,NSE,STK,12904,IN0020190107,SGBAUG27,GB,,,,,2.50%GOLDBONDS2027SR-III,13300.00,13499.97,13120.00,13236.38,13120.00,13121.83,,13245.10,,,111,1480215.84,35,F1,1,,,,,
2025-12-01,2025-12-01,CM,NSE,STK,13209,IN0020190115,SGBSEP27,GB,,,,,2.50%GOLDBONDS2027SR-IV,13300.00,13300.00,13100.01,13100.01,13100.01,13150.00,,13100.01,,,20,264599.99,4,F1,1,,,,,
2025-12-01,2025-12-01,CM,NSE,STK,8308,IN0020180462,SGBJAN27,GB,,,,,2.50%GOLDBONDS2027SR-V,13400.00,13400.00,13350.00,13350.00,13350.00,13221.98,,13350.00,,,8,107100.00,6,F1,1,,,,,
2025-12-01,2025-12-01,CM,NSE,STK,13981,IN0020190370,SGBOCT27,GB,,,,,2.50%GOLDBONDS2027SR-V,13449.99,13449.99,13180.00,13249.95,13249.95,13080.00,,13249.95,,,102,1346201.86,12,F1,1,,,,,
2025-12-01,2025-12-01,CM,NSE,STK,14252,IN0020190388,SGBOCT27VI,GB,,,,,2.50%GOLDBONDS2027SR-VI,13131.64,13249.95,13006.65,13006.65,13006.65,13087.32,,13006.65,,,20,262557.85,6,F1,1,,,,,
2025-12-01,2025-12-01,CM,NSE,STK,15432,IN0020190461,SGBDC27VII,GB,,,,,2.50%GOLDBONDS2027SR-VII,13250.00,13399.98,12980.00,13110.00,13240.00,13118.18,,13110.00,,,41,545153.86,14,F1,1,,,,,
2025-12-01,2025-12-01,CM,NSE,STK,18862,IN0020200062,SGBAPR28I,GB,,,,,2.50%GOLDBONDS2028SR-I,13260.00,13500.00,13130.01,13217.16,13294.00,13119.77,,13228.21,,,561,7489258.66,146,F1,1,,,,,
2025-12-01,2025-12-01,CM,NSE,STK,18972,IN0020200088,SGBMAY28,GB,,,,,2.50%GOLDBONDS2028SR-II,13296.95,13296.96,13089.96,13136.24,13159.99,13096.96,,13137.89,,,345,4543964.01,61,F1,1,,,,,
2025-12-01,2025-12-01,CM,NSE,STK,22242,IN0020200146,SGBJUL28IV,GB,,,,,2.50%GOLDBONDS2028SR-IV,13333.00,13333.00,13080.00,13169.99,13190.00,13098.83,,13169.99,,,2198,28954804.81,166,F1,1,,,,,
2025-12-01,2025-12-01,CM,NSE,STK,17664,IN0020190545,SGBFEB28IX,GB,,,,,2.50%GOLDBONDS2028SR-IX,13299.96,13347.99,13299.96,13299.99,13299.99,13199.97,,13227.50,,,15,199552.48,8,F1,1,,,,,
2025-12-01,2025-12-01,CM,NSE,STK,22385,IN0020200161,SGBAUG28V,GB,,,,,2.50%GOLDBONDS2028SR-V,13279.00,13325.06,13135.00,13198.79,13218.98,13134.06,,13198.42,,,5832,77340446.85,442,F1,1,,,,,
2025-12-01,2025-12-01,CM,NSE,STK,149,IN0020200195,SGBSEP28VI,GB,,,,,2.50%GOLDBONDS2028SR-VI,13200.00,13797.99,13050.00,13119.40,13111.00,13122.71,,13119.40,,,434,5746111.66,83,F1,1,,,,,
2025-12-01,2025-12-01,CM,NSE,STK,834,IN0020200203,SGBOC28VII,GB,,,,,2.50%GOLDBONDS2028SR-VII,13439.01,13600.00,13098.00,13110.94,13150.00,13111.23,,13111.43,,,145,1933500.50,41,F1,1,,,,,
2025-12-01,2025-12-01,CM,NSE,STK,17110,IN0020190537,SGBJ28VIII,GB,,,,,2.50%GOLDBONDS2028SR-VIII,13151.01,13398.96,13151.00,13200.00,13200.00,13150.00,,13200.00,,,65,856254.08,8,F1,1,,,,,
2025-12-01,2025-12-01,CM,NSE,STK,18451,IN0020190552,SGBMAR28X,GB,,,,,2.50%GOLDBONDS2028SR-X,13345.99,13345.99,13108.63,13200.00,13200.00,13125.00,,13200.00,,,69,916555.42,23,F1,1,,,,,
2025-12-01,2025-12-01,CM,NSE,STK,5113,IN0020210111,SGBJUL29IV,GB,,,,,2.50%GOLDBONDS2029SR-IV,13295.00,13377.99,13060.00,13195.09,13219.00,13142.68,,13195.09,,,2029,26838087.72,190,F1,1,,,,,
2025-12-01,2025-12-01,CM,NSE,STK,1920,IN0020200377,SGBJAN29IX,GB,,,,,2.50%GOLDBONDS2029SR-IX,13272.24,13485.56,13250.00,13280.10,13280.10,13206.20,,13360.05,,,506,6721055.79,42,F1,1,,,,,
2025-12-01,2025-12-01,CM,NSE,STK,5455,IN0020210129,SGBAUG29V,GB,,,,,2.50%GOLDBONDS2029SR-V,13490.00,13490.00,13300.00,13397.48,13399.86,13292.24,,13397.48,,,203,2719899.75,61,F1,1,,,,,
2025-12-01,2025-12-01,CM,NSE,STK,7098,IN0020210228,SGBD29VIII,GB,,,,,2.50%GOLDBONDS2029SR-VIII,13827.00,13827.00,13301.00,13376.75,13414.00,13207.69,,13376.75,,,771,10310929.86,111,F1,1,,,,,
2025-12-01,2025-12-01,CM,NSE,STK,2003,IN0020200385,SGBJAN29X,GB,,,,,2.50%GOLDBONDS2029SR-X,13394.56,13399.00,13200.00,13220.00,13220.00,13150.04,,13220.00,,,91,1209166.23,27,F1,1,,,,,
2025-12-01,2025-12-01,CM,NSE,STK,2200,IN0020200393,SGBFEB29XI,GB,,,,,2.50%GOLDBONDS2029SR-XI,13378.00,13648.00,13211.00,13279.00,13300.00,13337.19,,13279.00,,,341,4567100.69,67,F1,1,,,,,
2025-12-01,2025-12-01,CM,NSE,STK,2810,IN0020200427,SGBMR29XII,GB,,,,,2.50%GOLDBONDS2029SR-XII,13150.01,13333.46,13100.00,13171.00,13199.00,13123.62,,13171.00,,,410,5444385.52,98,F1,1,,,,,
2025-12-01,2025-12-01,CM,NSE,STK,10232,IN0020220045,SGBJUN30,GB,,,,,2.50%GOLDBONDS2030SR-I,13341.00,13898.99,13312.25,13591.83,13600.00,13470.52,,13591.83,,,1148,15615042.06,87,F1,1,,,,,
2025-12-01,2025-12-01,CM,NSE,STK,11192,IN0020220078,SGBAUG30,GB,,,,,2.50%GOLDBONDS2030SR-II,13699.00,13899.99,13699.00,13717.44,13802.01,13549.99,,13717.44,,,148,2046892.92,77,F1,1,,,,,
2025-12-01,2025-12-01,CM,NSE,STK,13642,IN0020220110,SGBDE30III,GB,,,,,2.50%GOLDBONDS2030SR-III,13801.00,14200.00,13800.00,14016.06,14012.00,13949.88,,14012.93,,,272,3828537.27,80,F1,1,,,,,
2025-12-01,2025-12-01,CM,NSE,STK,7879,IN0020210236,SGBJAN30IX,GB,,,,,2.50%GOLDBONDS2030SR-IX,13400.00,13500.00,13341.11,13416.11,13341.11,13341.11,,13416.11,,,184,2474633.88,78,F1,1,,,,,
2025-12-01,2025-12-01,CM,NSE,STK,8401,IN0020210319,SGBMAR30X,GB,,,,,2.50%GOLDBONDS2030SR-X,13631.59,13631.59,13408.01,13602.45,13602.45,13364.30,,13571.40,,,40,542953.89,24,F1,1,,,,,
2025-12-01,2025-12-01,CM,NSE,STK,17202,IN0020230069,SGBJUN31I,GB,,,,,2.50%GOLDBONDS2031SR-I,13968.00,14179.98,13626.00,14055.81,14085.86,13962.75,,14055.73,,,677,9534552.38,182,F1,1,,,,,
