date,open,high,low,close,volume
2024-01-01,377.8,386.8,377.45,381.8,11124690.0
2024-01-02,387.4,395.85,384.25,392.65,28363847.0
2024-01-03,394.8,394.8,383.85,384.55,12903439.0
2024-01-04,387.8,389.8,383.9,384.75,11039940.0
2024-01-05,386.8,388.5,382.5,384.25,8369460.0
2024-01-08,386.45,388.65,379.25,380.4,9424716.0
2024-01-09,383.65,387.95,382.1,385.35,9473743.0
2024-01-10,385.85,385.85,375.85,382.05,9670366.0
2024-01-11,385.5,388.9,383.3,384.35,9163771.0
2024-01-12,385.8,385.8,379.55,381.1,7471050.0
2024-01-15,382.5,387.9,381.4,384.65,7490747.0
2024-01-16,385.4,386.95,377.05,381.9,10165133.0
2024-01-17,381.8,385.35,377.2,379.65,10996538.0
2024-01-18,380.8,382.55,368.0,375.65,12493835.0
2024-01-19,380.65,384.9,379.1,383.25,15893456.0
2024-01-23,403.5,404.8,373.65,375.3,16406737.0
2024-01-24,379.8,387.8,374.25,382.6,22938994.0
2024-01-25,386.8,391.7,385.35,389.4,13440949.0
2024-01-29,392.9,414.7,391.5,412.8,27149058.0
2024-01-30,415.75,415.8,401.6,402.55,14159072.0
2024-01-31,405.05,409.15,400.4,406.15,23750822.0
2024-02-01,408.8,411.9,402.5,406.7,8862155.0
2024-02-02,410.8,422.9,409.65,419.8,25177075.0
2024-02-05,423.25,450.0,417.1,440.25,31418925.0
2024-02-06,444.8,451.0,437.25,448.65,13386526.0
2024-02-07,454.0,460.55,447.8,452.65,14430152.0
2024-02-08,454.8,468.6,450.0,459.2,18790158.0
2024-02-09,462.2,463.8,435.65,456.2,17472069.0
2024-02-12,457.0,457.45,430.05,432.8,19472346.0
2024-02-13,443.8,457.85,434.0,452.35,35665854.0
2024-02-14,451.65,468.0,443.0,466.35,18592696.0
2024-02-15,469.0,481.25,467.55,476.85,18501875.0
2024-02-16,482.4,487.6,477.5,480.0,14513583.0
2024-02-19,482.8,487.45,455.45,461.0,19798448.0
2024-02-20,457.95,457.95,441.0,446.5,27899165.0
2024-02-21,450.95,450.95,431.0,432.95,19032050.0
2024-02-22,438.0,448.0,427.95,445.15,22083710.0
2024-02-23,448.0,449.6,441.65,443.9,9625544.0
2024-02-26,443.9,447.25,440.55,442.3,7570244.0
2024-02-27,442.3,445.3,435.05,441.4,8343526.0
2024-02-28,440.3,442.85,430.35,434.2,8893614.0
2024-02-29,444.0,444.0,429.65,436.7,11711699.0
2024-03-01,438.0,448.8,438.0,446.35,8411615.0
2024-03-04,451.85,458.0,448.05,455.4,11977226.0
2024-03-05,456.0,461.75,453.55,460.65,9605493.0
2024-03-06,462.45,464.95,444.55,461.6,14061966.0
2024-03-07,461.6,465.4,456.05,458.6,9680802.0
2024-03-11,461.0,462.85,452.4,453.9,7824738.0
2024-03-12,453.9,455.8,446.7,449.3,8409613.0
2024-03-13,449.3,449.9,410.0,417.05,17803423.0
2024-03-14,419.0,428.85,412.2,427.7,20478918.0
2024-03-15,427.7,428.05,401.2,415.25,25435001.0
2024-03-18,416.0,423.5,413.55,421.85,9803914.0
2024-03-19,417.0,424.6,414.0,419.05,8373676.0
2024-03-20,419.8,422.8,412.7,419.5,6950340.0
2024-03-21,424.0,433.55,423.15,432.05,9911230.0
2024-03-22,430.9,436.2,428.3,431.95,9172888.0
2024-03-26,433.8,440.95,430.9,435.95,9389403.0
2024-03-27,439.8,439.8,426.05,429.45,17985246.0
2024-03-28,430.0,438.45,430.0,434.1,10332853.0
2024-04-01,436.7,443.8,434.8,442.05,7256592.0
2024-04-02,442.05,448.3,436.05,443.2,11530800.0
2024-04-03,443.2,447.0,440.9,445.5,6972648.0
2024-04-04,450.0,453.5,442.55,448.85,14743020.0
2024-04-05,448.75,448.85,444.0,446.95,4820138.0
2024-04-08,449.0,450.45,444.55,447.4,3980972.0
2024-04-09,448.7,450.3,437.25,439.85,8005012.0
2024-04-10,442.55,458.6,442.1,456.35,15825331.0
2024-04-12,455.0,463.45,452.55,455.6,11259294.0
2024-04-15,448.95,455.8,441.1,451.0,7680715.0
2024-04-16,449.0,456.4,446.35,453.2,4996845.0
2024-04-18,454.95,456.8,435.15,438.6,10945138.0
2024-04-19,436.0,438.6,428.05,435.3,7628287.0
2024-04-22,440.9,444.5,438.0,442.95,6396926.0
2024-04-23,445.75,445.75,439.25,440.95,5390120.0
2024-04-24,441.55,448.7,441.15,443.85,6538090.0
2024-04-25,443.0,454.0,441.75,452.45,10858594.0
2024-04-26,454.0,460.45,452.2,455.8,7209435.0
2024-04-29,458.7,458.7,450.55,453.25,5305655.0
2024-04-30,456.4,458.4,452.05,454.3,6021793.0
2024-05-02,457.55,459.55,449.4,453.9,14980896.0
2024-05-03,457.9,475.8,449.4,474.6,51071947.0
2024-05-06,479.0,481.45,444.05,460.6,36408390.0
2024-05-07,463.0,469.5,452.85,456.0,13728379.0
2024-05-08,456.7,471.4,455.1,464.45,16978094.0
2024-05-09,465.35,467.7,441.35,443.5,15601338.0
2024-05-10,447.2,451.15,440.25,449.4,9190621.0
2024-05-13,451.25,451.8,434.7,444.0,11107909.0
2024-05-14,446.7,450.65,445.1,448.7,6592194.0
2024-05-15,450.0,470.0,449.5,467.85,23543942.0
2024-05-16,468.65,475.0,457.85,468.3,17232651.0
2024-05-17,469.05,473.7,466.8,470.25,10625019.0
2024-05-21,469.7,493.9,469.7,490.65,27356982.0
2024-05-22,494.5,507.35,491.6,501.7,28346931.0
2024-05-23,503.4,503.8,492.1,497.3,14378840.0
2024-05-24,495.95,505.4,489.15,501.0,12190536.0
2024-05-27,502.95,503.0,490.75,494.45,8811105.0
2024-05-28,496.0,496.2,484.1,487.65,8165238.0
2024-05-29,482.1,491.9,482.1,486.45,8014727.0
2024-05-30,486.0,487.95,479.5,482.15,7725080.0
2024-05-31,484.4,493.1,479.0,491.2,11223848.0
2024-06-03,515.0,527.4,505.55,512.35,24416215.0
2024-06-04,512.35,512.4,410.8,441.9,48046493.0
2024-06-05,452.0,462.85,425.1,460.55,18966089.0
2024-06-06,470.0,484.4,464.65,472.95,21757857.0
2024-06-07,473.0,481.3,467.6,479.15,8317343.0
2024-06-10,485.0,488.0,475.5,477.7,10958537.0
2024-06-11,482.0,483.5,475.2,476.35,11169021.0
2024-06-12,481.0,494.3,479.35,488.7,15412796.0
2024-06-13,493.9,493.9,483.5,487.9,7438571.0
2024-06-14,487.9,492.4,485.25,486.95,5974636.0
2024-06-18,492.0,492.9,485.2,489.05,6946544.0
2024-06-19,489.4,491.2,476.5,477.95,8962510.0
2024-06-20,481.05,487.4,471.55,483.15,7864157.0
2024-06-21,483.15,491.4,479.0,480.2,10340882.0
2024-06-24,480.0,480.05,472.0,473.7,11124175.0
2024-06-25,475.9,477.95,465.3,469.25,7951999.0
2024-06-26,470.25,471.85,465.05,468.75,6655899.0
2024-06-27,468.75,469.0,461.5,467.05,14857335.0
2024-06-28,470.0,476.0,468.0,473.15,8302706.0
2024-07-01,473.35,476.3,471.25,474.8,8579861.0
2024-07-02,478.0,485.0,473.35,479.1,14629287.0
2024-07-03,481.9,487.65,479.4,484.95,7244652.0
2024-07-04,488.75,492.8,485.3,489.55,7796954.0
2024-07-05,489.5,493.3,486.9,491.5,5754517.0
2024-07-08,492.7,496.0,487.2,493.3,7477292.0
2024-07-09,496.95,496.95,491.1,493.8,6444684.0
2024-07-10,493.8,494.9,480.55,490.75,5981477.0
2024-07-11,492.0,506.0,488.55,500.05,20146927.0
