date,open,high,low,close,volume
2026-04-01,233.22,240.17,233.22,236.52,34530655.0
2026-04-02,230.95,232.5,223.74,231.72,66556155.0
2026-04-06,232.8,234.8,228.02,232.2,31590365.0
2026-04-07,230.25,234.33,225.54,231.97,40364387.0
2026-04-08,243.55,246.92,241.0,243.62,61801744.0
2026-04-09,242.5,244.0,236.7,237.89,38062318.0
2026-04-10,240.4,242.45,237.11,240.23,40180860.0
2026-04-13,234.99,242.64,234.53,236.22,44343479.0
2026-04-15,241.0,248.49,240.05,246.67,56072733.0
2026-04-16,249.25,253.29,247.15,252.7,48279727.0
2026-04-17,253.0,254.87,249.64,252.61,35893335.0
2026-04-20,251.85,257.95,248.11,254.88,39283935.0
2026-04-21,254.89,259.9,254.13,259.48,29052896.0
2026-04-22,257.03,264.8,256.29,262.99,45717764.0
2026-04-23,260.49,262.1,256.43,259.92,33833959.0
2026-04-24,259.9,261.5,252.17,256.79,33365767.0
2026-04-27,257.5,261.27,254.65,255.49,32002337.0
2026-04-28,256.0,260.5,245.0,253.07,104988011.0
2026-04-29,263.3,265.4,253.0,254.03,152137971.0
2026-04-30,249.0,251.69,242.65,247.03,72700438.0
2026-05-04,247.0,252.95,245.0,251.9,40885798.0
2026-05-05,251.0,253.35,245.75,248.47,28498223.0
