date,open,high,low,close,volume
2025-05-05,2730.0,2773.0,2718.3,2755.1,661587.0
2025-05-06,2754.0,2764.5,2718.0,2728.7,288396.0
2025-05-07,2699.0,2727.3,2682.4,2699.9,417883.0
2025-05-08,2685.0,2709.6,2676.5,2698.7,966461.0
2025-05-09,2676.9,2684.0,2626.6,2634.8,444671.0
2025-05-12,2671.1,2761.9,2671.1,2742.8,498304.0
2025-05-13,2741.0,2748.0,2702.7,2708.7,313964.0
2025-05-14,2719.9,2747.0,2705.3,2737.2,330652.0
2025-05-15,2734.3,2829.5,2720.0,2824.8,1353535.0
2025-05-16,2845.0,2845.0,2775.1,2804.2,700214.0
2025-05-19,2820.0,2820.1,2721.0,2727.0,575525.0
2025-05-20,2754.0,2754.0,2710.2,2720.8,520661.0
2025-05-21,2717.0,2749.9,2692.2,2706.9,304264.0
2025-05-22,2700.0,2702.3,2648.3,2674.6,541069.0
2025-05-23,2675.0,2746.9,2651.0,2659.4,990691.0
2025-05-26,2672.5,2696.6,2640.1,2656.4,435977.0
2025-05-27,2656.0,2658.4,2595.0,2614.2,874537.0
2025-05-28,2620.8,2620.8,2570.1,2577.6,849149.0
2025-05-29,2577.6,2593.9,2552.2,2573.6,616258.0
2025-05-30,2575.0,2604.9,2536.0,2545.8,1203864.0
2025-06-02,2546.0,2549.6,2511.0,2524.1,1209305.0
2025-06-03,2543.0,2563.0,2512.1,2552.4,1493898.0
2025-06-04,2556.3,2573.1,2541.8,2549.7,529006.0
2025-06-05,2555.1,2599.0,2538.9,2554.4,950620.0
2025-06-06,2559.8,2578.1,2536.1,2574.4,414844.0
2025-06-09,2585.9,2614.9,2574.7,2608.5,552351.0
2025-06-10,2710.0,2742.0,2666.6,2708.0,2885229.0
2025-06-11,2708.1,2733.9,2678.2,2722.2,812149.0
2025-06-12,2718.1,2729.0,2676.0,2689.1,545570.0
2025-06-13,2652.1,2687.7,2635.8,2663.8,538879.0
2025-06-16,2665.0,2714.0,2652.1,2704.9,494993.0
2025-06-17,2704.9,2706.3,2665.0,2671.4,241142.0
2025-06-18,2671.4,2696.3,2667.3,2675.4,342289.0
2025-06-19,2680.0,2712.0,2670.0,2693.2,609547.0
2025-06-20,2683.0,2732.9,2683.0,2712.6,1232377.0
2025-06-23,2700.0,2737.5,2678.1,2723.7,728851.0
2025-06-24,2746.0,2801.8,2737.3,2780.9,1562447.0
2025-06-25,2791.9,2843.0,2786.5,2831.8,948185.0
2025-06-26,2840.0,2894.9,2832.0,2883.3,1392932.0
2025-06-27,2896.0,2896.0,2844.4,2861.1,678859.0
2025-06-30,2863.3,2890.0,2836.7,2844.5,447868.0
2025-07-01,2842.5,2870.0,2842.5,2848.1,535639.0
2025-07-02,2870.0,2878.9,2835.0,2849.8,917118.0
2025-07-03,2848.4,2849.9,2810.8,2817.6,393434.0
2025-07-04,2817.6,2820.0,2785.7,2805.9,286779.0
