date,open,high,low,close,volume
2026-04-06,774.6,788.3,756.4,786.2,2512596.0
2026-04-07,778.0,787.8,770.3,784.8,1165539.0
2026-04-08,812.0,840.85,810.0,835.95,3572416.0
2026-04-09,831.85,834.9,812.0,814.55,2531440.0
2026-04-10,818.5,835.45,817.8,830.9,1509168.0
2026-04-13,807.1,822.2,800.7,818.9,1555260.0
2026-04-15,832.0,850.0,828.15,840.1,3272348.0
2026-04-16,845.5,857.25,840.9,847.9,3785293.0
2026-04-17,849.0,857.45,838.55,853.9,1850548.0
2026-04-20,853.9,856.0,839.5,851.95,2453075.0
2026-04-21,857.7,865.85,854.85,856.4,975223.0
2026-04-22,851.0,873.0,851.0,870.1,2253573.0
2026-04-23,861.7,869.7,854.15,860.35,1561128.0
2026-04-24,868.0,868.0,839.0,847.95,1453183.0
2026-04-27,865.2,903.5,865.2,900.15,11254307.0
2026-04-28,890.15,895.7,882.45,885.55,5748485.0
2026-04-29,891.0,925.0,891.0,913.75,3485256.0
2026-04-30,906.0,920.0,895.25,916.05,3438569.0
2026-05-04,925.25,942.4,911.1,913.9,1973688.0
2026-05-05,911.1,918.1,903.0,910.7,2006111.0
2026-05-06,920.4,949.75,917.95,946.75,2901974.0
