date,open,high,low,close,volume
2025-04-07,1352.0,1405.9,1307.0,1396.75,21715252.0
2025-04-08,1431.0,1456.5,1415.0,1428.8,12805001.0
2025-04-09,1405.05,1409.45,1381.9,1403.7,8546854.0
2025-04-11,1411.25,1438.8,1397.05,1409.45,12567440.0
2025-04-15,1445.6,1447.7,1409.0,1426.0,10178530.0
2025-04-16,1425.0,1427.5,1396.8,1413.1,12022740.0
2025-04-17,1398.0,1429.8,1378.3,1419.5,14264227.0
2025-04-21,1410.0,1471.8,1410.0,1451.0,15648970.0
2025-04-22,1440.0,1440.0,1419.3,1422.8,9399738.0
2025-04-23,1446.0,1487.8,1439.6,1474.9,11136642.0
2025-04-24,1469.9,1482.9,1461.5,1471.4,7114292.0
2025-04-25,1475.5,1501.7,1463.5,1480.2,8329979.0
2025-04-28,1480.2,1489.6,1465.3,1482.1,5886253.0
2025-04-29,1482.0,1509.8,1474.1,1497.5,8056743.0
2025-04-30,1496.8,1508.8,1482.6,1500.1,7704183.0
2025-05-02,1499.7,1523.2,1496.2,1506.8,8733014.0
2025-05-05,1515.0,1523.0,1502.8,1508.6,4282493.0
2025-05-06,1506.0,1515.6,1499.1,1511.5,4270530.0
2025-05-07,1500.0,1518.8,1496.6,1508.3,5691799.0
2025-05-08,1508.0,1516.5,1501.2,1511.4,8424409.0
2025-05-09,1500.7,1511.4,1494.1,1507.6,4478653.0
2025-05-12,1537.0,1632.0,1532.0,1626.9,11372857.0
2025-05-13,1609.0,1612.2,1564.6,1568.6,12846210.0
2025-05-14,1574.0,1595.0,1569.5,1592.4,4870057.0
2025-05-15,1589.8,1618.6,1571.0,1613.0,11151167.0
2025-05-16,1612.6,1612.6,1581.5,1589.9,4576751.0
2025-05-19,1576.5,1585.0,1555.7,1559.8,8855798.0
2025-05-20,1570.0,1583.5,1558.0,1560.6,7143998.0
2025-05-21,1567.9,1571.0,1552.1,1568.5,4157309.0
2025-05-22,1555.5,1560.8,1540.0,1547.5,6158990.0
2025-05-23,1550.0,1587.2,1550.0,1564.8,5038421.0
2025-05-26,1566.6,1583.8,1562.7,1580.5,3170102.0
2025-05-27,1579.9,1582.9,1556.4,1570.1,7775714.0
2025-05-28,1581.0,1587.7,1570.0,1571.8,3623370.0
2025-05-29,1589.0,1608.9,1576.6,1585.6,8609500.0
2025-05-30,1571.0,1572.0,1555.1,1562.7,13148092.0
2025-06-02,1560.0,1560.0,1539.0,1553.8,4374509.0
2025-06-03,1559.0,1567.3,1535.6,1543.0,6853403.0
2025-06-04,1543.0,1557.3,1541.4,1551.2,4548307.0
2025-06-05,1547.9,1567.7,1541.6,1554.3,6948539.0
2025-06-06,1554.7,1568.9,1543.1,1563.8,3960020.0
2025-06-09,1578.0,1588.0,1571.0,1572.9,2903202.0
2025-06-10,1584.0,1607.5,1577.5,1596.0,8591925.0
2025-06-11,1590.1,1634.6,1590.1,1631.1,10597410.0
2025-06-12,1617.0,1628.0,1598.1,1608.6,10483574.0
2025-06-13,1576.0,1609.0,1570.2,1602.0,6968315.0
2025-06-16,1600.0,1634.8,1597.1,1623.8,5591842.0
2025-06-17,1620.7,1647.4,1615.6,1639.9,7622083.0
