date,open,high,low,close,volume
2025-05-06,960.0,971.9,955.0,967.5,1462046.0
2025-05-07,957.9,975.0,957.9,966.1,1014461.0
2025-05-08,962.5,969.5,949.0,953.2,1646385.0
2025-05-09,935.0,959.0,935.0,957.0,1481537.0
2025-05-12,973.0,1007.7,969.7,1005.2,1335817.0
2025-05-13,1005.2,1010.9,988.1,989.9,934177.0
2025-05-14,995.2,1012.1,987.0,989.3,1650066.0
2025-05-15,993.0,1040.6,990.0,1038.3,5297654.0
2025-05-16,1043.4,1044.6,1020.3,1021.8,1048380.0
2025-05-19,1033.9,1034.0,1016.7,1019.6,1434608.0
2025-05-20,1031.0,1034.5,1010.8,1012.7,1624336.0
2025-05-21,1016.0,1018.9,999.1,1000.9,875245.0
2025-05-22,1002.0,1011.5,987.9,1005.6,1283310.0
2025-05-23,1011.0,1022.5,1005.1,1008.5,1568154.0
2025-05-26,1009.2,1036.0,979.5,1032.3,4716572.0
2025-05-27,1032.0,1033.1,1009.0,1013.7,1158374.0
2025-05-28,1014.9,1017.9,998.5,1001.0,1790498.0
2025-05-29,1020.4,1023.7,998.2,1006.2,3282246.0
2025-05-30,1003.0,1012.5,990.5,993.5,1710817.0
2025-06-02,987.0,987.0,969.25,978.8,1790184.0
2025-06-03,980.05,987.35,972.05,973.8,1138571.0
2025-06-04,973.0,979.5,962.15,968.55,2398032.0
2025-06-05,972.8,976.9,964.65,968.75,2182562.0
2025-06-06,968.75,1010.65,967.65,1004.9,2089570.0
2025-06-09,1006.3,1017.0,1001.95,1008.0,1864322.0
2025-06-10,1015.0,1019.15,1000.8,1003.1,1747781.0
2025-06-11,1003.95,1016.0,1003.95,1007.1,1003090.0
2025-06-12,1007.1,1010.0,992.55,995.65,2223026.0
2025-06-13,984.7,994.05,981.35,987.25,1044815.0
2025-06-16,987.25,1011.0,984.2,1003.8,871032.0
2025-06-17,1004.5,1010.45,997.9,999.65,1075499.0
2025-06-18,997.0,998.95,983.75,986.35,854561.0
2025-06-19,986.9,997.95,985.0,996.05,1391083.0
2025-06-20,993.95,1024.0,993.6,1005.55,9697195.0
2025-06-23,1005.0,1005.2,983.5,997.0,1132847.0
2025-06-24,1006.0,1022.55,1001.3,1007.0,1434360.0
2025-06-25,1008.0,1027.8,1008.0,1024.45,2029126.0
2025-06-26,1030.0,1040.5,1017.15,1032.55,3892783.0
2025-06-27,1038.45,1045.7,1023.2,1028.9,1941604.0
2025-06-30,1033.05,1033.1,1014.5,1020.5,765716.0
2025-07-01,1023.7,1031.6,1016.2,1029.6,988673.0
2025-07-02,1031.0,1064.9,1031.0,1059.9,3166924.0
2025-07-03,1065.0,1067.8,1042.6,1046.1,1703765.0
2025-07-04,1051.7,1051.7,1032.1,1041.4,961108.0
2025-07-07,1041.0,1045.0,1035.3,1042.6,871937.0
2025-07-08,1042.0,1049.6,1039.3,1045.0,828011.0
2025-07-09,1051.7,1052.0,1033.4,1040.4,1666607.0
2025-07-10,1040.9,1049.6,1034.1,1043.3,1101654.0
2025-07-11,1043.0,1051.2,1034.1,1037.2,931901.0
2025-07-14,1040.0,1044.9,1031.8,1038.9,1238524.0
2025-07-15,1044.7,1044.7,1028.2,1035.0,982842.0
2025-07-16,1034.0,1035.0,1020.5,1029.8,1099243.0
2025-07-17,1030.5,1041.7,1023.5,1034.2,1553977.0
2025-07-18,1039.0,1053.5,1027.0,1034.4,1694015.0
2025-07-21,1051.0,1053.5,1018.3,1034.8,2771028.0
2025-07-22,1038.6,1043.2,1028.6,1030.7,1237568.0
2025-07-23,1034.0,1037.8,1025.0,1033.8,1192492.0
2025-07-24,1039.0,1048.8,1031.8,1033.8,1462398.0
2025-07-25,1033.8,1035.0,1020.1,1026.9,912255.0
2025-07-28,1029.0,1034.0,1017.4,1028.8,1839488.0
2025-07-29,1023.8,1051.3,1023.8,1034.9,2215340.0
2025-07-30,1046.4,1052.3,1031.7,1037.9,1781038.0
2025-07-31,1018.0,1058.6,1018.0,1048.3,3144726.0
