date,open,high,low,close,volume
2026-04-01,363.8,364.05,355.0,356.05,21245776.0
2026-04-02,350.3,359.85,345.5,358.0,22056018.0
2026-04-06,358.0,361.4,350.1,360.55,18320378.0
2026-04-07,357.0,364.0,357.0,362.95,23655155.0
2026-04-08,377.0,381.15,369.45,380.15,30162218.0
2026-04-09,377.0,378.7,369.45,371.9,12422256.0
2026-04-10,373.5,379.15,372.35,374.55,23751660.0
2026-04-13,367.95,373.0,365.6,371.9,30027087.0
2026-04-15,375.5,383.0,375.5,382.4,19100372.0
2026-04-16,383.15,386.45,378.25,379.15,12060624.0
2026-04-17,379.3,385.2,376.65,383.6,11626179.0
2026-04-20,384.1,386.0,378.0,379.2,11146713.0
2026-04-21,381.45,383.15,378.35,382.15,12323488.0
2026-04-22,378.1,382.8,376.25,376.85,14471487.0
2026-04-23,370.05,375.95,367.65,370.4,27628052.0
2026-04-24,370.6,372.8,367.65,370.85,19678907.0
2026-04-27,375.0,380.45,373.25,376.8,11559552.0
2026-04-28,372.0,383.25,372.0,377.95,12852733.0
2026-04-29,378.0,386.05,377.55,382.0,7913344.0
2026-04-30,376.6,386.85,375.3,383.3,24812228.0
2026-05-04,378.9,382.05,363.0,371.65,74467483.0
2026-05-05,371.0,375.5,368.75,371.35,19084772.0
