date,open,high,low,close,volume
2026-04-06,1190.0,1218.8,1179.0,1216.0,1460974.0
2026-04-07,1204.4,1225.4,1194.2,1222.8,1434686.0
2026-04-08,1238.0,1250.6,1209.3,1213.7,1638620.0
2026-04-09,1209.5,1230.1,1206.4,1228.7,1258634.0
2026-04-10,1230.8,1252.3,1229.1,1249.3,1358310.0
2026-04-13,1239.3,1246.8,1222.1,1226.1,1346881.0
2026-04-15,1235.0,1259.9,1232.3,1256.6,1236533.0
2026-04-16,1255.1,1261.9,1246.5,1257.4,1126023.0
2026-04-17,1258.1,1292.0,1252.8,1285.6,1994195.0
2026-04-20,1294.0,1294.3,1274.6,1286.4,1156327.0
2026-04-21,1298.1,1396.0,1286.8,1379.9,9586515.0
2026-04-22,1391.0,1425.2,1386.0,1395.8,7723484.0
2026-04-23,1388.9,1415.0,1382.1,1410.5,2963135.0
2026-04-24,1420.0,1430.9,1409.1,1421.3,3419416.0
2026-04-27,1429.0,1437.9,1410.0,1417.3,1719329.0
2026-04-28,1417.9,1445.1,1401.0,1440.0,4008095.0
2026-04-29,1445.0,1470.0,1436.1,1465.6,2753356.0
2026-04-30,1466.0,1466.0,1436.1,1458.6,2305703.0
2026-05-04,1460.0,1472.9,1446.3,1457.1,1744112.0
2026-05-05,1456.0,1480.4,1447.6,1477.8,2490700.0
2026-05-06,1485.0,1490.0,1468.2,1486.1,2133310.0
