date,open,high,low,close,volume
2026-04-06,1757.5,1844.5,1757.5,1836.8,1721071.0
2026-04-07,1814.5,1845.9,1805.5,1841.4,974742.0
2026-04-08,1880.0,1923.0,1870.0,1907.6,1104494.0
2026-04-09,1907.0,1930.0,1881.1,1904.0,1330082.0
2026-04-10,1914.9,1950.6,1914.3,1923.2,763543.0
2026-04-13,1909.0,1931.8,1889.0,1914.4,638729.0
2026-04-15,1929.8,1974.2,1928.1,1971.0,1341053.0
2026-04-16,1971.1,1990.9,1962.1,1974.7,642257.0
2026-04-17,1967.0,1975.8,1954.9,1970.9,533713.0
2026-04-20,1976.3,1989.6,1956.6,1982.5,1033871.0
2026-04-21,1974.4,1975.8,1891.7,1911.6,5153618.0
2026-04-22,1910.0,1930.6,1880.0,1884.8,4044590.0
2026-04-23,1865.0,1886.7,1807.7,1828.1,4199895.0
2026-04-24,1817.0,1836.3,1762.1,1768.9,5283235.0
2026-04-27,1768.9,1818.5,1759.0,1815.4,1918952.0
2026-04-28,1814.6,1824.0,1798.8,1808.3,1487099.0
2026-04-29,1808.6,1829.5,1792.9,1816.2,1431080.0
2026-04-30,1814.9,1826.0,1785.2,1819.0,1082053.0
2026-05-04,1810.1,1845.0,1810.1,1820.1,1929706.0
2026-05-05,1820.0,1835.0,1802.6,1821.2,1003169.0
2026-05-06,1839.0,1868.9,1825.9,1859.0,1236623.0
