date,open,high,low,close,volume
2026-04-01,915.6,926.3,895.75,900.55,11752172.0
2026-04-02,876.0,895.0,863.45,891.6,7230236.0
2026-04-06,895.0,931.0,885.65,928.0,5898399.0
2026-04-07,920.0,932.4,910.05,930.65,5503677.0
2026-04-08,975.0,1035.45,975.0,1023.2,18256527.0
2026-04-09,1010.1,1015.0,990.45,996.3,7668209.0
2026-04-10,1016.1,1031.0,1011.25,1027.55,8048521.0
2026-04-13,1000.15,1015.5,988.8,1004.1,8242484.0
2026-04-15,1030.0,1043.5,1016.45,1020.95,7869459.0
2026-04-16,1026.1,1034.35,1015.35,1022.75,5716035.0
2026-04-17,1022.0,1039.5,1013.15,1036.95,4345572.0
2026-04-20,1040.0,1049.95,1026.0,1045.15,4670588.0
2026-04-21,1054.0,1062.7,1039.25,1045.3,5699181.0
2026-04-22,1050.0,1053.7,1029.4,1044.55,4404420.0
2026-04-23,1044.9,1044.9,1006.35,1009.3,4658783.0
2026-04-24,1006.95,1030.4,983.55,1011.3,9263466.0
2026-04-27,1011.3,1012.0,963.75,974.65,15096574.0
2026-04-28,974.5,979.75,949.3,953.25,6752420.0
2026-04-29,965.0,975.3,954.9,956.85,5829309.0
2026-04-30,945.2,950.0,921.0,937.35,5990764.0
2026-05-04,942.0,969.0,942.0,960.45,4018048.0
2026-05-05,955.65,966.9,937.3,964.4,4029508.0
