date,open,high,low,close,volume
2021-05-07,1305.0,1322.4,1290.45,1298.9,4584524.0
2021-05-10,1294.9,1314.0,1286.3,1304.1,3892338.0
2021-05-11,1292.0,1326.0,1284.0,1303.5,4744734.0
2021-05-12,1311.0,1328.5,1278.6,1285.8,4143731.0
2021-05-14,1300.0,1302.0,1213.35,1220.35,6377643.0
2021-05-17,1230.0,1299.0,1227.45,1289.1,7782732.0
2021-05-18,1314.95,1344.95,1302.0,1326.7,6531595.0
2021-05-19,1350.0,1351.55,1283.9,1294.7,9925284.0
2021-05-20,1301.3,1320.0,1283.95,1302.0,5837747.0
2021-05-21,1320.0,1336.0,1300.05,1315.1,8314215.0
2021-05-24,1321.7,1328.65,1303.0,1306.8,7913411.0
2021-05-25,1314.35,1322.0,1272.9,1282.75,3697062.0
2021-05-26,1288.95,1326.85,1254.25,1322.8,5630730.0
2021-05-27,1329.5,1342.0,1304.25,1325.8,36690935.0
2021-05-28,1311.6,1330.45,1298.0,1302.6,2979585.0
2021-05-31,1307.05,1321.5,1292.0,1316.3,2709718.0
2021-06-01,1319.9,1430.0,1309.05,1416.25,10018645.0
2021-06-02,1425.55,1557.0,1413.0,1546.75,24541949.0
2021-06-03,1564.0,1623.8,1553.0,1583.1,19107244.0
2021-06-04,1605.0,1713.55,1585.8,1700.95,21102075.0
2021-06-07,1715.0,1717.2,1613.0,1624.3,15350263.0
2021-06-08,1633.0,1668.0,1602.45,1636.45,12410257.0
2021-06-09,1640.0,1649.45,1571.85,1594.65,11614666.0
2021-06-10,1612.0,1630.0,1591.0,1612.0,5362307.0
2021-06-11,1615.1,1620.1,1575.25,1601.6,5355387.0
2021-06-14,1441.45,1529.95,1201.2,1501.45,43530006.0
2021-06-15,1550.95,1572.6,1477.2,1538.85,22320542.0
2021-06-16,1510.0,1538.2,1409.3,1448.3,12626149.0
2021-06-17,1380.0,1436.0,1303.5,1367.7,27926070.0
2021-06-18,1350.0,1504.0,1332.55,1487.5,30526777.0
2021-06-21,1490.0,1582.0,1444.85,1540.0,21101083.0
2021-06-22,1554.05,1582.0,1531.8,1541.6,12069983.0
2021-06-23,1560.1,1569.95,1481.3,1504.75,12679703.0
2021-06-24,1509.95,1519.0,1488.05,1508.5,7261764.0
2021-06-25,1525.0,1534.0,1501.0,1519.45,4962963.0
2021-06-28,1524.9,1565.0,1518.2,1525.75,6178022.0
2021-06-29,1526.0,1548.7,1513.0,1523.55,5551918.0
2021-06-30,1539.0,1539.0,1502.7,1507.55,3256147.0
2021-07-01,1509.55,1522.55,1482.9,1490.25,3759914.0
2021-07-02,1490.25,1507.7,1411.55,1422.05,6653653.0
2021-07-05,1427.0,1443.95,1350.6,1394.35,12239845.0
2021-07-06,1400.9,1444.15,1378.75,1414.8,9485434.0
2021-07-07,1420.0,1437.1,1385.0,1425.65,5549751.0
2021-07-08,1420.0,1445.0,1411.8,1425.9,3898830.0
2021-07-09,1425.9,1456.6,1416.45,1431.35,4502324.0
2021-07-12,1442.0,1447.0,1414.15,1420.7,2557189.0
2021-07-13,1433.0,1433.0,1385.2,1417.7,4157955.0
2021-07-14,1449.0,1449.0,1397.8,1402.05,3859529.0
2021-07-15,1399.0,1429.0,1393.4,1407.95,2728305.0
2021-07-16,1409.0,1415.0,1388.25,1395.5,2134914.0
2021-07-19,1390.0,1412.65,1332.75,1380.6,6190302.0
2021-07-20,1340.0,1382.9,1336.1,1365.7,4529933.0
2021-07-22,1375.0,1424.9,1340.5,1416.75,5009804.0
2021-07-23,1430.0,1434.85,1386.2,1401.65,4694140.0
2021-07-26,1399.8,1416.8,1392.0,1403.9,2054318.0
2021-07-27,1403.9,1424.6,1378.15,1396.75,2978042.0
2021-07-28,1406.85,1424.8,1378.6,1399.9,3188606.0
2021-07-29,1413.95,1425.0,1397.0,1400.25,2538248.0
2021-07-30,1409.5,1449.5,1400.25,1420.25,4403219.0
2021-08-02,1435.0,1445.0,1424.1,1438.2,2483790.0
2021-08-03,1467.0,1467.0,1422.2,1442.8,4442122.0
2021-08-04,1460.0,1460.0,1423.05,1429.55,3341801.0
2021-08-05,1428.0,1438.0,1407.4,1432.35,2104359.0
2021-08-06,1422.0,1555.0,1422.0,1536.65,14250256.0
2021-08-09,1546.7,1565.0,1482.5,1493.4,6031426.0
2021-08-10,1488.0,1498.65,1426.05,1446.5,3581449.0
2021-08-11,1455.0,1456.6,1407.0,1437.05,3197412.0
2021-08-12,1443.6,1458.0,1430.25,1442.9,2455443.0
2021-08-13,1445.0,1454.0,1428.0,1437.0,2095991.0
2021-08-16,1431.5,1449.7,1413.55,1430.1,1909352.0
2021-08-17,1431.0,1451.0,1416.2,1441.65,3062815.0
2021-08-18,1441.9,1496.8,1432.6,1460.0,4738820.0
2021-08-20,1438.0,1482.65,1411.0,1430.1,4933377.0
2021-08-23,1415.05,1427.75,1361.55,1396.7,4866080.0
2021-08-24,1407.0,1448.4,1390.0,1437.8,3362312.0
2021-08-25,1444.25,1481.8,1425.0,1475.35,5361140.0
2021-08-26,1482.0,1494.65,1460.4,1475.7,4678919.0
2021-08-27,1475.0,1515.0,1474.1,1506.05,5164477.0
2021-08-30,1513.75,1527.0,1493.3,1516.55,3149863.0
2021-08-31,1517.3,1596.85,1512.8,1587.6,7234384.0
2021-09-01,1594.9,1600.85,1561.5,1565.2,3056760.0
2021-09-02,1571.0,1594.3,1565.5,1570.55,2171898.0
2021-09-03,1578.5,1581.4,1551.55,1565.55,1687999.0
2021-09-06,1572.0,1628.45,1566.05,1582.0,5562312.0
2021-09-07,1585.1,1592.35,1553.0,1558.1,1651169.0
2021-09-08,1559.9,1579.0,1538.25,1555.95,2084219.0
2021-09-09,1561.6,1565.5,1535.05,1545.0,1243149.0
2021-09-13,1548.0,1557.0,1525.25,1532.45,1759456.0
2021-09-14,1539.9,1547.25,1497.05,1513.2,7143757.0
2021-09-15,1524.0,1545.6,1496.9,1516.8,12834337.0
2021-09-16,1523.0,1535.0,1499.75,1503.2,7616906.0
2021-09-17,1503.2,1525.0,1465.75,1480.25,3329954.0
2021-09-20,1464.9,1488.5,1409.95,1418.85,2273312.0
2021-09-21,1420.0,1446.95,1381.35,1441.45,2682157.0
2021-09-22,1435.0,1462.65,1424.35,1437.75,1663858.0
2021-09-23,1453.0,1480.0,1441.1,1474.35,1622616.0
2021-09-24,1483.0,1516.0,1455.0,1461.7,2760295.0
2021-09-27,1462.0,1544.0,1462.0,1531.25,4737676.0
2021-09-28,1557.0,1557.9,1475.0,1487.3,3547971.0
2021-09-29,1466.3,1498.0,1464.3,1485.65,1764350.0
2021-09-30,1484.7,1519.0,1463.35,1468.1,2072145.0
2021-10-01,1465.0,1468.75,1422.65,1458.7,2311858.0
2021-10-04,1471.0,1531.0,1460.1,1526.65,3209302.0
2021-10-05,1515.0,1557.85,1512.35,1527.65,2544835.0
2021-10-06,1529.8,1541.0,1472.0,1479.55,1777998.0
2021-10-07,1502.85,1535.75,1490.0,1520.75,1919106.0
2021-10-08,1522.0,1569.45,1511.45,1547.9,2646112.0
2021-10-11,1553.0,1563.7,1532.15,1539.75,1910095.0
2021-10-12,1539.0,1566.9,1514.5,1554.45,1900749.0
2021-10-13,1568.45,1608.3,1551.3,1569.7,3923958.0
2021-10-14,1580.0,1656.0,1574.8,1646.35,5256882.0
2021-10-18,1672.95,1672.95,1608.55,1615.5,3791222.0
2021-10-19,1625.2,1637.0,1562.05,1569.45,1822638.0
2021-10-20,1574.0,1607.35,1539.1,1589.7,2768997.0
2021-10-21,1601.95,1626.85,1581.7,1595.05,3129269.0
2021-10-22,1595.05,1608.8,1537.0,1543.0,2580699.0
2021-10-25,1545.0,1551.4,1494.05,1532.2,2276050.0
2021-10-26,1532.0,1557.25,1520.9,1543.85,1661783.0
2021-10-27,1548.0,1581.15,1540.0,1566.55,2121282.0
2021-10-28,1550.0,1566.9,1367.7,1398.55,7093354.0
2021-10-29,1400.0,1454.8,1377.75,1423.6,3165141.0
2021-11-01,1436.0,1457.0,1411.2,1445.3,1543436.0
2021-11-02,1455.0,1489.0,1452.8,1472.8,1667692.0
2021-11-03,1474.0,1501.0,1464.45,1485.9,1710819.0
2021-11-04,1495.0,1511.5,1483.0,1489.45,272261.0
2021-11-08,1495.0,1575.15,1485.65,1568.25,2565017.0
2021-11-09,1555.0,1659.0,1554.95,1635.45,4713708.0
2021-11-10,1625.55,1686.0,1620.4,1655.85,3728328.0
2021-11-11,1650.0,1704.0,1640.85,1664.9,4470709.0
2021-11-12,1678.3,1719.5,1670.1,1705.2,5349189.0
2021-11-15,1713.75,1764.0,1691.8,1749.55,3997553.0
2021-11-16,1759.45,1766.55,1706.9,1711.6,2172117.0
2021-11-17,1714.0,1729.7,1682.5,1706.45,1476385.0
2021-11-18,1708.0,1714.0,1640.0,1688.75,2255988.0
2021-11-22,1691.4,1701.4,1610.05,1675.75,2552170.0
2021-11-23,1660.15,1720.35,1650.0,1707.95,2472589.0
2021-11-24,1721.6,1788.9,1712.45,1755.15,4562858.0
2021-11-25,1762.95,1773.7,1735.55,1763.05,2341862.0
2021-11-26,1740.0,1768.55,1660.85,1669.55,3510810.0
2021-11-29,1655.0,1697.0,1609.85,1665.05,2119826.0
2021-11-30,1668.0,1718.65,1648.15,1662.85,2952368.0
2021-12-01,1694.0,1705.0,1652.35,1693.3,2476360.0
2021-12-02,1692.5,1735.0,1687.65,1732.25,2159661.0
2021-12-03,1734.0,1745.0,1701.1,1708.1,1544077.0
2021-12-06,1710.0,1727.95,1640.0,1645.6,1574680.0
2021-12-07,1658.9,1686.7,1654.0,1678.45,1476012.0
2021-12-08,1679.8,1726.4,1679.05,1715.5,1406394.0
2021-12-09,1725.0,1739.25,1706.6,1722.25,1306393.0
2021-12-10,1710.6,1788.0,1710.6,1740.4,2708578.0
2021-12-13,1755.0,1762.2,1711.1,1719.55,1104594.0
2021-12-14,1712.0,1727.9,1683.0,1720.1,1198653.0
2021-12-15,1720.0,1727.0,1687.05,1695.3,866378.0
2021-12-16,1707.3,1719.85,1687.0,1702.05,751885.0
2021-12-17,1698.95,1702.0,1640.0,1645.3,1215873.0
2021-12-20,1629.0,1629.0,1555.2,1589.95,1945211.0
2021-12-21,1621.1,1645.9,1602.9,1620.5,1563851.0
2021-12-22,1631.25,1663.45,1627.0,1658.1,993006.0
2021-12-23,1674.7,1684.2,1658.2,1676.2,979023.0
2021-12-24,1680.0,1703.95,1658.2,1698.2,1234386.0
2021-12-27,1694.75,1738.0,1686.05,1730.2,1672655.0
2021-12-28,1740.0,1760.0,1728.1,1751.0,1552918.0
2021-12-29,1751.0,1755.0,1709.4,1718.05,1100579.0
2021-12-30,1714.0,1725.0,1685.0,1696.4,1359574.0
2021-12-31,1694.95,1725.0,1691.05,1709.45,1310960.0
2022-01-03,1713.0,1733.0,1711.2,1717.15,1094708.0
2022-01-04,1725.75,1728.0,1700.0,1719.0,1191189.0
2022-01-05,1722.0,1744.65,1702.55,1715.45,1583598.0
2022-01-06,1710.0,1723.85,1675.6,1713.1,1615375.0
2022-01-07,1719.9,1730.8,1689.5,1699.1,1295933.0
2022-01-10,1707.55,1766.0,1699.1,1752.6,1670551.0
2022-01-11,1758.0,1850.0,1737.0,1843.9,5126019.0
2022-01-12,1873.0,1873.0,1808.3,1830.1,2518912.0
2022-01-13,1834.0,1863.0,1808.0,1853.35,1881069.0
2022-01-14,1850.0,1890.45,1831.1,1870.25,2357616.0
2022-01-17,1876.0,1901.4,1855.65,1877.8,1700525.0
2022-01-18,1885.0,1908.5,1830.05,1840.95,2294146.0
2022-01-19,1839.8,1857.0,1811.25,1849.3,1544606.0
2022-01-20,1855.0,1880.35,1843.7,1865.85,1252017.0
2022-01-21,1860.85,1873.0,1810.75,1828.35,1929667.0
2022-01-24,1822.0,1827.45,1696.55,1715.8,2381112.0
2022-01-25,1668.0,1750.55,1668.0,1741.4,1817963.0
2022-01-27,1718.0,1725.55,1654.5,1686.0,3549583.0
2022-01-28,1702.5,1744.1,1683.95,1693.7,1624750.0
2022-01-31,1708.95,1734.0,1705.0,1714.95,1024738.0
2022-02-01,1727.95,1765.1,1699.15,1746.9,1574361.0
2022-02-02,1755.0,1786.0,1747.0,1779.35,1405276.0
2022-02-03,1771.95,1787.0,1746.4,1751.85,588866.0
2022-02-04,1758.0,1770.0,1733.7,1757.3,855996.0
2022-02-07,1765.0,1765.5,1722.1,1731.8,854871.0
2022-02-08,1739.4,1747.0,1677.05,1716.0,1480201.0
2022-02-09,1724.6,1791.9,1718.1,1783.15,1674022.0
2022-02-10,1799.0,1809.0,1766.0,1786.1,1747943.0
2022-02-11,1764.0,1774.9,1743.35,1764.3,1196002.0
2022-02-14,1736.3,1737.9,1653.0,1663.95,1919476.0
2022-02-15,1636.0,1751.4,1627.85,1744.25,2261554.0
2022-02-16,1744.25,1776.0,1730.0,1738.1,1663614.0
2022-02-17,1750.0,1762.0,1724.0,1730.95,1075487.0
2022-02-18,1739.0,1754.6,1725.0,1736.3,945100.0
2022-02-21,1738.8,1738.8,1671.3,1685.2,1449291.0
2022-02-22,1636.1,1678.9,1630.0,1667.7,1717579.0
2022-02-23,1682.0,1717.5,1670.0,1688.7,1285012.0
2022-02-24,1626.0,1648.6,1528.8,1543.95,2798065.0
2022-02-25,1594.0,1638.1,1578.8,1618.7,1741584.0
2022-02-28,1603.75,1651.1,1592.25,1644.45,1869037.0
2022-03-02,1638.0,1664.25,1615.5,1641.8,1249817.0
2022-03-03,1670.0,1678.2,1634.95,1643.8,1333325.0
2022-03-04,1621.8,1655.5,1601.2,1615.0,1433490.0
2022-03-07,1590.0,1592.0,1539.3,1564.05,1508821.0
2022-03-08,1574.9,1607.4,1553.4,1601.6,1396347.0
2022-03-09,1609.6,1669.95,1608.0,1656.55,1498176.0
2022-03-10,1682.0,1749.6,1678.25,1742.85,2294474.0
2022-03-11,1750.0,1757.0,1721.2,1734.1,1354129.0
2022-03-14,1732.0,1752.45,1722.45,1736.1,659190.0
2022-03-15,1740.0,1754.2,1686.65,1701.4,1085901.0
2022-03-16,1724.0,1764.0,1718.65,1758.0,1269866.0
2022-03-17,1775.6,1823.6,1760.0,1819.65,2392329.0
2022-03-21,1836.05,1841.9,1796.15,1802.95,1081052.0
2022-03-22,1802.95,1837.0,1790.0,1831.55,964066.0
2022-03-23,1848.05,1848.05,1800.85,1811.0,1553366.0
2022-03-24,1815.0,1839.55,1800.15,1832.8,1030145.0
2022-03-25,1835.55,1878.0,1822.0,1867.0,1366115.0
2022-03-28,1876.9,1924.4,1851.05,1909.7,1895438.0
2022-03-29,1919.25,1930.9,1885.5,1917.25,1715098.0
2022-03-30,1927.7,2015.0,1917.3,1995.25,3215951.0
2022-03-31,2005.0,2042.0,1991.0,2014.75,2786973.0
2022-04-01,2018.0,2049.0,2013.05,2043.65,1267111.0
2022-04-04,2050.0,2075.5,2032.0,2065.85,1334265.0
2022-04-05,2078.0,2189.8,2067.6,2139.85,4970260.0
2022-04-06,2153.75,2182.85,2124.2,2160.0,2259018.0
2022-04-07,2165.95,2214.95,2081.25,2099.05,3499044.0
2022-04-08,2115.0,2176.0,2105.25,2170.95,1924054.0
2022-04-11,2181.85,2200.0,2158.5,2180.2,1615715.0
2022-04-12,2188.0,2219.0,2155.0,2196.95,2632324.0
2022-04-13,2210.0,2217.15,2173.45,2199.45,992512.0
2022-04-18,2179.8,2240.0,2156.75,2233.85,1747434.0
2022-04-19,2245.0,2255.0,2140.1,2168.3,1639219.0
2022-04-20,2178.0,2207.95,2161.9,2183.95,1119025.0
2022-04-21,2216.0,2293.55,2203.9,2286.35,2243636.0
2022-04-22,2297.0,2306.0,2265.0,2273.3,1786042.0
2022-04-25,2259.95,2295.0,2242.6,2284.2,1683622.0
2022-04-26,2297.0,2413.9,2295.1,2395.3,3199358.0
2022-04-27,2404.95,2420.95,2325.0,2334.1,2559876.0
2022-04-28,2359.85,2389.9,2336.3,2378.55,1679893.0
2022-04-29,2389.0,2394.15,2301.5,2332.0,1916180.0
2022-05-02,2325.0,2362.3,2311.0,2339.5,1006544.0
2022-05-04,2358.7,2362.9,2233.05,2253.8,1744686.0
2022-05-05,2270.0,2303.8,2236.0,2255.4,1636796.0
2022-05-06,2210.0,2262.0,2200.0,2247.7,1161579.0
2022-05-09,2229.5,2244.2,2180.0,2197.65,1450886.0
2022-05-10,2190.0,2220.0,2097.5,2109.5,1471866.0
2022-05-11,2109.6,2157.75,2077.0,2119.3,1397917.0
2022-05-12,2103.0,2113.6,2011.05,2045.2,1553685.0
2022-05-13,2084.5,2135.0,2035.3,2054.15,1547617.0
2022-05-16,2082.65,2141.95,2057.65,2105.9,1742552.0
2022-05-17,2133.05,2192.25,2119.4,2184.85,1061085.0
2022-05-18,2199.7,2216.9,2172.0,2181.1,1296983.0
2022-05-19,2145.0,2154.75,2097.6,2114.75,986930.0
2022-05-20,2159.0,2232.4,2151.0,2219.55,1444803.0
2022-05-23,2231.75,2245.0,2155.65,2170.65,1455450.0
2022-05-24,2161.0,2178.9,2142.55,2160.2,1008943.0
2022-05-25,2168.0,2181.45,2066.2,2074.15,1382448.0
2022-05-26,2077.0,2088.0,1906.2,2046.4,4967514.0
2022-05-27,2080.0,2094.3,2047.7,2080.15,1354005.0
2022-05-30,2120.0,2175.0,2102.0,2165.65,1384584.0
2022-05-31,2160.0,2225.8,2150.4,2167.55,2861556.0
2022-06-01,2169.95,2189.3,2126.0,2150.9,1448212.0
2022-06-02,2155.0,2218.0,2142.3,2209.4,1855167.0
2022-06-03,2235.0,2242.25,2176.05,2190.0,1651685.0
2022-06-06,2188.5,2230.0,2168.2,2225.05,1664487.0
2022-06-07,2210.0,2254.7,2207.05,2227.55,2046676.0
2022-06-08,2244.95,2244.95,2158.55,2177.2,1530739.0
2022-06-09,2160.3,2224.0,2155.0,2219.2,1440385.0
2022-06-10,2190.0,2215.0,2171.0,2203.1,1305761.0
2022-06-13,2172.5,2172.5,2066.75,2079.75,1764172.0
2022-06-14,2274.0,2274.0,2053.1,2196.45,6515102.0
2022-06-15,2218.4,2219.7,2174.2,2184.6,1313510.0
2022-06-16,2205.0,2217.3,2076.05,2083.0,2131789.0
2022-06-17,2062.0,2137.4,2060.15,2095.8,2280135.0
2022-06-20,2107.3,2123.3,2025.0,2079.85,2603594.0
2022-06-21,2100.0,2177.0,2091.65,2161.8,1331500.0
