date,open,high,low,close,volume
2021-05-07,747.7,778.0,745.25,767.75,20782117.0
2021-05-10,774.4,779.5,762.45,765.45,9201326.0
2021-05-11,751.0,789.7,750.35,762.65,12978165.0
2021-05-12,763.0,772.8,747.7,751.6,10615003.0
2021-05-14,757.9,758.65,727.5,733.55,10876267.0
2021-05-17,740.0,760.0,737.0,754.2,12271212.0
2021-05-18,765.0,780.0,757.1,775.9,9877934.0
2021-05-19,784.0,791.9,769.3,772.4,15666729.0
2021-05-20,776.5,779.5,761.05,765.7,6964023.0
2021-05-21,772.0,775.25,766.65,769.2,5274817.0
2021-05-24,769.7,779.9,746.6,766.55,8354397.0
2021-05-25,773.0,776.7,759.0,764.0,4730725.0
2021-05-26,767.85,769.9,757.0,758.3,7375242.0
2021-05-27,758.3,765.0,749.45,751.4,7909776.0
2021-05-28,755.0,784.9,754.0,776.15,13623565.0
2021-05-31,779.95,779.95,761.7,769.55,7820165.0
2021-06-01,773.1,801.8,764.3,798.2,17847137.0
2021-06-02,802.95,824.0,802.95,811.5,27748928.0
2021-06-03,818.85,849.0,810.7,825.3,24105079.0
2021-06-04,830.8,841.95,823.0,833.85,14457348.0
2021-06-07,837.4,898.8,835.65,878.6,33684310.0
2021-06-08,883.4,887.8,859.15,874.2,16422574.0
2021-06-09,879.25,901.0,831.3,852.6,31225441.0
2021-06-10,858.55,863.95,843.3,846.75,11744190.0
2021-06-11,852.0,856.4,820.7,839.75,17460610.0
2021-06-14,755.8,783.7,681.1,768.45,89771631.0
2021-06-15,802.9,802.9,755.0,761.85,45408426.0
2021-06-16,755.0,755.0,697.8,706.7,29440056.0
2021-06-17,683.0,704.65,638.35,646.9,70812142.0
2021-06-18,643.2,704.6,638.1,694.35,76266975.0
2021-06-21,692.0,744.65,685.1,731.05,51759617.0
2021-06-22,740.0,761.65,738.0,742.9,35597113.0
2021-06-23,749.0,757.0,715.5,718.7,31168761.0
2021-06-24,724.0,725.0,701.7,709.9,21503302.0
2021-06-25,715.0,719.0,706.5,712.2,12085421.0
2021-06-28,719.0,729.95,713.0,716.25,14139292.0
2021-06-29,717.5,723.0,709.0,711.0,9303151.0
2021-06-30,717.6,717.6,702.1,703.7,9100756.0
2021-07-01,706.0,711.85,700.0,703.1,8035542.0
2021-07-02,705.0,724.3,705.0,710.4,17676086.0
2021-07-05,717.0,721.0,703.0,710.05,11105134.0
2021-07-06,712.0,731.95,707.1,712.7,14580124.0
2021-07-07,716.9,723.0,706.0,720.1,8719991.0
2021-07-08,724.0,728.0,709.1,711.7,7804439.0
2021-07-09,712.5,737.0,708.35,728.5,14924156.0
2021-07-12,734.4,735.65,715.05,718.05,8664504.0
2021-07-13,720.0,720.9,702.0,704.0,12287372.0
2021-07-14,709.4,711.5,695.35,697.25,13812481.0
2021-07-15,699.7,706.4,695.5,699.1,7490612.0
2021-07-16,699.7,702.9,685.25,687.6,6941246.0
2021-07-19,686.0,693.0,661.4,673.7,13618862.0
2021-07-20,661.0,680.85,660.0,672.6,11533588.0
2021-07-22,678.0,695.0,666.7,691.8,9740403.0
2021-07-23,700.0,700.0,677.2,680.05,8682097.0
2021-07-26,680.0,690.95,674.45,682.8,5339116.0
2021-07-27,682.8,686.3,660.35,663.2,7133113.0
2021-07-28,668.4,676.75,654.2,665.4,11132158.0
2021-07-29,671.0,671.0,657.95,659.65,4572153.0
2021-07-30,661.25,687.8,659.5,674.5,13440904.0
2021-08-02,682.0,695.0,678.0,692.0,8925708.0
2021-08-03,698.0,714.95,695.25,705.05,18429941.0
2021-08-04,718.0,718.0,692.0,694.7,14045587.0
2021-08-05,695.0,700.5,684.0,693.55,5851411.0
2021-08-06,692.95,719.9,691.45,710.7,17504802.0
2021-08-09,714.0,717.0,694.1,699.9,7521213.0
2021-08-10,701.7,706.75,683.25,693.0,5937282.0
2021-08-11,693.4,705.0,684.55,699.15,6297975.0
2021-08-12,701.0,710.4,700.0,704.05,5068665.0
2021-08-13,704.45,709.5,699.05,704.15,3390071.0
2021-08-16,704.0,716.45,702.0,706.9,6385995.0
2021-08-17,705.8,714.9,686.05,692.65,7262774.0
2021-08-18,696.45,708.3,688.7,705.4,7354758.0
2021-08-20,690.0,706.4,680.8,687.2,6274741.0
2021-08-23,691.8,691.8,665.0,668.3,6636881.0
2021-08-24,673.0,702.0,668.5,695.4,7640710.0
2021-08-25,698.5,725.0,695.4,720.75,21275432.0
2021-08-26,725.0,733.0,717.7,721.7,14969643.0
2021-08-27,724.0,731.95,722.25,727.0,6751256.0
2021-08-30,730.6,735.4,727.1,730.0,4757858.0
2021-08-31,732.3,754.0,728.1,748.3,15419587.0
2021-09-01,750.05,751.85,737.6,744.75,5320381.0
2021-09-02,745.0,760.65,744.0,753.85,5788915.0
2021-09-03,755.95,762.0,745.3,754.9,4491254.0
2021-09-06,758.4,765.0,747.25,751.2,5260360.0
2021-09-07,753.9,755.15,741.65,745.5,3515903.0
