date,open,high,low,close,volume
2021-05-07,3347.15,3397.0,3302.0,3310.85,774478.0
2021-05-10,3315.0,3342.6,3261.6,3323.7,627199.0
2021-05-11,3315.0,3315.0,3245.25,3258.2,670759.0
2021-05-12,3274.9,3274.9,3185.6,3196.75,703372.0
2021-05-14,3200.0,3211.75,3095.35,3140.95,842794.0
2021-05-17,3147.0,3189.95,3115.1,3152.35,847722.0
2021-05-18,3174.0,3188.45,3140.0,3163.5,639445.0
2021-05-19,3180.2,3236.1,3161.7,3229.7,711069.0
2021-05-20,3245.9,3272.75,3214.0,3219.95,752076.0
2021-05-21,3246.4,3259.4,3225.0,3247.75,471439.0
2021-05-24,3248.0,3285.0,3240.15,3261.1,611909.0
2021-05-25,3266.25,3267.0,3170.65,3199.65,622276.0
2021-05-26,3205.0,3220.0,3178.1,3183.6,260821.0
2021-05-27,3186.5,3223.6,3153.6,3199.0,1084157.0
2021-05-28,3199.0,3207.0,3140.0,3149.35,555829.0
2021-05-31,3145.0,3186.3,3125.0,3168.75,635444.0
2021-06-01,3190.0,3249.0,3160.85,3239.8,706976.0
2021-06-02,3244.3,3301.0,3220.0,3273.6,843219.0
2021-06-03,3271.0,3435.0,3267.05,3425.65,1098294.0
2021-06-04,3425.35,3428.65,3375.0,3380.15,380548.0
2021-06-07,3380.15,3380.15,3308.0,3315.3,526855.0
2021-06-08,3299.0,3312.5,3255.6,3289.45,766456.0
2021-06-09,3290.0,3331.6,3251.0,3305.9,587528.0
2021-06-10,3322.45,3345.0,3297.05,3325.7,749909.0
2021-06-11,3342.35,3346.0,3301.7,3336.55,277612.0
2021-06-14,3345.0,3360.0,3285.0,3350.2,317756.0
2021-06-15,3355.0,3356.95,3295.0,3298.3,461588.0
2021-06-16,3310.0,3325.0,3278.0,3294.2,419575.0
2021-06-17,3257.0,3282.95,3225.2,3240.6,356502.0
2021-06-18,3235.0,3253.0,3162.55,3221.5,520516.0
2021-06-21,3195.0,3252.0,3181.0,3238.0,200280.0
2021-06-22,3238.0,3302.95,3230.1,3258.2,567861.0
2021-06-23,3274.95,3274.95,3212.0,3244.8,504942.0
2021-06-24,3229.9,3281.65,3141.75,3203.25,1754163.0
2021-06-25,3253.25,3465.0,3222.25,3439.0,3717669.0
2021-06-28,3447.85,3490.0,3402.2,3454.15,1213113.0
2021-06-29,3420.0,3604.95,3420.0,3591.15,2268589.0
2021-06-30,3617.0,3659.85,3582.6,3619.85,1291906.0
2021-07-01,3619.85,3696.95,3595.0,3678.45,876022.0
2021-07-02,3701.0,3744.9,3667.0,3733.2,573795.0
2021-07-05,3760.0,3762.95,3702.7,3718.1,444545.0
2021-07-06,3717.9,3750.75,3696.0,3706.25,344090.0
2021-07-07,3715.0,3757.8,3697.6,3715.6,466002.0
2021-07-08,3700.0,3720.0,3657.0,3671.4,459811.0
2021-07-09,3673.0,3744.0,3673.0,3725.9,469932.0
2021-07-12,3745.0,3788.8,3730.1,3747.4,464757.0
2021-07-13,3768.0,3769.95,3721.0,3750.3,246112.0
2021-07-14,3754.0,3775.0,3708.9,3754.8,395272.0
2021-07-15,3774.85,3798.0,3750.55,3762.35,399845.0
2021-07-16,3762.35,3787.0,3742.4,3779.1,226565.0
2021-07-19,3779.1,3919.95,3765.0,3883.75,1044561.0
2021-07-20,3890.0,3908.0,3817.3,3882.95,357815.0
2021-07-22,3890.0,4004.0,3890.0,3985.3,760359.0
2021-07-23,3985.3,3999.75,3913.0,3918.9,335985.0
2021-07-26,3937.0,4158.8,3930.0,4100.35,1982531.0
2021-07-27,4120.9,4189.65,4050.45,4078.25,859687.0
2021-07-28,4100.0,4100.0,3985.5,4028.4,455244.0
2021-07-29,4040.0,4054.55,3993.2,4038.75,449417.0
2021-07-30,4031.0,4086.45,4007.5,4035.0,627367.0
2021-08-02,4059.65,4092.95,4035.05,4048.15,344295.0
2021-08-03,4090.6,4225.0,4064.05,4092.7,981680.0
2021-08-04,4110.8,4128.6,4052.65,4066.4,305863.0
2021-08-05,4084.8,4111.7,4036.0,4073.75,270458.0
2021-08-06,4089.8,4178.05,4073.2,4088.05,717143.0
2021-08-09,4109.0,4111.0,3990.0,4003.7,431991.0
2021-08-10,4024.0,4086.8,4000.0,4062.8,364246.0
2021-08-11,4065.0,4083.15,3915.0,4026.35,831738.0
2021-08-12,4027.0,4142.95,3975.35,4133.1,556973.0
2021-08-13,4144.95,4145.75,4038.2,4064.1,553736.0
2021-08-16,4146.0,4374.5,4125.15,4345.1,3709012.0
2021-08-17,4345.0,4974.0,4332.25,4920.5,8069431.0
2021-08-18,4850.0,4963.0,4762.05,4787.9,2941548.0
2021-08-20,4719.0,4934.7,4697.2,4746.5,2331020.0
2021-08-23,4780.0,4839.65,4720.2,4743.25,699991.0
2021-08-24,4820.0,4888.95,4750.65,4840.75,1576663.0
2021-08-25,4865.0,4880.0,4750.0,4771.65,469002.0
2021-08-26,4776.45,4780.0,4646.4,4700.4,800419.0
2021-08-27,4717.1,4832.0,4676.35,4765.1,937887.0
2021-08-30,4790.2,4828.0,4721.6,4757.55,632354.0
2021-08-31,4766.1,5046.0,4766.1,4969.55,2883159.0
2021-09-01,4985.0,5071.8,4945.3,5039.05,841956.0
2021-09-02,5039.05,5122.0,5013.0,5043.5,900686.0
2021-09-03,5054.0,5073.3,4967.0,5014.55,567961.0
2021-09-06,5029.0,5040.0,4972.0,4995.5,439776.0
2021-09-07,5020.4,5023.0,4860.0,4877.05,479021.0
2021-09-08,4900.0,4901.45,4792.1,4811.4,642506.0
2021-09-09,4815.7,4820.0,4685.0,4719.55,838279.0
2021-09-13,4735.0,4796.0,4681.35,4745.85,1151299.0
2021-09-14,4773.0,4773.0,4696.7,4732.45,528943.0
2021-09-15,4750.0,4819.2,4686.55,4792.05,659281.0
2021-09-16,4819.0,4890.0,4792.05,4880.75,779552.0
2021-09-17,4875.0,4945.5,4864.45,4908.25,814867.0
2021-09-20,4864.0,4952.55,4781.7,4878.1,434640.0
2021-09-21,4858.0,4918.95,4790.15,4891.6,462221.0
2021-09-22,4925.0,5010.0,4869.9,4904.9,562041.0
2021-09-23,4931.4,5134.0,4905.0,5084.2,696944.0
2021-09-24,5156.1,5198.0,4711.55,4731.8,1949974.0
2021-09-27,4748.8,4771.0,4464.1,4565.55,1885178.0
2021-09-28,4580.0,4629.9,4376.0,4411.05,1051440.0
2021-09-29,4420.0,4507.1,4400.0,4423.5,571896.0
2021-09-30,4445.0,4500.65,4383.65,4481.6,808446.0
2021-10-01,4481.6,4520.0,4435.0,4459.4,534563.0
2021-10-04,4459.9,4565.0,4440.85,4548.25,535335.0
2021-10-05,4571.0,4576.85,4469.05,4482.4,425555.0
2021-10-06,4495.0,4509.0,4356.0,4378.75,480575.0
2021-10-07,4410.0,4468.0,4381.0,4428.3,276775.0
2021-10-08,4459.0,4459.0,4365.6,4379.25,269607.0
2021-10-11,4401.1,4422.95,4360.0,4377.15,331320.0
2021-10-12,4349.0,4407.05,4293.3,4351.3,612692.0
2021-10-13,4385.0,4409.0,4340.0,4377.5,302343.0
2021-10-14,4403.95,4429.75,4312.35,4328.4,436160.0
2021-10-18,4449.0,4449.0,4321.65,4330.4,345049.0
2021-10-19,4352.0,4387.65,4226.65,4301.05,285362.0
2021-10-20,4301.05,4317.35,4135.0,4146.75,510321.0
2021-10-21,4187.0,4234.9,4075.25,4134.85,698306.0
2021-10-22,4155.5,4189.45,4002.35,4028.4,347114.0
2021-10-25,4045.4,4250.9,3955.0,4164.0,1151030.0
2021-10-26,4164.0,4308.5,4135.55,4267.95,790450.0
2021-10-27,4278.8,4325.1,4215.15,4276.55,623848.0
2021-10-28,4277.8,4314.0,4225.0,4289.5,537955.0
2021-10-29,4289.5,4349.0,4161.05,4262.05,705546.0
2021-11-01,4281.2,4350.0,4258.0,4336.6,239375.0
2021-11-02,4340.0,4395.0,4270.55,4289.9,389193.0
2021-11-03,4317.0,4449.95,4300.05,4438.6,667752.0
2021-11-04,4448.0,4478.0,4419.85,4438.55,69818.0
2021-11-08,4438.6,4475.0,4378.0,4405.35,285968.0
2021-11-09,4454.0,4555.55,4420.0,4532.9,547476.0
2021-11-10,4522.1,4584.0,4480.0,4552.85,359967.0
2021-11-11,4545.1,4728.1,4527.05,4567.25,1110123.0
2021-11-12,4612.9,4688.0,4571.15,4669.5,423439.0
2021-11-15,4800.8,5147.55,4800.8,5080.95,3044498.0
2021-11-16,5080.0,5205.0,5040.0,5096.85,1118231.0
2021-11-17,5080.0,5844.4,5075.15,5733.95,6482125.0
2021-11-18,5733.95,5843.8,5546.15,5588.6,2165157.0
2021-11-22,5597.0,5640.0,5313.0,5419.5,1204625.0
2021-11-23,5374.5,5540.0,5350.0,5454.25,763056.0
2021-11-24,5466.0,5481.45,5305.1,5397.2,697909.0
2021-11-25,5400.0,5750.0,5325.05,5701.05,1575738.0
2021-11-26,5709.0,5935.4,5627.45,5687.6,2613669.0
2021-11-29,5770.0,5858.0,5550.0,5727.5,1189390.0
2021-11-30,5755.0,5829.95,5629.6,5687.75,1352746.0
2021-12-01,5718.7,5765.0,5531.7,5571.0,835169.0
2021-12-02,5625.75,5809.0,5578.85,5592.95,1236317.0
2021-12-03,5592.95,5654.65,5420.0,5432.4,844674.0
2021-12-06,5467.0,5468.0,5276.05,5299.8,489242.0
2021-12-07,5299.8,5435.25,5235.95,5314.65,595254.0
2021-12-08,5313.0,5367.0,5278.0,5333.5,557196.0
2021-12-09,5370.0,5386.0,5211.0,5232.8,689987.0
2021-12-10,5265.0,5328.4,5230.5,5245.3,416165.0
2021-12-13,5286.7,5329.0,5175.0,5206.7,480443.0
2021-12-14,5126.0,5250.0,5065.05,5212.0,1007056.0
2021-12-15,5230.0,5269.9,5170.05,5192.55,377883.0
2021-12-16,5229.95,5242.0,5143.0,5204.3,265216.0
2021-12-17,5200.0,5200.0,4730.0,4786.7,1133941.0
2021-12-20,4780.0,4824.0,4643.15,4704.95,994682.0
2021-12-21,4760.0,4870.0,4695.05,4847.6,1004676.0
2021-12-22,4900.2,4900.25,4750.0,4775.55,779992.0
2021-12-23,4803.0,4899.0,4786.55,4877.55,582129.0
2021-12-24,4880.0,4905.95,4823.75,4842.5,348742.0
