date,open,high,low,close,volume
2021-05-07,2555.0,2590.0,2541.5,2551.65,1416102.0
2021-05-10,2589.0,2589.0,2542.15,2556.95,1526814.0
2021-05-11,2533.0,2562.0,2521.3,2556.25,1168363.0
2021-05-12,2577.0,2588.95,2530.0,2556.2,2085630.0
2021-05-14,2620.0,2835.25,2601.55,2774.5,10543708.0
2021-05-17,2782.0,2824.2,2747.55,2782.75,2134352.0
2021-05-18,2797.0,2845.0,2789.0,2821.8,1328605.0
2021-05-19,2805.15,2849.0,2798.65,2815.85,1219067.0
2021-05-20,2814.0,2845.0,2778.5,2794.1,1211975.0
2021-05-21,2807.0,2854.0,2795.0,2832.5,1328308.0
2021-05-24,2846.0,2849.0,2808.2,2819.2,813091.0
2021-05-25,2836.9,2922.65,2822.75,2914.4,2730112.0
2021-05-26,2939.85,2947.9,2910.4,2941.6,1250531.0
2021-05-27,2950.0,2965.0,2902.25,2949.35,2415085.0
2021-05-28,2958.15,2963.8,2931.15,2940.7,711383.0
2021-05-31,2938.0,2989.95,2936.1,2977.5,2093635.0
2021-06-01,2965.0,2982.6,2915.1,2931.0,1194073.0
2021-06-02,2918.85,2933.75,2877.15,2903.7,2067842.0
2021-06-03,2919.6,2942.0,2904.05,2935.35,1404434.0
2021-06-04,2953.0,2990.0,2908.0,2924.9,1509084.0
2021-06-07,2930.0,2941.0,2903.95,2933.1,802415.0
2021-06-08,2928.0,2944.25,2907.5,2926.25,762931.0
2021-06-09,2930.8,2965.0,2919.6,2943.55,1340352.0
2021-06-10,2945.0,2959.3,2920.65,2950.6,1344559.0
2021-06-11,2960.0,2971.6,2938.6,2956.25,878445.0
2021-06-14,2955.1,2970.0,2916.5,2949.9,746823.0
2021-06-15,2970.0,3050.0,2960.95,3042.2,2262031.0
2021-06-16,3029.0,3042.2,3005.5,3018.7,859505.0
2021-06-17,3017.95,3073.95,3000.5,3060.3,1533864.0
2021-06-18,3061.55,3077.8,3016.05,3047.2,2293860.0
2021-06-21,3024.2,3079.15,3021.05,3068.55,720491.0
2021-06-22,3085.0,3092.85,3004.2,3010.8,1199238.0
2021-06-23,3030.0,3030.0,2983.5,2987.35,1009007.0
2021-06-24,2987.35,3049.7,2975.45,3043.25,985596.0
2021-06-25,3030.2,3053.5,2985.0,3003.9,786964.0
2021-06-28,3024.0,3038.85,2976.25,2982.95,891695.0
2021-06-29,2989.0,3023.85,2973.05,3001.5,1242734.0
2021-06-30,2999.0,3030.0,2985.65,2992.7,924522.0
2021-07-01,3008.0,3026.9,2997.0,3021.6,848235.0
2021-07-02,3032.95,3038.8,2999.75,3005.0,805542.0
2021-07-05,3020.0,3050.0,3007.1,3014.8,863343.0
2021-07-06,3003.0,3029.5,2996.0,3002.5,762630.0
2021-07-07,3065.0,3069.0,3011.25,3040.1,1234865.0
2021-07-08,3050.0,3059.0,3018.8,3028.3,907391.0
2021-07-09,3022.0,3039.15,3007.0,3010.6,547082.0
2021-07-12,3034.9,3042.85,2991.05,2999.4,765566.0
2021-07-13,3020.0,3021.1,2985.35,2993.85,703484.0
2021-07-14,3003.0,3007.75,2984.2,3001.95,470744.0
2021-07-15,3010.0,3011.0,2971.1,2983.6,635535.0
2021-07-16,2994.0,3006.0,2965.0,2989.3,1062548.0
2021-07-19,2989.3,2999.7,2965.0,2981.95,837836.0
2021-07-20,2996.0,3179.5,2979.55,3159.05,6755922.0
2021-07-22,3130.0,3165.0,3090.0,3106.75,1982572.0
2021-07-23,3106.0,3129.6,3078.05,3083.75,815329.0
2021-07-26,3079.95,3119.0,3051.2,3061.2,1136884.0
2021-07-27,3079.4,3081.5,3021.3,3028.65,904289.0
2021-07-28,3030.35,3033.0,2984.0,3004.1,996594.0
2021-07-29,3004.1,3039.95,2990.3,2997.45,762683.0
2021-07-30,3008.0,3008.65,2951.9,2958.45,1067423.0
2021-08-02,2985.6,2986.8,2960.65,2974.05,832285.0
2021-08-03,3020.0,3065.0,2994.2,3027.0,2433031.0
2021-08-04,3040.6,3053.3,3012.0,3018.6,659295.0
2021-08-05,3034.0,3040.0,2980.05,2988.4,693694.0
2021-08-06,2995.0,3001.0,2961.45,2966.45,744159.0
2021-08-09,2994.65,3015.0,2973.05,2992.55,825462.0
2021-08-10,2998.0,3008.3,2960.55,2977.15,724335.0
2021-08-11,2987.4,3001.45,2952.55,2972.6,987941.0
2021-08-12,2974.0,2985.25,2958.0,2975.5,438552.0
2021-08-13,2980.9,3002.0,2973.1,2988.7,572250.0
2021-08-16,2980.0,2984.15,2960.0,2971.4,461742.0
