date,open,high,low,close,volume
2021-05-07,721.0,726.9,714.0,716.75,7131970.0
2021-05-10,723.5,725.0,714.0,715.25,7980462.0
2021-05-11,704.8,713.7,703.0,707.35,12736700.0
2021-05-12,704.0,705.75,689.05,691.3,10856584.0
2021-05-14,695.0,698.6,681.4,685.0,9377968.0
2021-05-17,691.5,710.3,684.4,709.25,12099197.0
2021-05-18,720.0,726.0,708.5,711.65,19519055.0
2021-05-19,704.0,723.7,702.2,716.8,20244016.0
2021-05-20,708.6,714.4,704.55,705.9,18840413.0
2021-05-21,707.0,733.4,707.0,730.9,15883692.0
2021-05-24,730.4,747.5,726.75,741.15,15716900.0
2021-05-25,744.4,745.0,725.85,731.55,11344261.0
2021-05-26,738.0,741.4,729.5,735.1,9081086.0
2021-05-27,737.2,753.85,731.0,750.35,23040846.0
2021-05-28,752.6,759.7,738.5,739.85,17149692.0
2021-05-31,737.9,753.0,734.0,750.7,9275086.0
2021-06-01,753.55,754.0,741.15,745.15,6660243.0
2021-06-02,744.8,745.3,734.2,737.0,9973043.0
2021-06-03,743.0,752.25,739.0,750.65,8170508.0
2021-06-04,751.0,759.9,740.1,742.05,10336011.0
2021-06-07,743.1,753.95,741.5,751.1,6986728.0
2021-06-08,751.0,751.1,739.5,746.35,6426815.0
2021-06-09,746.0,751.25,730.15,736.75,8004726.0
2021-06-10,739.45,745.35,732.9,744.25,7795125.0
2021-06-11,746.25,746.25,737.0,738.45,4840759.0
2021-06-14,735.9,741.4,725.0,736.25,5190670.0
2021-06-15,736.0,752.0,732.0,750.9,9686490.0
2021-06-16,748.8,756.85,746.25,749.8,8614096.0
2021-06-17,741.95,745.4,736.0,738.6,6674329.0
2021-06-18,742.15,743.2,722.25,736.3,8143792.0
2021-06-21,725.0,740.9,720.5,739.55,6464497.0
2021-06-22,743.2,749.0,737.05,739.35,6727233.0
2021-06-23,743.2,743.75,730.8,732.35,6154147.0
2021-06-24,735.9,742.95,731.1,739.15,5313822.0
2021-06-25,737.55,765.95,737.55,761.35,11170037.0
2021-06-28,764.55,769.6,757.75,762.4,7672743.0
2021-06-29,761.0,763.55,750.05,751.95,7500655.0
2021-06-30,752.5,760.5,746.55,748.3,5459970.0
2021-07-01,750.0,754.4,744.5,746.45,5695690.0
2021-07-02,747.6,752.85,744.0,750.65,3557647.0
2021-07-05,757.1,762.0,753.4,760.35,4680089.0
2021-07-06,757.0,767.0,755.2,758.35,5529485.0
2021-07-07,755.9,764.0,752.25,762.9,3573368.0
2021-07-08,760.0,767.15,751.7,754.4,4188267.0
2021-07-09,752.0,752.9,740.25,747.35,5782119.0
2021-07-12,752.5,757.8,748.3,753.6,4475466.0
2021-07-13,759.0,773.0,755.0,770.75,9810976.0
2021-07-14,770.95,773.45,764.0,770.05,5621924.0
2021-07-15,770.5,778.25,766.5,774.15,4239868.0
2021-07-16,776.0,776.0,766.55,771.15,2913553.0
2021-07-19,752.3,766.65,749.6,755.2,5554486.0
2021-07-20,755.0,755.2,744.2,745.75,5815740.0
2021-07-22,750.1,758.5,741.0,746.75,7876163.0
2021-07-23,749.0,764.0,740.1,755.4,6604465.0
2021-07-26,754.0,760.0,745.0,756.3,7890992.0
2021-07-27,750.5,756.0,729.1,731.7,15441543.0
2021-07-28,734.8,734.8,712.1,722.9,11102486.0
2021-07-29,720.0,728.5,716.0,717.25,6855673.0
2021-07-30,718.05,718.65,707.15,708.9,10358450.0
2021-08-02,715.0,725.55,712.0,721.15,6823345.0
2021-08-03,724.0,740.85,719.3,738.6,9265839.0
2021-08-04,740.5,757.0,738.65,753.8,9744349.0
2021-08-05,753.0,755.0,743.5,749.3,7246991.0
2021-08-06,747.0,757.65,738.8,740.85,6522599.0
2021-08-09,741.0,757.4,739.75,755.5,6064688.0
2021-08-10,755.5,764.0,755.0,761.55,8309248.0
2021-08-11,765.0,769.0,752.5,760.8,6429468.0
2021-08-12,759.0,763.4,753.35,757.35,3572081.0
2021-08-13,757.5,764.5,754.2,759.9,4239376.0
2021-08-16,756.0,765.8,756.0,762.0,3967629.0
