date,open,high,low,close,volume
2021-05-07,142.75,143.4,137.3,137.9,10841671.0
2021-05-10,139.0,145.9,138.65,144.75,22373168.0
2021-05-11,142.75,149.75,141.45,148.55,23494231.0
2021-05-12,152.45,155.6,145.8,146.85,45341627.0
2021-05-14,147.8,148.7,142.55,143.35,15885997.0
2021-05-17,144.5,149.1,143.9,148.15,17162090.0
2021-05-18,150.5,155.0,149.3,154.6,32516231.0
2021-05-19,154.3,157.9,153.05,155.15,27984638.0
2021-05-20,155.95,158.7,153.0,156.8,22499977.0
2021-05-21,158.5,159.0,156.25,157.6,19387924.0
2021-05-24,158.35,160.0,156.2,156.85,24874623.0
2021-05-25,157.85,157.85,148.8,149.2,17864946.0
2021-05-26,150.0,154.2,149.0,149.75,15023561.0
2021-05-27,150.8,150.95,142.2,148.55,120083069.0
2021-05-28,148.5,149.6,144.4,144.85,14875105.0
2021-05-31,145.55,146.2,143.7,145.4,9687062.0
2021-06-01,153.0,153.0,146.0,146.95,24960961.0
2021-06-02,146.25,151.0,146.0,150.35,8247583.0
2021-06-03,151.25,151.95,149.2,151.2,8930766.0
2021-06-04,151.6,153.2,150.85,152.8,7858061.0
2021-06-07,153.0,154.25,152.4,153.3,5629880.0
2021-06-08,153.6,153.8,148.25,152.95,10639442.0
2021-06-09,153.4,155.5,149.55,150.7,10338977.0
2021-06-10,150.95,152.95,150.1,152.05,5793688.0
2021-06-11,152.0,155.0,150.15,154.05,8611966.0
2021-06-14,153.0,153.35,147.55,151.75,8844427.0
2021-06-15,152.0,152.9,150.05,150.7,7650343.0
2021-06-16,150.0,151.5,148.25,149.7,6569685.0
2021-06-17,148.2,149.75,144.65,146.15,7473180.0
2021-06-18,146.55,147.0,140.5,146.2,11363848.0
2021-06-21,142.0,150.0,142.0,149.2,7733156.0
2021-06-22,150.0,152.0,149.0,151.4,9420443.0
2021-06-23,155.1,170.0,152.5,168.5,121297926.0
2021-06-24,168.95,173.5,166.8,171.15,56563505.0
2021-06-25,171.15,175.9,170.85,175.0,23799864.0
2021-06-28,176.15,177.1,173.0,173.75,12960351.0
2021-06-29,173.45,175.85,172.55,174.65,16535082.0
2021-06-30,175.85,178.9,174.8,178.0,14363890.0
2021-07-01,177.8,185.9,177.1,184.65,29278526.0
2021-07-02,185.45,185.45,180.25,180.65,13450364.0
2021-07-05,181.3,182.0,178.6,179.2,7661856.0
2021-07-06,178.5,182.2,178.4,181.05,13862952.0
2021-07-07,180.1,183.4,178.9,182.9,5944980.0
2021-07-08,183.8,187.4,179.1,180.65,14962479.0
2021-07-09,180.65,182.7,180.2,180.85,6170818.0
2021-07-12,181.0,184.95,181.0,183.85,6007072.0
2021-07-13,184.0,184.8,180.15,181.65,5176887.0
2021-07-14,181.1,184.65,180.8,184.15,6141083.0
2021-07-15,184.15,184.4,179.45,179.95,4889977.0
2021-07-16,180.5,181.2,178.7,179.65,7073212.0
2021-07-19,179.5,187.75,177.65,186.0,15135709.0
2021-07-20,186.65,186.75,180.25,181.2,7300366.0
2021-07-22,182.1,184.75,182.0,184.5,4759456.0
2021-07-23,184.2,185.2,181.6,182.65,4256737.0
2021-07-26,182.65,185.0,180.2,184.6,4584420.0
2021-07-27,184.6,185.25,181.8,183.05,4812249.0
2021-07-28,183.0,191.6,182.5,189.95,16091543.0
2021-07-29,190.95,191.7,187.95,188.8,9141733.0
2021-07-30,188.45,188.45,182.5,184.65,9585592.0
2021-08-02,185.0,187.0,183.45,183.8,7028068.0
2021-08-03,183.8,184.9,181.55,182.25,5885660.0
2021-08-04,182.5,184.8,174.8,175.45,12784409.0
2021-08-05,176.0,179.1,174.1,176.6,11021856.0
2021-08-06,176.9,179.8,175.0,175.4,7937865.0
2021-08-09,165.0,172.9,162.35,171.15,36940495.0
2021-08-10,171.15,174.2,167.7,169.25,10896916.0
2021-08-11,169.25,172.7,165.3,172.25,9078516.0
2021-08-12,171.9,174.25,170.0,173.85,5988887.0
2021-08-13,174.2,175.6,172.55,174.5,9273747.0
2021-08-16,174.15,175.55,172.45,174.35,4186971.0
2021-08-17,174.1,176.5,172.3,176.05,6013013.0
2021-08-18,176.1,181.85,173.25,174.1,11403534.0
2021-08-20,171.9,174.9,170.3,171.05,5180721.0
2021-08-23,172.4,176.9,169.15,175.15,8896100.0
2021-08-24,175.0,178.45,174.4,177.65,4975304.0
2021-08-25,177.3,180.55,177.3,179.95,5523853.0
2021-08-26,180.35,182.2,179.4,181.3,7100495.0
2021-08-27,181.5,186.0,181.3,185.3,9389315.0
2021-08-30,184.9,186.75,183.7,184.05,4539741.0
2021-08-31,183.9,187.4,183.65,186.65,7201234.0
2021-09-01,187.2,192.35,186.55,189.85,8980084.0
2021-09-02,190.75,192.45,189.75,190.15,8554863.0
2021-09-03,192.0,199.55,190.55,198.6,17390220.0
2021-09-06,201.25,202.9,194.75,195.45,12121797.0
2021-09-07,195.45,198.0,193.35,194.3,5294190.0
2021-09-08,196.0,199.4,194.25,197.1,6428521.0
2021-09-09,196.75,199.25,195.5,197.05,3860406.0
2021-09-13,197.5,198.65,195.65,196.5,3506328.0
2021-09-14,195.45,204.0,194.7,202.4,9670105.0
2021-09-15,203.85,208.8,202.7,207.8,11746173.0
2021-09-16,207.9,209.0,204.75,205.55,4126167.0
2021-09-17,205.85,207.35,200.7,205.3,5346383.0
2021-09-20,202.5,205.95,201.05,201.6,4081197.0
2021-09-21,201.6,207.25,201.6,204.45,6925971.0
2021-09-22,204.4,206.85,203.8,205.95,3224214.0
2021-09-23,207.0,210.7,206.55,207.45,6459882.0
2021-09-24,208.0,210.5,203.6,205.5,5760785.0
2021-09-27,206.1,209.7,202.75,204.0,3438620.0
2021-09-28,205.0,212.45,204.15,210.35,9978002.0
2021-09-29,210.9,212.4,203.7,205.15,9126075.0
2021-09-30,206.0,207.55,201.7,202.95,11412417.0
2021-10-01,200.0,204.25,199.15,201.75,7356644.0
2021-10-04,202.0,206.1,201.75,205.8,5542529.0
2021-10-05,206.8,207.65,204.55,205.85,6244510.0
2021-10-06,205.9,208.5,198.0,199.3,5206217.0
2021-10-07,201.0,203.8,200.5,203.1,2529141.0
2021-10-08,203.0,203.65,199.4,200.15,3293914.0
2021-10-11,200.15,211.0,200.15,208.6,7249740.0
2021-10-12,208.7,211.7,204.55,210.25,6110347.0
2021-10-13,211.1,213.95,207.1,208.65,5621151.0
2021-10-14,209.3,212.65,209.05,210.55,5134959.0
2021-10-18,205.25,221.5,205.0,217.15,13361541.0
2021-10-19,219.2,219.2,205.75,206.85,5141354.0
2021-10-20,206.85,210.2,202.85,204.8,5360981.0
2021-10-21,205.85,207.0,203.05,204.4,5235829.0
2021-10-22,205.1,206.9,200.0,201.45,3429625.0
2021-10-25,202.5,202.5,193.75,201.3,4402590.0
2021-10-26,201.3,207.25,201.1,206.2,3168382.0
2021-10-27,206.45,209.75,206.05,207.05,3164333.0
2021-10-28,207.05,207.85,199.9,200.3,3809902.0
2021-10-29,197.8,218.85,183.45,206.85,31765008.0
2021-11-01,207.7,208.8,196.3,200.55,7984670.0
2021-11-02,202.0,203.6,197.25,200.6,6537703.0
2021-11-03,201.95,206.25,199.45,200.35,8435905.0
2021-11-04,202.2,202.3,201.3,201.85,478253.0
2021-11-08,201.55,213.3,201.55,212.45,11964610.0
2021-11-09,212.45,224.2,212.45,220.8,17252200.0
2021-11-10,220.9,221.4,218.95,219.7,5316528.0
2021-11-11,219.75,225.0,219.5,223.3,7810609.0
2021-11-12,225.5,228.0,222.1,223.6,7710674.0
2021-11-15,224.75,226.0,220.75,222.65,2867513.0
2021-11-16,222.45,224.0,216.7,217.8,2676906.0
2021-11-17,217.7,217.8,213.05,215.45,6028202.0
2021-11-18,215.55,217.5,208.4,208.85,9588714.0
2021-11-22,209.9,210.4,200.75,203.0,5747742.0
2021-11-23,203.5,211.65,202.7,211.0,5696442.0
2021-11-24,212.1,212.95,207.0,208.35,3826105.0
2021-11-25,208.35,212.6,205.65,211.65,3291823.0
2021-11-26,208.5,210.35,196.6,198.2,7627123.0
2021-11-29,196.25,201.3,188.8,197.25,4950197.0
2021-11-30,197.25,205.3,197.2,203.75,10758021.0
2021-12-01,204.0,206.3,201.5,205.85,4712028.0
2021-12-02,204.1,206.8,202.25,205.9,4409459.0
2021-12-03,205.85,209.8,205.6,206.65,4160477.0
2021-12-06,206.65,211.2,206.65,207.85,4917241.0
2021-12-07,209.4,214.7,208.2,210.4,7758408.0
2021-12-08,211.05,212.95,208.3,208.95,3154142.0
2021-12-09,206.1,209.35,204.2,207.75,4098041.0
2021-12-10,207.6,210.85,205.1,205.55,6092118.0
2021-12-13,206.8,211.4,206.2,208.95,9008280.0
2021-12-14,209.4,212.9,208.65,209.8,6479571.0
2021-12-15,209.5,210.35,206.4,208.0,4677227.0
2021-12-16,209.0,210.8,205.55,207.2,7736652.0
2021-12-17,207.75,208.15,200.3,201.3,4183111.0
2021-12-20,200.9,200.9,191.65,195.25,5611781.0
2021-12-21,195.4,201.45,195.4,199.5,3628062.0
2021-12-22,200.5,204.2,200.5,203.4,2981329.0
2021-12-23,204.4,209.75,204.4,208.9,2901279.0
2021-12-24,208.2,208.7,202.4,204.05,3061075.0
2021-12-27,204.0,207.45,201.5,206.95,2892320.0
2021-12-28,208.8,209.1,205.5,207.05,3457367.0
2021-12-29,206.9,212.9,206.9,209.7,8321687.0
2021-12-30,209.8,212.4,205.0,209.95,14065285.0
2021-12-31,210.0,213.0,208.6,209.95,4227729.0
2022-01-03,209.75,212.2,209.5,211.25,2991447.0
2022-01-04,212.5,219.05,211.2,216.15,10445579.0
2022-01-05,215.75,216.9,212.6,213.3,3985837.0
2022-01-06,211.0,213.15,210.6,211.9,2940305.0
2022-01-07,211.9,213.95,207.5,208.05,4324988.0
2022-01-10,208.95,211.5,208.0,210.85,3136299.0
2022-01-11,211.0,212.15,208.55,210.45,3340706.0
2022-01-12,211.0,211.95,208.8,210.6,2598248.0
2022-01-13,211.9,212.3,207.25,209.55,4048229.0
2022-01-14,209.1,222.1,208.4,220.1,9154550.0
2022-01-17,222.0,222.8,215.8,216.5,9614296.0
2022-01-18,218.3,218.5,207.6,208.35,5979925.0
2022-01-19,209.15,210.4,205.0,208.15,10126239.0
2022-01-20,209.0,212.8,207.45,212.35,6759397.0
2022-01-21,211.4,211.65,205.0,206.95,5907966.0
2022-01-24,206.95,208.75,195.05,197.3,6675179.0
2022-01-25,196.3,205.5,194.2,204.2,9906114.0
2022-01-27,201.9,206.3,198.15,204.9,7933437.0
2022-01-28,206.75,211.0,205.35,207.1,8222111.0
2022-01-31,214.7,219.75,207.65,209.7,17925420.0
2022-02-01,211.65,212.45,203.35,207.4,9798498.0
2022-02-02,209.55,212.2,208.5,210.75,10068675.0
2022-02-03,211.0,211.45,207.55,207.95,3851742.0
2022-02-04,209.45,209.6,204.35,204.8,5977692.0
2022-02-07,204.9,205.8,199.6,202.1,6108343.0
2022-02-08,202.2,203.9,196.4,199.5,8759626.0
2022-02-09,199.4,203.25,198.1,202.6,5101734.0
2022-02-10,202.95,204.75,200.5,202.8,4034747.0
2022-02-11,200.85,203.65,199.85,200.35,3835311.0
2022-02-14,197.0,199.4,192.85,195.9,10653870.0
2022-02-15,196.2,199.4,192.6,198.95,3582085.0
2022-02-16,199.75,201.35,196.55,199.0,4473543.0
2022-02-17,199.25,204.65,198.45,201.0,6388823.0
2022-02-18,200.0,201.6,199.0,200.0,3538962.0
2022-02-21,198.0,201.85,196.85,198.15,3490295.0
2022-02-22,195.0,200.1,193.35,197.35,6803233.0
2022-02-23,197.4,200.55,197.4,199.0,3381783.0
2022-02-24,195.7,196.75,187.0,187.85,8305113.0
2022-02-25,192.85,201.15,191.9,200.15,7487280.0
2022-02-28,197.05,211.5,196.2,210.45,11862563.0
2022-03-02,207.55,219.6,207.55,216.0,17202697.0
2022-03-03,218.0,219.95,212.65,215.05,9541899.0
2022-03-04,214.0,224.75,212.55,214.9,15376126.0
2022-03-07,212.8,218.4,206.55,214.25,12748011.0
2022-03-08,216.45,217.75,208.2,213.0,6820614.0
2022-03-09,214.4,225.35,213.2,222.45,10081755.0
2022-03-10,225.35,226.5,215.65,216.75,12442898.0
2022-03-11,218.25,218.8,214.1,214.8,9782797.0
2022-03-14,216.0,216.1,209.2,209.8,9497188.0
2022-03-15,208.0,210.15,203.25,205.55,7776163.0
2022-03-16,208.9,209.9,206.6,209.0,7885382.0
2022-03-17,210.2,211.8,207.0,209.4,12089842.0
2022-03-21,210.0,214.4,206.9,208.9,12804611.0
2022-03-22,209.3,210.65,205.0,209.8,6544026.0
2022-03-23,213.9,213.9,206.85,207.4,11093258.0
2022-03-24,205.9,209.05,204.25,207.5,5203100.0
2022-03-25,208.1,208.2,204.95,206.0,7471123.0
2022-03-28,206.0,206.8,203.55,205.05,4487159.0
2022-03-29,206.0,208.6,205.5,207.4,4034689.0
2022-03-30,211.9,211.9,207.65,208.45,7393966.0
2022-03-31,210.2,212.35,206.75,210.8,7246011.0
2022-04-01,210.95,217.0,210.25,215.1,15281960.0
2022-04-04,217.5,220.35,215.8,219.45,9808860.0
2022-04-05,221.4,223.7,217.5,218.6,9766399.0
2022-04-06,218.0,221.0,217.2,220.0,9255218.0
2022-04-07,222.0,237.9,221.55,234.35,54299168.0
2022-04-08,238.7,242.2,234.95,239.6,28930777.0
2022-04-11,241.85,248.2,241.05,243.95,17699414.0
2022-04-12,243.95,246.4,237.45,242.4,11388982.0
2022-04-13,244.05,250.25,244.05,247.1,11728588.0
2022-04-18,246.0,256.3,244.25,254.95,19355571.0
2022-04-19,255.0,259.5,248.05,250.3,13064282.0
2022-04-20,252.7,255.6,250.6,253.3,10467609.0
2022-04-21,254.45,258.7,251.9,252.9,10700831.0
2022-04-22,252.45,256.65,250.85,251.65,4675141.0
2022-04-25,250.0,250.0,242.75,245.8,5329564.0
2022-04-26,247.05,253.4,247.0,250.5,5485187.0
2022-04-27,247.55,248.95,242.85,246.5,4606165.0
2022-04-28,250.0,250.0,243.5,246.65,3085507.0
2022-04-29,247.75,249.85,236.75,238.55,7310831.0
2022-05-02,235.0,239.4,233.7,238.15,4647385.0
2022-05-04,239.0,239.85,228.8,231.2,5347111.0
2022-05-05,234.85,238.4,232.0,234.9,6285804.0
2022-05-06,232.25,234.25,227.25,228.15,5598486.0
2022-05-09,225.0,227.15,221.5,225.5,7824265.0
2022-05-10,225.0,229.4,222.1,222.9,4411653.0
2022-05-11,224.9,225.2,215.75,219.0,5847132.0
2022-05-12,220.0,223.15,216.15,218.3,7818268.0
2022-05-13,220.4,225.7,217.1,218.75,4039429.0
2022-05-16,218.8,227.55,216.3,226.85,5086179.0
2022-05-17,228.8,233.9,226.15,232.75,5685300.0
2022-05-18,234.5,237.25,232.0,233.1,6292994.0
2022-05-19,229.5,230.8,224.2,227.5,3725635.0
2022-05-20,231.0,238.35,229.55,234.95,5909711.0
2022-05-23,236.25,240.2,230.3,231.4,5137897.0
2022-05-24,220.0,233.35,219.1,231.65,12271944.0
2022-05-25,232.0,235.45,225.5,226.35,4125369.0
