date,open,high,low,close,volume
2021-05-07,561.2,572.9,556.9,568.5,12656867.0
2021-05-10,572.0,577.0,569.1,572.55,8211446.0
2021-05-11,565.5,574.85,564.05,568.4,7885422.0
2021-05-12,568.0,569.15,558.2,561.75,6689476.0
2021-05-14,564.0,569.35,556.15,560.4,7555855.0
2021-05-17,563.95,563.95,545.8,549.65,13424956.0
2021-05-18,547.5,552.9,534.55,536.35,34324460.0
2021-05-19,537.9,540.55,526.2,528.2,19223054.0
2021-05-20,531.0,531.0,520.0,520.65,13777903.0
2021-05-21,523.25,533.3,522.0,530.95,10299402.0
2021-05-24,531.0,533.0,526.0,526.8,6268351.0
2021-05-25,529.9,530.8,524.5,526.1,9239443.0
2021-05-26,529.0,530.8,525.0,525.75,6781577.0
2021-05-27,526.1,527.0,518.7,519.8,22363299.0
2021-05-28,522.25,528.5,520.4,523.6,10060110.0
2021-05-31,525.5,536.0,525.1,534.9,12567516.0
2021-06-01,537.45,538.4,530.3,532.9,8280431.0
2021-06-02,529.9,534.6,528.0,529.5,10372845.0
2021-06-03,530.0,533.4,528.5,532.05,6174103.0
2021-06-04,533.95,535.8,531.2,532.7,4788898.0
2021-06-07,534.0,541.0,533.0,536.45,9496183.0
2021-06-08,538.1,548.0,534.0,546.8,12586649.0
2021-06-09,549.9,551.5,535.35,540.0,12440819.0
2021-06-10,543.9,547.85,540.35,545.15,6888855.0
2021-06-11,545.5,549.75,540.05,540.85,7634036.0
2021-06-14,540.85,540.85,529.3,539.35,5609077.0
2021-06-15,541.0,543.65,538.4,542.5,7130896.0
2021-06-16,543.8,543.8,534.9,536.75,9860470.0
2021-06-17,539.5,541.25,527.05,528.65,10026485.0
2021-06-18,531.4,541.9,519.0,538.75,14723907.0
2021-06-21,535.0,541.9,533.0,539.6,5637000.0
2021-06-22,548.05,549.0,535.5,536.4,8946586.0
2021-06-23,538.0,539.2,532.7,534.05,4679563.0
2021-06-24,535.0,535.45,527.4,528.75,6301610.0
2021-06-25,531.3,535.9,529.35,535.1,5402768.0
2021-06-28,537.0,537.0,530.45,531.2,5168753.0
2021-06-29,531.25,532.25,524.0,524.95,8553386.0
2021-06-30,527.0,530.4,524.35,525.65,5654391.0
2021-07-01,529.0,531.0,522.0,522.65,6454014.0
2021-07-02,525.6,533.0,520.0,525.0,13063791.0
2021-07-05,528.0,528.5,523.3,523.95,6256128.0
2021-07-06,523.5,527.7,521.1,526.1,10300966.0
2021-07-07,523.2,530.6,523.2,529.6,6546286.0
2021-07-08,530.0,532.8,523.55,525.3,5301428.0
2021-07-09,525.5,537.5,523.0,536.25,7169047.0
2021-07-12,538.95,538.95,528.65,529.65,8768168.0
2021-07-13,533.55,535.5,528.2,530.05,7988044.0
2021-07-14,529.0,531.4,526.65,530.05,6543996.0
2021-07-15,532.5,532.5,525.0,525.45,6759881.0
2021-07-16,527.0,543.4,525.95,541.15,11043791.0
2021-07-19,539.0,544.7,529.3,538.45,8962285.0
2021-07-20,536.45,536.8,523.0,525.75,7505544.0
2021-07-22,531.1,548.0,523.65,546.7,19847956.0
2021-07-23,547.7,560.65,532.75,548.3,32588978.0
2021-07-26,545.0,553.85,542.1,544.05,5118493.0
2021-07-27,545.8,545.8,536.15,540.55,5727485.0
2021-07-28,539.5,570.7,537.85,567.9,31932505.0
2021-07-29,574.1,576.7,565.0,567.15,15552340.0
2021-07-30,565.9,568.5,557.8,561.65,9938812.0
2021-08-02,566.0,569.95,560.0,565.15,6254864.0
2021-08-03,568.0,582.0,562.1,580.2,21280806.0
2021-08-04,575.0,586.9,570.3,574.4,21414510.0
2021-08-05,577.5,619.0,577.5,598.7,71088770.0
2021-08-06,594.5,616.95,588.5,607.9,28520160.0
2021-08-09,610.0,612.7,597.55,599.25,9892910.0
2021-08-10,602.2,628.0,598.4,622.2,33878294.0
2021-08-11,622.2,629.25,613.7,620.85,18386089.0
2021-08-12,623.0,628.95,617.0,623.15,8274954.0
2021-08-13,623.15,638.8,618.1,637.05,20690579.0
2021-08-16,638.75,644.0,632.0,634.05,10312706.0
2021-08-17,634.05,638.0,623.0,626.35,11102775.0
2021-08-18,625.9,634.0,620.85,622.95,7005347.0
2021-08-20,619.5,633.0,607.0,613.7,12534832.0
2021-08-23,618.4,630.5,607.6,622.65,12554898.0
2021-08-24,627.95,627.95,617.05,620.1,5776595.0
2021-08-25,622.35,622.35,611.0,612.45,7977884.0
2021-08-26,610.0,611.5,584.3,586.9,25831904.0
2021-08-27,588.8,605.4,585.05,595.15,16141223.0
2021-08-30,596.0,625.0,590.1,620.45,39759785.0
2021-08-31,626.05,668.1,625.0,664.05,59661820.0
2021-09-01,668.0,673.3,654.0,666.4,30228814.0
2021-09-02,669.95,673.75,664.05,666.5,18601857.0
2021-09-03,668.0,669.6,654.0,658.45,7774350.0
2021-09-06,664.4,665.75,653.4,654.6,10035041.0
2021-09-07,657.95,680.5,648.0,670.55,27665704.0
2021-09-08,678.0,683.8,665.0,667.85,20492200.0
2021-09-09,667.85,688.2,667.05,686.15,19419892.0
2021-09-13,692.0,697.0,685.85,693.3,19341527.0
2021-09-14,695.0,699.7,689.1,694.2,11479081.0
2021-09-15,697.0,734.95,696.15,725.5,55750090.0
2021-09-16,735.0,737.0,715.4,718.6,44172650.0
2021-09-17,721.0,734.75,721.0,728.15,26158201.0
2021-09-20,725.0,733.7,720.3,724.95,14066795.0
2021-09-21,722.9,740.75,722.0,726.65,13954874.0
2021-09-22,727.0,732.05,724.1,726.75,16047334.0
2021-09-23,733.4,740.1,723.2,726.8,26009026.0
2021-09-24,729.05,753.0,728.0,739.4,70844952.0
2021-09-27,731.0,731.9,718.15,722.55,11282248.0
2021-09-28,724.4,726.8,686.0,696.15,21944239.0
2021-09-29,697.0,702.0,689.15,694.1,16729859.0
2021-09-30,695.8,709.8,686.8,688.3,13911568.0
2021-10-01,687.35,687.35,667.65,675.9,14952128.0
2021-10-04,675.0,686.2,669.7,681.4,8917898.0
2021-10-05,684.4,703.45,680.4,699.25,25598885.0
2021-10-06,705.75,707.95,688.2,691.4,10406502.0
2021-10-07,695.75,702.2,691.3,692.5,8121590.0
2021-10-08,695.15,699.55,688.9,695.5,6297352.0
2021-10-11,693.1,696.05,685.0,690.85,8792050.0
2021-10-12,691.0,698.4,684.2,686.35,8579567.0
2021-10-13,689.0,696.8,683.1,689.9,7062149.0
2021-10-14,693.0,694.0,681.85,685.8,9820591.0
2021-10-18,700.0,701.95,679.65,680.6,8574445.0
2021-10-19,699.0,699.0,675.45,681.1,7328862.0
2021-10-20,683.4,713.9,681.4,708.45,21217306.0
2021-10-21,710.95,712.35,689.2,696.05,8908979.0
2021-10-22,698.5,705.3,684.25,694.5,6587256.0
2021-10-25,693.0,704.0,675.0,691.1,9540441.0
2021-10-26,695.0,709.85,689.0,696.2,10953878.0
2021-10-27,699.4,714.65,694.0,702.35,11878571.0
2021-10-28,702.75,706.05,684.4,689.75,8884507.0
2021-10-29,692.2,701.0,677.05,685.35,8602343.0
2021-11-01,689.95,722.8,689.6,712.5,17121001.0
2021-11-02,712.5,723.1,709.55,713.95,7725455.0
2021-11-03,725.75,732.5,696.0,699.1,23261507.0
2021-11-04,704.0,704.8,699.2,701.1,1064714.0
2021-11-08,707.45,714.9,704.0,709.0,7565546.0
2021-11-09,711.7,716.45,705.15,713.2,5278131.0
2021-11-10,717.5,738.0,707.35,735.45,15180490.0
2021-11-11,735.0,738.6,724.25,728.6,7421118.0
2021-11-12,733.0,745.0,725.25,743.5,9207508.0
2021-11-15,740.0,746.0,736.2,737.55,5454742.0
2021-11-16,741.35,742.05,727.05,730.3,4639931.0
2021-11-17,724.55,732.35,716.25,720.05,8002927.0
2021-11-18,720.6,723.45,708.0,714.35,4469597.0
2021-11-22,740.0,755.95,733.1,742.1,36884348.0
2021-11-23,745.0,761.0,735.7,758.9,18240414.0
2021-11-24,764.0,781.8,756.25,758.9,21653712.0
2021-11-25,759.05,768.5,752.8,765.15,8483653.0
2021-11-26,763.0,763.0,733.1,738.75,11142921.0
2021-11-29,752.0,755.0,727.1,739.35,15885643.0
2021-11-30,740.0,750.2,722.65,728.25,14272616.0
2021-12-01,733.0,737.4,718.25,722.25,10488561.0
2021-12-02,723.9,735.7,714.15,732.55,11507427.0
2021-12-03,730.0,734.65,716.3,718.35,11024093.0
