date,open,high,low,close,volume
2021-05-07,435.05,447.0,428.0,443.15,12027364.0
2021-05-10,449.0,455.0,445.0,453.7,9702910.0
2021-05-11,449.6,464.0,446.9,462.25,10847939.0
2021-05-12,464.0,468.0,446.5,449.25,7617797.0
2021-05-14,453.5,453.5,439.1,442.25,4899715.0
2021-05-17,445.0,446.55,438.1,443.65,3031731.0
2021-05-18,447.2,452.4,442.7,448.45,4967123.0
2021-05-19,450.0,454.3,442.25,446.45,8107607.0
2021-05-20,448.0,457.85,441.5,454.8,9399907.0
2021-05-21,463.0,468.0,459.05,461.05,11993869.0
2021-05-24,466.95,474.55,460.6,472.85,11470610.0
2021-05-25,476.8,479.0,469.0,474.4,10599676.0
2021-05-26,478.65,480.7,468.5,472.2,12972307.0
2021-05-27,485.0,488.0,466.0,467.85,51494404.0
2021-05-28,475.0,479.9,468.5,471.5,14656852.0
2021-05-31,473.45,473.45,468.3,472.0,6747781.0
2021-06-01,473.4,476.7,470.1,470.85,4434765.0
2021-06-02,470.0,475.45,469.0,474.65,6338355.0
2021-06-03,474.5,478.4,473.1,473.9,6092262.0
2021-06-04,474.8,482.8,474.05,478.25,8879733.0
2021-06-07,480.8,485.4,478.75,481.4,6261695.0
2021-06-08,483.8,489.7,476.25,487.45,7599482.0
2021-06-09,492.0,493.9,481.5,485.05,9490181.0
2021-06-10,486.25,487.5,482.75,483.55,3694317.0
2021-06-11,485.7,489.5,481.7,483.6,3719254.0
2021-06-14,483.95,485.0,476.0,483.7,3618826.0
2021-06-15,485.0,487.25,480.8,481.9,3253680.0
2021-06-16,483.45,484.9,479.05,481.25,3997462.0
2021-06-17,477.95,482.9,476.3,476.9,3325538.0
2021-06-18,480.0,480.1,466.75,472.35,5291888.0
2021-06-21,471.7,475.8,468.5,475.05,2698544.0
2021-06-22,477.5,478.75,472.8,473.65,2776710.0
2021-06-23,474.0,475.0,469.15,469.6,2463779.0
2021-06-24,469.5,470.5,465.1,466.1,4231105.0
2021-06-25,468.4,472.1,466.2,470.05,2952120.0
2021-06-28,471.0,472.0,466.55,467.15,2167160.0
2021-06-29,469.0,469.5,465.0,466.25,2960797.0
2021-06-30,467.0,470.65,466.0,468.1,2962317.0
2021-07-01,468.1,468.9,462.0,462.75,2878513.0
2021-07-02,463.0,465.6,461.05,462.75,2384746.0
2021-07-05,464.95,467.5,458.5,459.7,5595087.0
2021-07-06,460.0,463.0,457.6,458.05,3874696.0
2021-07-07,458.05,461.4,452.45,460.5,3000290.0
2021-07-08,460.15,465.4,456.55,458.2,3213389.0
2021-07-09,456.1,458.5,453.3,456.9,3529331.0
2021-07-12,457.6,459.3,450.05,451.0,3696855.0
2021-07-13,452.75,455.0,449.75,450.25,3704937.0
2021-07-14,451.0,453.1,448.2,448.7,2468262.0
2021-07-15,449.3,450.75,445.05,447.05,3308775.0
2021-07-16,449.05,451.05,445.8,448.0,3363302.0
2021-07-19,446.0,459.0,445.2,453.9,7368974.0
2021-07-20,456.8,458.0,449.0,453.8,3844508.0
2021-07-22,454.95,463.95,453.0,460.9,6766248.0
2021-07-23,464.8,465.8,459.3,461.35,3477404.0
2021-07-26,461.9,462.55,455.1,456.0,2588738.0
2021-07-27,456.0,460.4,452.25,453.3,2317628.0
2021-07-28,453.6,455.5,450.3,453.45,2205610.0
2021-07-29,452.0,454.15,448.5,449.1,2989610.0
2021-07-30,449.2,454.2,444.9,445.5,6765935.0
2021-08-02,448.05,459.9,446.5,457.8,4982840.0
2021-08-03,460.7,464.95,456.5,463.4,3927566.0
2021-08-04,463.0,465.0,456.1,457.15,2596138.0
2021-08-05,456.1,458.6,451.15,453.5,3549955.0
2021-08-06,454.0,463.0,454.0,455.6,4059302.0
2021-08-09,457.5,459.0,450.7,452.5,2277623.0
2021-08-10,454.5,454.9,442.75,444.7,3549099.0
2021-08-11,446.0,451.55,440.55,450.0,5317536.0
2021-08-12,452.0,455.4,442.1,448.15,6283857.0
2021-08-13,450.0,458.85,448.3,454.9,7116016.0
2021-08-16,458.5,467.6,455.05,464.0,8982218.0
2021-08-17,465.85,469.75,461.0,465.0,7181750.0
2021-08-18,466.95,466.95,461.05,463.5,3973617.0
2021-08-20,461.8,465.5,453.0,455.2,6057409.0
2021-08-23,458.7,459.65,448.1,451.7,3962946.0
2021-08-24,453.0,459.25,452.85,456.4,3624344.0
2021-08-25,458.0,464.4,457.25,460.7,4852133.0
2021-08-26,460.6,471.4,458.6,466.75,7423649.0
2021-08-27,469.05,473.7,466.15,471.3,6268381.0
2021-08-30,474.9,474.9,471.6,472.55,4514920.0
2021-08-31,473.0,475.85,468.35,471.65,9001236.0
2021-09-01,473.25,479.4,472.2,477.0,5219501.0
2021-09-02,478.0,481.55,477.0,479.8,4181314.0
2021-09-03,483.0,494.0,480.2,491.3,8186035.0
2021-09-06,495.95,496.5,490.0,490.8,6989779.0
2021-09-07,490.7,493.5,481.0,481.95,6710140.0
2021-09-08,484.0,493.0,481.9,489.55,6804831.0
2021-09-09,489.9,492.0,487.75,491.15,4542492.0
2021-09-13,494.0,499.25,491.5,498.1,10730342.0
2021-09-14,501.0,503.0,490.5,493.1,12091391.0
2021-09-15,494.0,494.95,488.1,489.95,11374253.0
2021-09-16,437.5,442.05,435.55,439.05,17375477.0
2021-09-17,441.0,442.0,432.1,436.25,12008204.0
2021-09-20,431.05,433.65,418.95,420.4,7372138.0
2021-09-21,419.9,423.9,412.8,413.8,11481738.0
2021-09-22,414.5,421.5,414.5,420.15,4820035.0
2021-09-23,423.15,424.3,417.15,419.95,5884558.0
2021-09-24,421.0,423.25,412.05,414.8,6337414.0
2021-09-27,418.45,422.5,416.55,420.6,4889433.0
2021-09-28,424.3,430.25,423.0,429.6,9133471.0
2021-09-29,429.5,438.0,426.0,436.9,7625857.0
2021-09-30,439.8,440.4,431.0,432.2,4467366.0
2021-10-01,431.9,437.6,429.0,433.05,2744990.0
2021-10-04,434.0,438.0,433.5,435.85,2681114.0
2021-10-05,435.85,445.5,435.7,443.85,9010146.0
2021-10-06,447.0,451.95,445.15,447.2,8124411.0
2021-10-07,451.5,452.0,448.0,449.2,3722557.0
2021-10-08,451.5,452.0,444.6,449.45,3009652.0
2021-10-11,450.0,455.15,449.5,454.4,5916666.0
2021-10-12,454.35,457.2,451.1,455.25,5461602.0
2021-10-13,457.0,460.4,453.3,458.65,7036361.0
2021-10-14,460.0,462.2,458.0,459.3,3947390.0
2021-10-18,470.0,470.0,461.05,462.5,4392323.0
2021-10-19,463.9,465.0,449.95,453.05,5402657.0
2021-10-20,452.0,452.9,436.35,441.1,6543463.0
2021-10-21,445.25,454.0,443.05,451.05,9887576.0
2021-10-22,451.0,453.0,442.5,447.25,3914996.0
2021-10-25,447.0,448.4,429.85,431.7,7275177.0
2021-10-26,431.0,436.95,428.05,431.05,4972613.0
2021-10-27,433.45,434.5,427.0,427.7,3368898.0
2021-10-28,429.0,431.0,419.05,420.8,3621241.0
2021-10-29,419.0,425.0,413.6,417.7,6037509.0
2021-11-01,428.0,428.0,419.9,421.65,5826200.0
2021-11-02,423.0,423.9,415.6,416.15,4049673.0
2021-11-03,418.0,421.55,414.2,414.9,5258243.0
2021-11-04,419.85,420.25,418.1,419.75,987512.0
2021-11-08,424.0,432.75,421.45,431.75,5935209.0
2021-11-09,432.7,432.75,427.0,430.5,2933590.0
2021-11-10,432.0,434.0,430.15,431.25,3282554.0
2021-11-11,425.95,427.25,422.05,425.3,3316769.0
2021-11-12,428.0,430.0,426.35,427.7,2144462.0
2021-11-15,427.9,430.05,424.65,426.35,1919944.0
2021-11-16,426.0,426.55,418.15,419.9,2766721.0
2021-11-17,420.5,420.75,412.2,413.8,3769399.0
2021-11-18,413.5,415.65,405.0,405.3,4995398.0
2021-11-22,406.0,407.9,393.1,395.6,5282894.0
2021-11-23,395.0,401.3,394.05,397.6,3382706.0
2021-11-24,401.1,409.3,398.8,403.35,4241408.0
2021-11-25,404.0,404.4,398.0,400.1,3161909.0
2021-11-26,397.15,397.2,375.0,376.85,10023331.0
2021-11-29,379.0,380.0,367.0,367.45,7518776.0
2021-11-30,370.0,379.5,368.0,370.0,9196735.0
2021-12-01,372.75,375.95,365.8,368.75,6528783.0
2021-12-02,370.0,379.95,369.05,378.85,6224888.0
2021-12-03,382.5,388.4,381.3,385.9,8656623.0
2021-12-06,387.35,389.4,381.0,383.45,4459906.0
2021-12-07,385.9,388.75,385.25,387.8,3637703.0
2021-12-08,389.5,392.25,389.15,391.15,3593664.0
2021-12-09,394.25,401.5,392.3,393.75,6485041.0
2021-12-10,393.5,397.9,391.0,396.95,2282959.0
2021-12-13,398.95,400.5,391.05,392.35,2599708.0
2021-12-14,392.95,392.95,389.1,391.65,3291399.0
2021-12-15,391.0,392.4,383.1,384.3,5557592.0
2021-12-16,386.5,392.0,384.45,391.05,3954683.0
2021-12-17,393.0,394.55,382.1,384.7,8024861.0
2021-12-20,380.85,380.85,359.0,360.0,11255280.0
2021-12-21,364.4,365.9,357.4,364.2,6427779.0
2021-12-22,366.0,373.8,365.2,372.45,5022622.0
2021-12-23,374.8,378.25,372.0,377.35,5346933.0
2021-12-24,379.2,379.2,370.3,372.15,3143785.0
2021-12-27,370.95,375.15,367.5,374.4,2316330.0
2021-12-28,375.8,381.4,375.0,380.4,3224743.0
2021-12-29,381.0,382.85,377.15,381.1,4130329.0
2021-12-30,384.0,385.3,376.0,377.95,6085707.0
2021-12-31,376.5,387.4,376.5,385.45,3890328.0
2022-01-03,384.0,387.0,384.0,386.1,3234192.0
2022-01-04,388.0,393.75,384.75,385.95,5899648.0
2022-01-05,384.95,396.5,383.45,394.7,6741998.0
2022-01-06,396.0,396.65,390.6,395.8,4118574.0
2022-01-07,398.0,402.9,395.0,396.2,5957213.0
2022-01-10,399.0,399.7,395.6,397.55,2089864.0
2022-01-11,398.8,398.8,390.15,391.15,3427008.0
2022-01-12,394.5,395.95,386.55,388.7,4623410.0
2022-01-13,390.2,397.55,387.25,394.5,4245712.0
2022-01-14,395.0,399.95,392.5,398.45,3457752.0
2022-01-17,401.0,404.4,398.6,400.55,4835805.0
2022-01-18,401.8,406.9,396.35,398.1,6610248.0
2022-01-19,396.0,401.5,393.0,394.35,5173988.0
2022-01-20,395.0,397.55,390.2,393.05,3247617.0
2022-01-21,393.8,396.05,380.0,381.7,5155269.0
2022-01-24,381.4,383.85,370.1,373.1,5334037.0
2022-01-25,372.1,383.8,368.0,382.55,4952650.0
2022-01-27,385.0,385.25,375.0,382.2,5737395.0
2022-01-28,384.95,393.5,381.35,382.5,4044959.0
2022-01-31,390.0,399.8,387.95,397.05,6964092.0
2022-02-01,395.0,395.0,376.0,378.85,12757699.0
2022-02-02,385.0,385.6,379.35,382.1,5850788.0
2022-02-03,384.0,384.9,376.5,377.05,5329147.0
2022-02-04,377.15,380.0,374.05,375.65,4478855.0
2022-02-07,378.0,378.4,370.1,372.45,4094513.0
2022-02-08,374.4,378.5,370.65,377.4,3454806.0
2022-02-09,380.0,382.0,374.7,375.6,4646178.0
2022-02-10,372.7,373.5,368.5,369.65,6141529.0
2022-02-11,369.65,374.5,365.0,369.55,5631276.0
2022-02-14,365.0,365.85,360.55,361.7,5098193.0
2022-02-15,362.05,369.75,356.6,368.9,5524786.0
2022-02-16,371.0,378.4,370.3,374.1,5444908.0
2022-02-17,375.95,377.25,371.0,373.0,2612160.0
2022-02-18,371.45,375.95,371.45,373.15,2210217.0
2022-02-21,373.0,373.0,365.05,368.75,3103771.0
2022-02-22,360.0,364.45,349.3,355.3,7053081.0
2022-02-23,358.5,360.8,356.2,357.1,2818071.0
2022-02-24,349.0,352.0,331.1,333.05,7047485.0
2022-02-25,340.0,341.5,332.15,336.35,5839510.0
2022-02-28,335.35,351.3,332.0,349.8,9573141.0
2022-03-02,346.5,356.7,339.8,342.1,7734602.0
2022-03-03,347.4,354.0,343.35,346.4,6412853.0
2022-03-04,347.95,351.5,343.0,348.35,7778930.0
2022-03-07,347.0,347.0,331.8,338.0,9968000.0
2022-03-08,337.8,343.0,332.7,341.6,6440280.0
2022-03-09,344.5,347.65,337.7,342.65,6781953.0
2022-03-10,352.0,354.0,345.5,349.0,9054604.0
2022-03-11,351.0,363.7,350.25,362.0,8278802.0
2022-03-14,359.8,361.0,352.35,359.65,8224912.0
2022-03-15,361.05,361.5,348.1,350.3,6065433.0
2022-03-16,353.5,357.7,350.15,356.3,4722492.0
2022-03-17,359.6,366.2,357.85,364.2,11413836.0
2022-03-21,360.0,367.3,356.3,357.2,6184825.0
2022-03-22,358.85,369.7,356.7,368.4,7467189.0
2022-03-23,370.9,371.6,365.0,366.6,6237729.0
2022-03-24,366.0,367.8,360.8,362.6,4848379.0
2022-03-25,362.0,364.55,358.1,360.3,3629552.0
2022-03-28,360.0,362.85,356.3,359.7,5812191.0
2022-03-29,362.0,362.4,357.95,358.45,5708664.0
2022-03-30,360.5,362.4,359.2,360.05,4123566.0
2022-03-31,361.0,364.5,358.8,359.35,5503682.0
2022-04-01,361.55,375.0,361.55,374.4,6386165.0
2022-04-04,374.4,381.25,372.2,380.2,7357360.0
2022-04-05,381.0,382.0,376.55,380.0,3311172.0
2022-04-06,379.0,386.45,377.45,385.8,5843175.0
2022-04-07,384.85,387.3,379.5,380.8,3346885.0
2022-04-08,382.8,386.8,381.1,384.55,4190274.0
2022-04-11,385.15,390.15,384.8,388.35,2389160.0
2022-04-12,386.95,387.6,377.25,380.6,2445974.0
2022-04-13,380.0,383.95,377.7,379.0,3261962.0
2022-04-18,379.0,379.0,371.05,371.75,2792673.0
2022-04-19,373.9,383.85,373.0,375.85,5796327.0
2022-04-20,379.8,392.3,376.35,389.95,8568189.0
2022-04-21,395.0,398.8,390.0,397.7,7977846.0
2022-04-22,395.0,397.25,391.5,393.4,4410739.0
2022-04-25,385.0,385.95,368.8,369.7,10407964.0
2022-04-26,373.4,375.4,369.15,372.85,3139478.0
2022-04-27,368.0,371.6,364.3,366.5,3081806.0
2022-04-28,371.7,371.7,365.15,369.35,3286639.0
2022-04-29,370.0,372.7,361.15,362.6,3359425.0
2022-05-02,360.1,367.95,357.65,366.45,3200238.0
2022-05-04,366.45,371.4,359.5,363.45,2868547.0
2022-05-05,366.05,368.75,360.1,361.0,1847546.0
2022-05-06,357.0,359.8,353.0,357.3,2348871.0
2022-05-09,355.7,358.3,349.8,353.4,2524390.0
2022-05-10,353.5,358.0,351.4,353.45,2954952.0
2022-05-11,355.0,359.45,344.75,347.1,3887065.0
2022-05-12,345.0,346.45,336.2,339.95,3858313.0
2022-05-13,341.4,345.3,336.0,336.95,2257796.0
2022-05-16,339.15,339.65,333.7,336.1,1942152.0
2022-05-17,336.0,342.95,334.15,342.45,4798210.0
2022-05-18,336.45,347.2,331.0,331.9,7657308.0
2022-05-19,329.8,329.95,324.0,326.65,5093969.0
2022-05-20,332.0,334.85,328.0,332.8,3196697.0
2022-05-23,332.8,336.15,327.0,332.1,4396431.0
2022-05-24,332.1,334.55,328.5,330.1,2945719.0
2022-05-25,332.4,333.5,325.15,326.15,4081823.0
2022-05-26,325.0,325.5,312.2,324.35,8030657.0
2022-05-27,324.6,329.0,318.2,322.35,4875852.0
2022-05-30,324.5,330.8,322.0,329.15,3550508.0
2022-05-31,330.0,330.7,325.0,326.2,10420751.0
2022-06-01,328.0,331.85,324.1,326.0,6690532.0
2022-06-02,327.0,334.25,322.55,329.35,8056904.0
2022-06-03,330.6,332.0,327.1,328.15,4969493.0
2022-06-06,327.5,327.9,318.3,319.35,4672714.0
2022-06-07,317.55,322.6,317.0,320.25,3955076.0
2022-06-08,321.0,324.9,319.2,323.9,2690805.0
2022-06-09,323.0,334.55,319.5,332.85,6959446.0
2022-06-10,330.75,332.2,326.6,331.0,2726717.0
2022-06-13,327.9,327.9,317.3,317.95,3751840.0
2022-06-14,317.3,320.75,311.65,314.3,5049196.0
2022-06-15,316.85,316.85,308.0,314.0,4993654.0
2022-06-16,318.0,319.8,310.3,311.65,4360359.0
2022-06-17,309.0,311.5,299.75,301.0,6952755.0
2022-06-20,304.0,304.5,294.0,296.05,3728409.0
2022-06-21,296.65,302.45,293.35,301.2,2801829.0
2022-06-22,303.15,307.4,296.75,305.9,6602434.0
2022-06-23,308.45,310.5,303.55,307.9,4348512.0
2022-06-24,308.2,310.45,305.4,307.55,3274950.0
2022-06-27,310.0,315.65,308.35,315.0,2784807.0
2022-06-28,312.0,319.5,312.0,318.6,3240518.0
