date,open,high,low,close,volume
2021-05-07,893.0,895.5,877.0,882.9,5479029.0
2021-05-10,892.5,906.45,877.5,900.25,8379304.0
2021-05-11,899.95,905.95,888.2,890.9,5864464.0
2021-05-12,889.3,906.75,884.3,898.6,5224240.0
2021-05-14,909.0,921.0,900.8,904.05,15048471.0
2021-05-17,895.0,905.0,870.0,881.2,14122085.0
2021-05-18,887.0,888.35,878.45,884.4,5129966.0
2021-05-19,887.85,905.95,881.0,903.95,7242643.0
2021-05-20,906.0,927.9,905.0,924.2,12378690.0
2021-05-21,930.0,935.0,922.3,926.9,6740711.0
2021-05-24,931.0,945.5,926.15,931.25,6420035.0
2021-05-25,939.65,940.0,930.0,935.6,3695242.0
2021-05-26,941.0,951.95,939.05,945.15,5445187.0
2021-05-27,946.0,948.75,934.05,942.35,6249606.0
2021-05-28,940.2,947.35,931.0,934.35,2156991.0
2021-05-31,934.35,951.0,924.0,949.35,3183414.0
2021-06-01,952.0,958.0,943.55,946.45,2904962.0
2021-06-02,946.45,960.5,946.45,954.7,2449102.0
2021-06-03,955.0,959.7,946.0,948.25,2258695.0
2021-06-04,948.0,951.5,936.5,946.4,3057699.0
2021-06-07,951.75,951.75,937.55,939.8,2028426.0
2021-06-08,939.8,955.0,931.85,953.75,2278534.0
2021-06-09,954.8,975.0,950.2,958.65,5498857.0
2021-06-10,960.95,975.0,960.0,974.2,4754350.0
2021-06-11,975.0,982.3,965.5,967.85,3480545.0
2021-06-14,972.7,979.0,957.0,976.15,2377279.0
2021-06-15,975.0,978.85,967.15,969.7,1289684.0
2021-06-16,969.0,971.15,953.8,956.75,1684500.0
2021-06-17,955.0,959.75,943.5,950.95,2429291.0
2021-06-18,950.95,967.65,945.35,960.9,4978288.0
2021-06-21,958.0,962.7,950.5,960.15,1625660.0
2021-06-22,956.2,960.9,949.15,955.85,2344400.0
2021-06-23,956.0,966.0,954.2,957.75,1807471.0
2021-06-24,957.8,958.7,944.0,950.9,1769651.0
2021-06-25,951.0,961.0,948.95,957.1,2134441.0
2021-06-28,962.0,971.35,957.1,963.05,1759671.0
2021-06-29,964.0,989.0,960.05,979.6,4300755.0
2021-06-30,992.2,997.0,969.15,971.9,7195632.0
2021-07-01,977.2,980.0,967.2,978.1,2291137.0
2021-07-02,981.85,985.8,975.1,979.2,1421148.0
2021-07-05,979.3,983.85,973.1,974.7,1286458.0
2021-07-06,975.0,975.0,964.75,969.1,1157576.0
2021-07-07,968.0,968.95,961.0,965.2,1740439.0
2021-07-08,965.5,968.0,944.8,950.65,1662518.0
2021-07-09,952.0,965.6,949.95,959.8,1301555.0
2021-07-12,960.0,967.95,955.85,959.85,1122802.0
2021-07-13,962.2,969.85,956.05,965.65,1317621.0
2021-07-14,961.1,978.4,961.1,977.15,1729994.0
2021-07-15,979.0,981.0,972.05,973.6,979315.0
2021-07-16,973.6,989.9,973.6,977.15,2087320.0
2021-07-19,972.1,983.6,971.25,974.0,854347.0
2021-07-20,972.0,974.1,952.65,955.15,1520300.0
2021-07-22,958.1,958.95,946.65,949.9,1783069.0
2021-07-23,952.0,957.7,946.95,948.0,1056183.0
2021-07-26,948.0,960.0,947.0,950.55,1306026.0
2021-07-27,952.5,958.5,909.0,913.1,3366104.0
2021-07-28,921.6,921.6,886.65,889.9,5094903.0
2021-07-29,894.35,899.95,872.0,883.1,4929314.0
2021-07-30,885.1,929.9,877.75,920.05,6280365.0
2021-08-02,928.3,933.6,913.4,921.05,2981630.0
2021-08-03,925.0,929.55,918.5,928.15,2014511.0
2021-08-04,928.15,942.5,927.0,939.65,2517694.0
2021-08-05,944.2,953.0,932.0,945.4,4022548.0
2021-08-06,939.0,939.0,909.0,911.3,9727673.0
2021-08-09,912.1,920.0,897.4,918.65,3310964.0
2021-08-10,920.0,923.8,905.0,912.6,2552532.0
2021-08-11,912.9,914.0,891.05,909.85,2174054.0
2021-08-12,912.0,916.2,903.7,905.3,2127392.0
2021-08-13,906.0,910.95,892.35,894.4,2919925.0
2021-08-16,896.0,901.1,886.05,888.25,1954152.0
2021-08-17,891.0,906.3,889.9,904.65,3767678.0
2021-08-18,900.2,910.7,900.0,908.85,2323095.0
2021-08-20,908.9,909.05,887.0,890.85,2354874.0
2021-08-23,898.0,908.0,888.65,898.35,2081206.0
2021-08-24,903.0,919.55,897.65,917.65,2588128.0
2021-08-25,917.0,923.6,905.95,912.6,1697757.0
2021-08-26,912.6,916.75,906.3,911.3,1522032.0
2021-08-27,913.8,925.45,907.5,923.9,1878603.0
2021-08-30,924.0,936.5,920.45,934.7,2016968.0
2021-08-31,935.0,949.7,930.3,947.8,2463088.0
2021-09-01,949.0,954.9,920.0,922.85,4434153.0
2021-09-02,927.0,960.0,923.4,955.25,3688123.0
