date,open,high,low,close,volume
2021-05-07,135.4,138.0,135.0,136.85,12644960.0
2021-05-10,137.1,148.5,137.1,147.05,45098431.0
2021-05-11,146.45,156.75,145.15,155.7,66582000.0
2021-05-12,155.9,159.7,151.8,153.5,42959024.0
2021-05-14,155.95,155.95,146.1,146.8,23140309.0
2021-05-17,147.0,149.15,144.0,148.15,17076463.0
2021-05-18,149.1,149.8,146.1,146.45,10295029.0
2021-05-19,146.45,152.5,145.1,151.85,23999878.0
2021-05-20,152.4,152.4,146.05,146.65,22983457.0
2021-05-21,147.0,149.6,146.85,147.2,13009821.0
2021-05-24,148.1,149.75,145.65,148.9,14192862.0
2021-05-25,149.8,150.0,147.1,147.45,10434892.0
2021-05-26,147.8,148.0,145.2,145.7,9948786.0
2021-05-27,145.75,146.3,144.1,144.55,24064196.0
2021-05-28,145.6,148.8,144.75,146.9,16465504.0
2021-05-31,147.05,148.4,145.05,147.7,11767444.0
2021-06-01,148.55,149.4,146.9,147.6,9307143.0
2021-06-02,147.5,149.9,147.0,149.1,10714318.0
2021-06-03,150.0,150.4,148.6,149.05,9282774.0
2021-06-04,149.0,154.4,148.2,153.1,29422387.0
2021-06-07,156.0,158.85,155.45,156.25,31071589.0
2021-06-08,157.4,157.5,152.8,156.0,12874065.0
2021-06-09,157.0,161.4,155.2,156.4,30443113.0
2021-06-10,157.1,158.75,155.75,156.5,11459484.0
2021-06-11,157.0,165.0,156.65,162.65,61728565.0
2021-06-14,164.0,164.0,155.55,159.35,30836595.0
2021-06-15,161.1,161.85,156.75,157.15,30153988.0
2021-06-16,157.3,158.8,154.85,155.55,14098443.0
2021-06-17,155.0,155.4,151.4,152.15,15784276.0
2021-06-18,153.0,153.8,145.1,146.4,24823176.0
2021-06-21,146.0,148.0,143.5,147.5,15038290.0
2021-06-22,148.9,149.5,147.8,148.7,12494441.0
2021-06-23,149.85,150.6,148.15,148.45,7983220.0
2021-06-24,148.45,149.1,146.0,146.4,12929173.0
2021-06-25,146.75,149.25,146.75,148.75,7400514.0
2021-06-28,147.1,149.0,147.0,147.2,8217659.0
2021-06-29,147.1,147.9,143.95,144.5,21576435.0
2021-06-30,145.6,147.4,145.1,146.65,12919448.0
