date,open,high,low,close,volume
2021-05-07,5199.95,5249.0,5166.0,5174.7,784869.0
2021-05-10,5380.0,5389.95,5272.0,5327.55,2244484.0
2021-05-11,5325.0,5349.95,5271.3,5295.95,944890.0
2021-05-12,5318.0,5340.0,5275.0,5301.45,880165.0
2021-05-14,5338.55,5398.4,5160.0,5196.85,2977011.0
2021-05-17,5250.0,5260.0,5145.0,5250.3,1369387.0
2021-05-18,5290.25,5304.9,5210.0,5215.45,910040.0
2021-05-19,5235.0,5264.0,5206.05,5237.8,918921.0
2021-05-20,5255.0,5286.0,5225.0,5236.3,775917.0
2021-05-21,5256.0,5269.5,5196.3,5216.45,711634.0
2021-05-24,5236.0,5299.0,5226.7,5272.15,706498.0
2021-05-25,5289.4,5320.0,5255.0,5311.2,695615.0
2021-05-26,5320.0,5335.0,5275.0,5285.2,507480.0
2021-05-27,5278.75,5283.9,5230.15,5268.85,778393.0
2021-05-28,5280.0,5280.0,5150.0,5194.55,874745.0
2021-05-31,5217.0,5335.25,5171.15,5309.15,867648.0
2021-06-01,5305.0,5339.0,5265.3,5316.5,747373.0
2021-06-02,5306.25,5354.0,5283.0,5312.35,545951.0
2021-06-03,5310.0,5340.0,5267.0,5282.55,566718.0
2021-06-04,5282.55,5290.0,5242.0,5255.0,401531.0
2021-06-07,5261.0,5273.75,5212.7,5219.2,363967.0
2021-06-08,5220.0,5295.9,5150.1,5274.75,732714.0
2021-06-09,5277.9,5310.0,5208.05,5222.8,473105.0
2021-06-10,5232.5,5300.0,5232.5,5292.05,367280.0
2021-06-11,5300.0,5489.9,5288.55,5453.0,1455484.0
2021-06-14,5453.0,5515.0,5370.0,5461.35,897942.0
2021-06-15,5475.0,5483.05,5402.0,5410.85,568815.0
2021-06-16,5410.0,5458.0,5340.3,5406.1,698591.0
2021-06-17,5406.1,5414.0,5248.55,5286.5,707232.0
2021-06-18,5315.0,5345.0,5234.8,5283.9,697428.0
2021-06-21,5275.0,5300.0,5227.0,5282.0,415489.0
2021-06-22,5285.5,5320.0,5250.5,5308.35,426855.0
2021-06-23,5322.0,5349.95,5287.2,5299.35,411143.0
2021-06-24,5299.0,5314.95,5250.05,5277.65,366182.0
2021-06-25,5277.0,5336.0,5267.0,5309.3,464073.0
2021-06-28,5329.0,5419.95,5312.55,5404.25,592963.0
2021-06-29,5411.0,5454.95,5380.0,5433.1,576261.0
2021-06-30,5439.0,5468.8,5405.0,5423.05,468088.0
2021-07-01,5426.0,5580.0,5412.4,5558.5,831550.0
2021-07-02,5580.0,5600.0,5511.5,5575.7,571738.0
2021-07-05,5576.2,5596.0,5531.95,5537.9,297341.0
2021-07-06,5539.8,5561.2,5514.0,5539.45,178108.0
2021-07-07,5529.0,5614.6,5515.05,5562.1,538508.0
2021-07-08,5540.0,5588.0,5449.6,5466.75,451167.0
2021-07-09,5448.0,5520.25,5416.95,5460.3,460996.0
2021-07-12,5499.9,5500.0,5440.0,5494.3,182659.0
2021-07-13,5494.3,5534.0,5429.0,5437.1,370482.0
2021-07-14,5437.1,5458.9,5367.5,5390.85,501355.0
2021-07-15,5410.0,5438.5,5371.2,5393.65,303682.0
2021-07-16,5393.0,5450.0,5383.85,5406.55,437904.0
2021-07-19,5398.0,5445.0,5382.1,5419.35,240858.0
2021-07-20,5436.0,5436.0,5322.6,5344.05,264428.0
2021-07-22,5394.0,5394.0,5326.55,5384.5,185848.0
2021-07-23,5381.5,5432.0,5360.1,5422.15,306761.0
2021-07-26,5419.0,5447.0,5399.8,5411.25,186939.0
2021-07-27,5438.0,5444.95,4780.0,4843.35,5873821.0
2021-07-28,4869.95,4874.85,4666.5,4731.75,3238130.0
2021-07-29,4750.0,4765.0,4660.0,4672.65,1086936.0
2021-07-30,4685.0,4805.0,4677.6,4711.2,1373200.0
2021-08-02,4739.0,4750.5,4687.6,4701.55,756346.0
2021-08-03,4728.4,4729.45,4691.7,4721.7,598261.0
2021-08-04,4725.6,4810.0,4725.6,4768.8,1104198.0
2021-08-05,4794.0,4809.0,4742.0,4782.3,593950.0
2021-08-06,4798.4,4806.25,4756.3,4786.3,399637.0
2021-08-09,4795.0,4833.8,4759.3,4818.5,543545.0
2021-08-10,4839.0,4858.85,4733.55,4769.75,616671.0
2021-08-11,4765.0,4766.95,4690.0,4744.85,526785.0
2021-08-12,4749.4,4753.3,4690.5,4716.4,621418.0
2021-08-13,4722.1,4735.8,4632.0,4652.2,793895.0
2021-08-16,4640.0,4686.65,4609.0,4661.15,419229.0
2021-08-17,4665.0,4719.2,4661.15,4700.5,426014.0
2021-08-18,4700.0,4755.05,4675.0,4687.05,553756.0
2021-08-20,4659.9,4659.9,4508.0,4556.0,826908.0
2021-08-23,4599.0,4599.0,4500.0,4514.85,567515.0
2021-08-24,4552.0,4595.7,4445.7,4587.4,616936.0
2021-08-25,4570.0,4594.6,4523.35,4548.95,444141.0
2021-08-26,4548.95,4554.9,4486.4,4503.5,481719.0
2021-08-27,4506.0,4610.8,4506.0,4600.55,563395.0
2021-08-30,4619.0,4700.0,4578.05,4677.85,628367.0
2021-08-31,4677.9,4721.75,4650.5,4704.05,645527.0
2021-09-01,4739.0,4784.45,4687.0,4763.45,562951.0
2021-09-02,4811.0,4904.4,4810.0,4859.7,1259864.0
2021-09-03,4876.2,4909.25,4862.3,4898.55,431315.0
2021-09-06,4940.0,4943.3,4871.45,4915.95,616199.0
2021-09-07,4915.0,4925.95,4855.55,4897.45,420214.0
2021-09-08,4915.0,4940.0,4861.3,4911.3,500029.0
2021-09-09,4885.0,4922.45,4877.1,4912.05,362411.0
2021-09-13,4928.9,4947.2,4873.1,4931.4,298653.0
2021-09-14,4949.9,4989.0,4923.75,4930.75,309981.0
2021-09-15,4937.0,4975.0,4918.9,4962.6,320320.0
2021-09-16,4981.0,4996.5,4916.55,4931.95,296515.0
2021-09-17,4933.0,4957.75,4869.05,4884.55,454830.0
2021-09-20,4875.0,4885.55,4748.2,4774.95,332066.0
2021-09-21,4768.75,4864.0,4745.25,4853.65,340390.0
2021-09-22,4854.2,4878.8,4812.05,4846.35,250729.0
2021-09-23,4866.9,4868.6,4770.0,4797.3,560073.0
2021-09-24,4806.0,4821.1,4778.05,4790.35,251615.0
2021-09-27,4797.3,4805.65,4733.0,4791.65,226057.0
2021-09-28,4809.9,4854.1,4755.1,4833.15,305446.0
2021-09-29,4833.0,4922.9,4791.65,4881.0,655070.0
2021-09-30,4889.9,4985.0,4865.45,4880.7,776015.0
2021-10-01,4853.0,4970.0,4852.25,4955.85,342133.0
2021-10-04,4955.0,5077.0,4950.0,5042.7,760353.0
2021-10-05,5037.1,5050.0,4970.0,5034.6,354847.0
2021-10-06,5017.5,5042.2,4906.8,4956.6,529264.0
2021-10-07,4975.9,4989.9,4882.95,4891.1,343974.0
2021-10-08,4906.65,4946.65,4821.0,4849.2,348310.0
