date,open,high,low,close,volume
2021-05-07,2948.95,2995.0,2820.0,2860.8,2287493.0
2021-05-10,2860.8,2879.0,2830.0,2836.3,781259.0
2021-05-11,2830.5,2843.65,2801.1,2838.35,684120.0
2021-05-12,2839.8,2858.0,2815.0,2840.15,486996.0
2021-05-14,2840.15,2851.9,2802.75,2812.35,518143.0
2021-05-17,2835.0,2884.4,2813.0,2854.75,926624.0
2021-05-18,2876.2,2919.7,2856.55,2906.95,1288013.0
2021-05-19,2915.0,2943.95,2894.0,2915.0,717841.0
2021-05-20,2911.35,2916.8,2861.75,2865.1,637388.0
2021-05-21,2874.0,2890.1,2835.0,2884.4,1658538.0
2021-05-24,2920.0,2963.7,2892.0,2900.45,1587246.0
2021-05-25,2924.9,2944.85,2907.4,2929.7,501532.0
2021-05-26,2942.0,2986.75,2920.5,2964.7,817054.0
2021-05-27,2970.0,3028.45,2935.15,2991.3,2097924.0
2021-05-28,3025.0,3033.4,2956.55,2991.55,1077246.0
2021-05-31,2989.0,3015.0,2960.0,3007.5,662303.0
2021-06-01,3016.5,3055.0,2966.0,2976.75,971553.0
2021-06-02,2972.0,2993.0,2942.1,2972.6,793261.0
2021-06-03,2984.0,3014.0,2962.0,3008.35,851280.0
2021-06-04,3005.0,3055.0,3004.85,3048.4,1023321.0
2021-06-07,3065.25,3076.6,3040.75,3052.25,612460.0
2021-06-08,3058.0,3078.0,3040.35,3055.95,555729.0
2021-06-09,3055.95,3090.0,3010.6,3023.5,845692.0
2021-06-10,3038.95,3043.9,2999.0,3009.0,567660.0
2021-06-11,3019.0,3038.0,2995.0,3004.35,467264.0
2021-06-14,3010.0,3016.95,2943.0,2985.65,489598.0
2021-06-15,2985.0,3025.0,2972.3,3007.05,454939.0
2021-06-16,3008.0,3014.85,2970.0,2975.4,444814.0
2021-06-17,2947.0,2958.95,2902.0,2914.1,782315.0
2021-06-18,2914.1,2945.0,2852.0,2891.35,904203.0
2021-06-21,2870.0,2913.0,2865.0,2894.85,577938.0
2021-06-22,2901.0,2942.05,2896.55,2907.05,522538.0
2021-06-23,2958.95,2995.0,2921.0,2928.35,1911546.0
2021-06-24,2940.0,2940.0,2893.5,2906.95,844653.0
2021-06-25,2908.0,2949.3,2901.95,2939.2,631005.0
2021-06-28,2957.0,2958.4,2929.4,2943.65,407079.0
2021-06-29,2943.65,2957.55,2915.0,2927.5,470337.0
2021-06-30,2925.0,2930.0,2897.4,2902.6,758083.0
2021-07-01,2905.0,2947.0,2905.0,2922.5,634751.0
2021-07-02,2960.0,2968.95,2907.15,2919.85,928741.0
2021-07-05,2936.9,2951.9,2925.1,2938.05,480881.0
2021-07-06,2937.0,2954.0,2912.4,2919.25,452807.0
2021-07-07,2919.0,2922.0,2891.2,2913.35,668763.0
2021-07-08,2911.0,2934.85,2890.15,2900.4,524837.0
2021-07-09,2900.4,2919.65,2876.05,2896.8,328728.0
2021-07-12,2914.0,2926.0,2895.1,2898.2,392467.0
2021-07-13,2919.0,2919.0,2896.3,2904.1,317264.0
2021-07-14,2920.0,2920.0,2896.0,2900.7,429264.0
2021-07-15,2910.0,2913.4,2882.05,2884.65,349469.0
2021-07-16,2887.0,2908.65,2880.0,2904.7,459445.0
2021-07-19,2886.0,2894.4,2870.1,2887.1,338468.0
2021-07-20,2888.0,2899.0,2828.0,2839.0,481836.0
2021-07-22,2835.05,2847.0,2806.2,2838.25,613062.0
