date,open,high,low,close,volume
2021-05-07,2408.8,2424.0,2397.15,2411.2,1169518.0
2021-05-10,2423.0,2446.95,2416.0,2432.9,988495.0
2021-05-11,2425.0,2426.0,2394.25,2402.1,1019077.0
2021-05-12,2389.0,2389.0,2325.05,2328.95,2053932.0
2021-05-14,2328.9,2382.4,2326.0,2376.85,1388970.0
2021-05-17,2385.0,2395.0,2366.5,2376.25,811243.0
2021-05-18,2402.1,2408.35,2366.95,2374.25,1153722.0
2021-05-19,2360.0,2380.0,2344.0,2359.75,1323590.0
2021-05-20,2360.0,2362.0,2340.0,2344.15,856235.0
2021-05-21,2340.0,2366.15,2340.0,2362.25,771492.0
2021-05-24,2355.0,2359.95,2325.25,2336.55,1194864.0
2021-05-25,2355.0,2369.8,2338.0,2344.05,1098457.0
2021-05-26,2355.75,2370.2,2345.25,2354.0,811095.0
2021-05-27,2353.0,2353.0,2322.9,2326.4,3755182.0
2021-05-28,2333.35,2350.0,2319.35,2321.7,1215325.0
2021-05-31,2325.0,2345.0,2320.15,2340.05,1178704.0
2021-06-01,2347.0,2363.0,2330.6,2358.3,1141451.0
2021-06-02,2356.0,2373.65,2350.0,2358.8,1113091.0
2021-06-03,2369.0,2371.05,2345.0,2363.25,868532.0
2021-06-04,2370.0,2370.0,2333.95,2342.05,1283795.0
2021-06-07,2354.0,2354.0,2331.0,2339.3,1128300.0
2021-06-08,2339.3,2362.0,2335.15,2359.0,1106664.0
2021-06-09,2362.0,2371.95,2345.6,2356.0,1072858.0
2021-06-10,2364.0,2399.95,2355.25,2378.8,1944339.0
2021-06-11,2381.0,2388.55,2360.0,2366.5,1128097.0
2021-06-14,2358.4,2375.1,2336.6,2364.6,1761632.0
2021-06-15,2360.0,2395.0,2360.0,2391.95,1215463.0
2021-06-16,2385.0,2418.85,2383.65,2407.9,2153668.0
2021-06-17,2398.0,2425.9,2386.4,2417.7,1555777.0
2021-06-18,2420.0,2496.7,2405.0,2482.9,3937751.0
2021-06-21,2473.95,2529.0,2467.0,2514.35,2506277.0
2021-06-22,2518.1,2533.95,2481.65,2490.25,1945883.0
2021-06-23,2495.0,2514.0,2458.2,2480.5,1035668.0
2021-06-24,2490.0,2504.8,2474.1,2490.15,759681.0
2021-06-25,2488.0,2489.95,2445.0,2448.65,1112942.0
2021-06-28,2450.1,2465.0,2437.3,2460.2,694906.0
2021-06-29,2455.0,2497.5,2445.0,2492.55,1354397.0
2021-06-30,2492.55,2505.0,2463.0,2471.3,1447245.0
2021-07-01,2484.0,2484.0,2463.0,2478.0,735043.0
2021-07-02,2478.0,2492.7,2452.0,2487.3,860231.0
2021-07-05,2499.0,2513.4,2485.05,2499.05,761700.0
2021-07-06,2490.0,2497.95,2469.0,2472.5,461782.0
2021-07-07,2458.0,2490.8,2445.85,2481.65,623145.0
2021-07-08,2462.2,2469.75,2438.45,2447.55,1114426.0
2021-07-09,2440.0,2464.5,2438.45,2451.45,538094.0
2021-07-12,2453.0,2459.9,2430.0,2444.15,543898.0
2021-07-13,2455.0,2455.55,2430.0,2436.7,994396.0
2021-07-14,2439.8,2441.35,2409.0,2414.85,1377829.0
2021-07-15,2425.0,2425.0,2401.0,2412.35,693792.0
2021-07-16,2420.0,2430.0,2406.0,2417.4,545405.0
2021-07-19,2400.05,2417.0,2398.5,2408.65,463873.0
2021-07-20,2403.0,2460.0,2403.0,2434.9,1061476.0
2021-07-22,2450.0,2508.0,2375.5,2378.15,3546044.0
2021-07-23,2382.0,2391.75,2354.7,2358.1,1517589.0
2021-07-26,2357.25,2360.0,2338.0,2348.7,1311535.0
2021-07-27,2348.7,2359.45,2332.0,2342.4,1656945.0
2021-07-28,2350.0,2368.45,2343.1,2361.4,912373.0
2021-07-29,2361.4,2371.4,2330.0,2334.75,1012663.0
2021-07-30,2340.0,2356.55,2318.0,2333.3,1708251.0
2021-08-02,2342.0,2353.4,2324.6,2332.8,1229936.0
2021-08-03,2330.0,2393.0,2326.1,2386.85,1733476.0
2021-08-04,2386.85,2394.75,2367.55,2377.1,1588974.0
2021-08-05,2391.0,2391.0,2354.0,2357.7,921757.0
2021-08-06,2357.7,2380.75,2357.5,2371.5,1432661.0
2021-08-09,2379.45,2395.0,2374.85,2384.5,921476.0
2021-08-10,2394.0,2394.0,2359.1,2381.8,1061370.0
2021-08-11,2390.0,2395.0,2362.2,2390.45,1300594.0
2021-08-12,2395.0,2413.5,2377.45,2392.3,1226064.0
2021-08-13,2401.0,2409.65,2388.0,2404.5,1033159.0
2021-08-16,2404.0,2436.85,2392.65,2426.4,1146309.0
2021-08-17,2433.0,2487.45,2431.05,2483.8,1921902.0
2021-08-18,2485.0,2500.0,2454.0,2486.05,1545643.0
2021-08-20,2490.0,2630.0,2476.0,2619.4,5779927.0
2021-08-23,2625.0,2672.85,2594.5,2634.15,2163220.0
2021-08-24,2634.0,2658.0,2610.0,2633.0,1482854.0
2021-08-25,2632.0,2666.45,2620.65,2645.0,1746570.0
2021-08-26,2631.0,2697.8,2631.0,2666.4,2117291.0
2021-08-27,2669.0,2690.0,2651.1,2677.95,1176229.0
2021-08-30,2691.6,2705.75,2671.6,2687.7,1168190.0
2021-08-31,2687.9,2737.45,2675.65,2724.1,2535891.0
2021-09-01,2745.0,2775.0,2715.0,2732.9,1775792.0
2021-09-02,2748.0,2810.0,2730.15,2801.05,1946183.0
