date,open,high,low,close,volume
2021-05-07,738.0,766.7,736.75,756.95,26586556.0
2021-05-10,765.9,773.0,756.05,758.65,15105182.0
2021-05-11,741.0,754.8,730.55,734.25,16277517.0
2021-05-12,740.0,741.9,700.0,707.9,14410802.0
2021-05-14,709.95,721.5,679.05,707.1,26344309.0
2021-05-17,707.9,722.4,694.05,714.4,12706884.0
2021-05-18,723.85,731.1,711.85,717.45,9477286.0
2021-05-19,713.05,720.35,704.1,705.85,6562006.0
2021-05-20,698.0,703.4,683.2,694.5,10104850.0
2021-05-21,701.35,705.9,695.0,698.2,7340528.0
2021-05-24,697.0,697.0,671.9,681.45,22332409.0
2021-05-25,689.0,714.5,688.05,700.8,22058890.0
2021-05-26,686.3,691.0,673.55,682.2,18721303.0
2021-05-27,684.9,694.35,678.0,681.85,15110958.0
2021-05-28,697.8,708.8,686.2,689.8,12698590.0
2021-05-31,694.0,714.2,685.95,710.9,11685565.0
2021-06-01,716.5,716.95,687.5,694.5,14156453.0
2021-06-02,697.0,709.05,696.55,706.05,9653111.0
2021-06-03,710.0,720.85,703.05,714.1,8329454.0
2021-06-04,708.05,726.0,703.05,721.2,9653847.0
2021-06-07,722.6,730.75,712.8,715.75,6872666.0
2021-06-08,714.3,714.3,692.0,707.5,8230750.0
2021-06-09,705.0,713.35,693.55,697.85,6922786.0
2021-06-10,701.3,719.0,700.0,705.8,8543092.0
2021-06-11,714.0,734.1,704.75,731.2,11372473.0
2021-06-14,732.65,737.2,714.65,729.15,10470356.0
2021-06-15,728.0,732.4,717.0,725.1,5124845.0
2021-06-16,720.0,728.9,703.55,705.4,9016464.0
2021-06-17,702.1,711.0,693.45,696.35,5639158.0
2021-06-18,695.5,696.4,656.1,670.6,13505600.0
2021-06-21,656.9,676.3,646.15,672.95,8187341.0
2021-06-22,676.0,682.5,673.25,675.25,5398107.0
2021-06-23,679.0,685.0,664.15,665.5,6059813.0
2021-06-24,669.6,681.5,664.9,679.0,6985183.0
2021-06-25,685.0,702.35,685.0,689.5,9066409.0
2021-06-28,692.9,701.35,682.75,695.35,5669654.0
2021-06-29,695.0,696.5,683.6,685.9,4377422.0
2021-06-30,687.05,698.0,682.65,683.9,6112824.0
2021-07-01,687.8,690.0,679.6,680.55,4133198.0
2021-07-02,681.05,682.95,667.5,671.3,5499982.0
2021-07-05,673.0,675.0,664.45,672.75,5427717.0
2021-07-06,672.75,681.7,669.45,673.15,4790854.0
2021-07-07,671.8,694.0,669.0,690.4,8536360.0
2021-07-08,688.0,691.45,666.65,668.25,7099529.0
2021-07-09,671.0,683.6,670.0,681.55,7814242.0
2021-07-12,685.0,703.75,680.85,694.45,11632489.0
2021-07-13,698.0,703.5,694.0,701.4,6832695.0
2021-07-14,704.0,705.85,694.2,700.4,5996797.0
2021-07-15,700.0,707.95,696.05,699.1,4735495.0
2021-07-16,703.5,707.0,700.7,703.6,3590287.0
2021-07-19,697.0,712.35,694.0,698.4,5377227.0
2021-07-20,697.65,698.0,675.4,682.0,5829609.0
2021-07-22,689.9,722.6,689.05,716.55,9472817.0
2021-07-23,726.9,727.0,712.0,717.55,8731309.0
2021-07-26,729.5,729.5,701.0,704.55,14645713.0
2021-07-27,709.85,717.9,703.3,710.65,6840353.0
2021-07-28,712.0,725.4,701.45,721.7,8329455.0
2021-07-29,725.5,758.1,723.05,748.4,18513875.0
2021-07-30,746.15,757.85,733.55,736.95,9971622.0
2021-08-02,741.4,751.45,733.5,746.7,6971560.0
2021-08-03,746.0,746.0,728.4,740.3,6939253.0
2021-08-04,741.0,754.0,736.4,747.25,6680733.0
2021-08-05,747.25,765.4,740.5,763.25,8613347.0
2021-08-06,767.5,776.5,755.7,757.35,8973665.0
2021-08-09,761.85,762.5,742.45,747.35,5119564.0
2021-08-10,748.9,750.0,719.6,722.15,6382357.0
2021-08-11,727.0,752.0,727.0,749.1,11909486.0
2021-08-12,753.05,754.3,741.4,748.9,3506281.0
