date,open,high,low,close,volume
2021-05-07,104.0,105.5,103.35,105.05,13229291.0
2021-05-10,106.0,108.0,105.6,107.7,23980945.0
2021-05-11,108.0,113.4,106.7,112.7,45613487.0
2021-05-12,114.2,116.75,111.75,113.3,62158914.0
2021-05-14,113.95,113.95,110.15,111.4,16227312.0
2021-05-17,111.2,112.25,109.95,111.55,12832920.0
2021-05-18,112.6,114.2,111.75,112.1,14892142.0
2021-05-19,113.15,113.15,110.95,111.95,12610425.0
2021-05-20,112.0,112.75,110.9,111.75,10303689.0
2021-05-21,112.3,113.15,111.25,112.85,12171685.0
2021-05-24,112.35,113.95,112.05,112.9,11341268.0
2021-05-25,113.9,114.85,113.05,113.3,15289982.0
2021-05-26,114.0,114.0,110.9,111.1,17466748.0
2021-05-27,111.6,111.65,109.3,110.3,34169451.0
2021-05-28,110.3,111.0,108.35,108.95,13383166.0
2021-05-31,108.95,111.35,107.8,110.5,14754293.0
2021-06-01,110.95,111.45,109.5,110.2,10271211.0
2021-06-02,110.1,111.35,110.05,111.15,6492771.0
2021-06-03,111.6,112.2,110.45,111.8,12140851.0
2021-06-04,111.5,113.0,111.05,111.75,8930671.0
2021-06-07,112.15,116.75,112.0,116.4,28407410.0
2021-06-08,117.5,118.5,116.0,116.2,43191813.0
2021-06-09,116.5,121.0,115.8,118.1,49807823.0
2021-06-10,119.35,119.9,117.3,118.5,22144392.0
2021-06-11,118.9,119.55,117.55,118.8,13871562.0
2021-06-14,118.8,118.9,116.25,118.2,14179055.0
2021-06-15,118.2,118.95,117.6,117.8,8148417.0
2021-06-16,117.8,120.6,116.85,119.8,21585917.0
2021-06-17,118.2,120.6,116.95,117.4,14466025.0
2021-06-18,117.4,118.15,112.9,113.55,43927941.0
2021-06-21,113.25,118.45,113.05,118.0,34597018.0
2021-06-22,118.5,118.9,116.95,118.3,16712010.0
2021-06-23,118.85,118.85,116.95,117.25,12590251.0
2021-06-24,117.2,118.5,115.7,118.0,14046692.0
2021-06-25,119.1,119.1,115.7,116.05,12768348.0
2021-06-28,116.9,117.85,116.0,116.15,10709748.0
2021-06-29,116.25,118.55,115.4,117.6,33488455.0
2021-06-30,117.85,118.45,116.15,116.4,16739618.0
2021-07-01,116.8,117.8,115.7,117.35,12479506.0
2021-07-02,117.55,119.05,117.0,117.5,17215972.0
2021-07-05,117.9,119.1,117.25,118.6,16409169.0
2021-07-06,118.1,118.95,117.05,117.65,14979094.0
2021-07-07,117.05,118.2,116.85,117.45,14545289.0
2021-07-08,117.35,118.7,117.2,117.45,12037089.0
2021-07-09,117.0,118.4,116.25,117.8,9585144.0
2021-07-12,118.0,118.75,117.15,117.85,7651672.0
2021-07-13,118.15,122.0,118.1,119.9,30663035.0
2021-07-14,119.95,120.95,119.8,120.75,9539611.0
2021-07-15,120.75,121.2,119.2,120.3,11278872.0
2021-07-16,120.15,120.8,118.3,119.1,17198632.0
2021-07-19,119.1,121.85,118.5,121.4,14364285.0
2021-07-20,122.0,122.0,118.2,118.45,11360716.0
2021-07-22,118.75,119.7,118.55,119.2,9520328.0
2021-07-23,119.4,120.1,118.3,118.5,10442400.0
2021-07-26,118.2,120.0,118.05,119.35,5370055.0
2021-07-27,119.3,119.6,118.2,118.85,5280342.0
2021-07-28,119.55,119.55,115.8,116.8,11010096.0
2021-07-29,117.7,118.25,115.25,116.75,11897018.0
2021-07-30,116.95,119.95,116.25,118.2,14546264.0
2021-08-02,118.6,118.75,117.0,117.75,11742555.0
2021-08-03,118.5,118.5,116.5,117.65,21122697.0
2021-08-04,118.05,118.85,116.55,117.85,9432176.0
2021-08-05,117.05,117.8,115.95,116.5,11045322.0
2021-08-06,116.5,118.7,116.45,117.65,8434733.0
2021-08-09,118.5,119.1,116.55,116.7,7816050.0
2021-08-10,116.9,117.2,113.65,114.35,9774255.0
2021-08-11,114.7,117.3,114.55,116.95,8056886.0
2021-08-12,116.95,119.4,116.5,119.15,8640167.0
2021-08-13,119.45,119.45,117.2,118.25,9744939.0
2021-08-16,118.25,119.4,118.1,118.85,8768804.0
2021-08-17,119.35,119.5,116.2,117.4,8758578.0
2021-08-18,117.4,118.9,116.1,116.55,9357721.0
2021-08-20,116.3,117.0,113.45,114.15,11684504.0
2021-08-23,115.5,115.75,112.2,113.4,6271685.0
2021-08-24,114.2,116.3,113.65,113.95,11791078.0
2021-08-25,114.7,115.25,113.8,114.0,9491958.0
2021-08-26,114.1,114.5,111.95,112.75,11668986.0
2021-08-27,112.7,114.1,112.1,113.4,8095717.0
2021-08-30,113.25,115.5,113.25,114.95,9915170.0
2021-08-31,115.25,116.35,114.7,115.95,11386659.0
2021-09-01,116.0,116.7,114.75,115.4,7508413.0
2021-09-02,115.1,116.7,115.0,116.5,5700524.0
2021-09-03,117.0,117.9,116.5,117.0,9364904.0
2021-09-06,117.65,117.65,115.9,116.45,7005043.0
2021-09-07,116.7,116.9,115.25,115.85,7723357.0
2021-09-08,113.85,114.6,112.4,114.05,10508654.0
2021-09-09,113.95,114.75,113.5,114.55,5757417.0
2021-09-13,114.65,115.5,114.15,115.0,6322443.0
2021-09-14,115.25,116.15,114.8,115.9,7369292.0
2021-09-15,116.0,124.85,116.0,124.2,48721413.0
2021-09-16,124.5,125.7,123.0,124.0,17684303.0
2021-09-17,124.15,124.7,121.55,123.75,15763396.0
2021-09-20,122.5,123.95,121.8,122.7,7431359.0
2021-09-21,122.3,125.4,122.1,124.1,8629222.0
2021-09-22,124.6,127.0,124.0,124.4,11698183.0
2021-09-23,124.8,127.0,124.65,126.2,11053966.0
2021-09-24,126.5,126.7,123.95,124.25,8598140.0
2021-09-27,125.3,127.8,124.5,126.85,8490460.0
2021-09-28,127.5,133.65,127.35,131.95,35900138.0
2021-09-29,131.4,144.25,130.6,140.65,75859390.0
2021-09-30,141.75,143.2,139.1,141.85,34614825.0
2021-10-01,140.95,144.35,137.7,139.9,22452069.0
2021-10-04,143.45,149.35,140.5,145.55,58612212.0
2021-10-05,145.55,147.85,144.2,145.4,24390676.0
2021-10-06,146.45,147.3,142.8,143.3,14421296.0
2021-10-07,144.2,145.65,142.25,142.8,10035682.0
2021-10-08,143.55,143.9,140.3,141.1,10686586.0
2021-10-11,142.0,146.75,141.45,144.8,17449923.0
2021-10-12,146.0,146.25,143.8,144.55,16030831.0
2021-10-13,145.5,147.25,144.7,146.35,19100941.0
2021-10-14,147.5,150.6,146.85,149.4,29263867.0
2021-10-18,151.25,151.7,148.7,149.55,25346029.0
2021-10-19,150.95,152.1,148.1,149.65,20234486.0
2021-10-20,150.65,150.65,145.3,146.25,16129487.0
2021-10-21,147.7,148.55,145.9,147.9,20818539.0
