date,open,high,low,close,volume
2021-05-07,216.35,216.8,213.5,214.55,7036647.0
2021-05-10,215.4,220.15,214.95,219.85,10038140.0
2021-05-11,220.0,225.2,218.4,223.4,12935130.0
2021-05-12,223.4,235.0,223.05,225.95,31300529.0
2021-05-14,227.75,230.0,223.85,228.85,10586699.0
2021-05-17,230.95,231.0,227.1,228.4,6185447.0
2021-05-18,230.9,239.85,228.5,233.1,29747844.0
2021-05-19,234.2,238.0,231.4,233.75,15795589.0
2021-05-20,234.0,234.95,228.4,228.95,6022766.0
2021-05-21,228.05,229.25,226.0,227.95,12207875.0
2021-05-24,229.0,234.4,228.4,231.0,12391275.0
2021-05-25,233.0,234.45,231.15,232.9,5155518.0
2021-05-26,233.2,233.8,224.95,225.6,10306192.0
2021-05-27,226.7,229.6,223.25,228.3,28796749.0
2021-05-28,231.0,231.0,224.8,225.45,8610470.0
2021-05-31,226.0,226.6,223.75,225.65,7370024.0
2021-06-01,226.3,228.0,223.9,224.4,8850226.0
2021-06-02,224.2,228.15,224.1,227.45,4497488.0
2021-06-03,229.05,231.45,225.65,226.3,5788874.0
2021-06-04,226.0,228.15,224.8,226.15,3455150.0
2021-06-07,227.3,237.8,226.9,236.25,10158072.0
2021-06-08,238.95,238.95,232.05,234.05,12662869.0
2021-06-09,236.0,245.5,233.8,242.1,22424506.0
2021-06-10,248.0,248.0,240.25,241.65,18388571.0
2021-06-11,248.8,248.8,244.0,246.3,16392434.0
2021-06-14,247.95,249.8,242.1,248.7,10537107.0
2021-06-15,250.55,251.5,247.05,247.6,8452513.0
2021-06-16,246.85,247.5,240.95,242.15,17272513.0
2021-06-17,244.05,244.05,236.75,239.85,12521910.0
2021-06-18,244.0,245.0,230.1,233.0,27719000.0
2021-06-21,231.9,235.45,228.4,234.85,6592407.0
2021-06-22,232.05,237.0,232.05,234.05,6165871.0
2021-06-23,235.75,236.0,232.0,232.25,6030649.0
2021-06-24,232.25,232.95,228.1,231.15,7292369.0
2021-06-25,231.45,232.8,229.4,230.85,4351744.0
2021-06-28,232.0,232.5,230.7,231.85,5619149.0
2021-06-29,232.6,237.9,231.65,236.0,34362892.0
2021-06-30,237.15,237.6,232.0,232.4,9808734.0
2021-07-01,232.55,232.95,230.2,230.8,8957710.0
2021-07-02,230.8,231.1,227.6,227.95,5371872.0
2021-07-05,229.3,230.9,228.35,230.3,3852668.0
2021-07-06,229.4,230.5,228.3,228.8,3005966.0
2021-07-07,228.8,231.45,228.8,230.95,4066256.0
2021-07-08,230.1,233.15,229.55,231.15,4916257.0
2021-07-09,231.05,231.45,230.0,230.25,1682357.0
2021-07-12,230.7,231.75,228.2,229.0,3137800.0
2021-07-13,230.4,231.9,228.3,228.65,4648664.0
2021-07-14,228.65,231.45,228.45,229.95,5191171.0
2021-07-15,231.0,231.45,229.3,230.4,3024464.0
2021-07-16,231.65,236.5,230.5,233.85,8945881.0
2021-07-19,233.85,234.65,231.5,233.15,7720835.0
2021-07-20,234.9,236.3,230.95,231.3,7975165.0
2021-07-22,234.5,234.5,228.7,233.25,5837810.0
2021-07-23,233.75,233.95,232.05,233.0,3746459.0
2021-07-26,233.45,235.35,232.05,232.7,7292084.0
2021-07-27,233.0,234.85,230.65,231.85,6093515.0
2021-07-28,232.0,232.4,227.4,228.1,7778302.0
2021-07-29,171.0,173.55,167.15,167.4,21457249.0
2021-07-30,169.05,173.2,168.2,171.15,25606627.0
2021-08-02,171.5,172.0,169.3,171.0,7181817.0
2021-08-03,172.55,175.2,171.1,174.45,15719577.0
2021-08-04,175.65,176.6,173.85,175.25,17492458.0
2021-08-05,175.25,175.75,173.25,175.2,4966037.0
2021-08-06,175.5,176.5,174.55,175.0,4005234.0
2021-08-09,177.0,177.0,174.05,176.45,12311254.0
2021-08-10,176.1,176.1,171.35,172.6,8943948.0
2021-08-11,172.95,177.0,172.55,176.35,23459974.0
2021-08-12,177.0,187.7,176.3,187.0,43580817.0
2021-08-13,184.2,187.3,183.6,184.75,20082633.0
2021-08-16,184.0,184.3,180.4,180.7,15981492.0
2021-08-17,181.05,183.75,181.0,183.25,11971845.0
2021-08-18,183.7,186.0,180.15,180.6,18920646.0
2021-08-20,177.3,180.05,177.05,178.6,14040351.0
2021-08-23,179.5,179.9,174.2,175.65,9834559.0
2021-08-24,177.3,179.3,175.45,176.6,8272098.0
2021-08-25,177.2,177.45,175.05,175.5,9001014.0
2021-08-26,175.4,175.4,171.6,173.1,9086435.0
2021-08-27,173.8,174.85,171.75,174.35,6038775.0
2021-08-30,175.2,176.35,172.8,175.5,10884301.0
2021-08-31,175.5,177.05,174.95,175.35,32436250.0
2021-09-01,177.8,177.8,174.65,175.65,8863194.0
2021-09-02,175.4,176.1,174.2,175.75,10158768.0
2021-09-03,176.0,176.8,174.4,175.55,9214857.0
2021-09-06,175.7,176.35,173.0,174.1,10462864.0
2021-09-07,174.1,174.15,172.45,173.0,9363774.0
2021-09-08,171.25,173.6,170.2,172.85,19027722.0
2021-09-09,172.4,174.15,171.9,173.5,3808763.0
2021-09-13,174.25,174.3,172.7,173.9,5641863.0
2021-09-14,173.9,175.1,173.5,174.1,6325821.0
2021-09-15,174.0,179.0,173.75,177.9,15048179.0
2021-09-16,178.95,181.65,178.3,179.45,12161163.0
2021-09-17,179.55,180.4,176.75,178.8,15914420.0
2021-09-20,177.2,179.2,175.1,177.0,5874802.0
