date,open,high,low,close,volume
2021-05-07,357.5,362.0,353.0,358.25,38357618.0
2021-05-10,360.5,367.0,358.8,361.7,41739324.0
2021-05-11,356.85,366.4,354.75,364.65,41892770.0
2021-05-12,362.8,373.5,361.9,367.7,53436590.0
2021-05-14,370.0,372.5,359.55,360.45,51722170.0
2021-05-17,364.4,385.2,363.65,383.1,106555796.0
2021-05-18,390.0,392.55,380.05,382.25,70917710.0
2021-05-19,382.0,389.5,381.2,384.4,48189573.0
2021-05-20,387.0,387.8,382.0,384.55,42898608.0
2021-05-21,390.0,404.4,378.0,401.2,192810772.0
2021-05-24,417.0,419.2,405.3,412.05,142964052.0
2021-05-25,415.1,415.5,408.5,412.35,56048127.0
2021-05-26,413.8,418.75,410.8,413.55,52357719.0
2021-05-27,413.7,429.1,412.0,425.2,73392997.0
2021-05-28,430.5,433.65,420.05,422.05,65137568.0
2021-05-31,421.0,426.0,418.0,424.35,38291043.0
2021-06-01,426.05,435.35,425.6,432.55,59299647.0
2021-06-02,430.8,437.95,429.15,437.25,38657806.0
2021-06-03,437.0,441.95,433.5,439.65,38909199.0
2021-06-04,437.5,441.9,431.75,433.6,36898769.0
2021-06-07,435.1,437.4,430.8,432.25,20201197.0
2021-06-08,432.25,432.5,424.0,427.2,31113823.0
2021-06-09,427.5,432.3,418.2,421.45,27784834.0
2021-06-10,424.9,433.3,422.4,432.25,27397712.0
2021-06-11,434.85,435.5,425.25,429.6,26831924.0
2021-06-14,427.0,432.45,416.7,430.35,30106015.0
2021-06-15,429.2,432.8,428.0,429.5,16413658.0
2021-06-16,428.0,432.75,425.0,425.95,19701175.0
2021-06-17,421.0,425.95,416.6,420.25,23048331.0
2021-06-18,423.9,423.9,402.65,412.9,45748727.0
2021-06-21,406.35,421.0,400.5,419.75,33128978.0
2021-06-22,423.0,425.45,417.3,418.65,28442965.0
2021-06-23,421.1,424.75,415.0,418.85,27564829.0
2021-06-24,420.35,422.75,416.3,417.2,19214547.0
2021-06-25,421.0,431.0,419.05,428.8,29886797.0
2021-06-28,430.7,433.15,424.55,426.75,29370660.0
2021-06-29,427.5,428.95,420.55,421.5,22275961.0
2021-06-30,423.0,424.9,418.3,419.2,18337773.0
2021-07-01,420.3,423.7,417.15,420.4,16161469.0
2021-07-02,420.3,425.4,419.0,424.4,16423811.0
2021-07-05,426.5,434.5,424.25,432.65,16483761.0
2021-07-06,431.7,436.5,428.2,429.75,20195278.0
2021-07-07,429.35,434.0,427.55,432.85,14473774.0
2021-07-08,432.8,435.4,422.1,424.45,21433043.0
2021-07-09,425.0,427.5,421.05,423.75,16844494.0
