date,open,high,low,close,volume
2021-05-07,681.0,691.0,677.6,679.45,6466334.0
2021-05-10,688.0,703.5,683.6,698.2,10924222.0
2021-05-11,698.5,721.85,696.2,708.1,14760511.0
2021-05-12,714.95,714.95,700.0,702.85,7250661.0
2021-05-14,703.0,711.0,687.0,691.45,6851035.0
2021-05-17,688.0,698.5,680.05,687.15,6318234.0
2021-05-18,691.0,695.85,684.75,690.8,4080423.0
2021-05-19,694.3,706.75,690.8,703.4,7745431.0
2021-05-20,700.0,701.65,685.0,686.85,6226376.0
2021-05-21,691.75,694.5,688.0,690.4,3434231.0
2021-05-24,691.0,698.4,689.6,690.95,3722957.0
2021-05-25,695.0,697.4,691.0,696.1,2800233.0
2021-05-26,699.5,706.15,696.2,703.8,6235460.0
2021-05-27,707.25,709.75,694.5,699.5,9875654.0
2021-05-28,694.0,694.5,666.3,669.75,28316552.0
2021-05-31,672.0,675.7,659.0,668.3,13947126.0
2021-06-01,670.1,673.3,664.3,671.05,6443084.0
2021-06-02,671.0,678.1,670.15,677.45,4978457.0
2021-06-03,678.0,680.85,673.5,675.5,3604574.0
2021-06-04,678.9,679.25,672.8,673.95,3747803.0
2021-06-07,673.95,677.8,670.9,675.35,2793705.0
2021-06-08,673.0,679.95,665.1,678.75,5695920.0
2021-06-09,681.05,684.7,667.6,672.85,4492551.0
2021-06-10,673.05,681.0,673.0,676.05,3099864.0
2021-06-11,675.2,686.35,674.05,681.3,3822099.0
2021-06-14,682.0,683.7,671.55,677.1,3640962.0
2021-06-15,677.1,681.4,671.75,673.2,3862284.0
2021-06-16,675.0,680.5,666.85,668.55,4842448.0
2021-06-17,671.8,673.55,661.65,665.05,2776147.0
2021-06-18,667.0,673.0,652.7,668.5,4158743.0
2021-06-21,662.0,674.8,662.0,671.35,2932177.0
2021-06-22,678.0,680.25,665.85,666.8,4577152.0
2021-06-23,666.8,672.35,664.25,665.25,2631031.0
2021-06-24,664.2,671.0,661.5,664.8,3460776.0
2021-06-25,664.8,677.4,664.8,672.25,3010243.0
2021-06-28,675.0,679.9,669.55,676.3,3342385.0
2021-06-29,673.25,681.5,673.1,677.6,2937766.0
2021-06-30,678.05,683.45,674.25,675.45,3768943.0
2021-07-01,675.0,685.8,673.7,684.15,4102748.0
2021-07-02,685.5,689.5,678.3,681.25,5071894.0
2021-07-05,684.0,684.95,678.6,680.2,1600769.0
