date,open,high,low,close,volume
2021-05-07,636.0,642.0,614.0,629.0,14598653.0
2021-05-10,627.0,636.95,621.0,633.15,5026811.0
2021-05-11,628.0,649.9,625.0,641.6,4619231.0
2021-05-12,645.0,646.7,631.1,640.05,3137276.0
2021-05-14,640.5,649.5,638.05,645.15,2927148.0
2021-05-17,646.0,657.4,640.1,653.3,2659352.0
2021-05-18,658.0,658.0,648.0,653.0,2267368.0
2021-05-19,652.0,661.0,650.7,653.2,3202046.0
2021-05-20,656.0,656.0,640.1,644.9,2102743.0
2021-05-21,645.05,652.5,644.3,649.7,1833201.0
2021-05-24,650.0,654.7,638.5,640.1,2669967.0
2021-05-25,641.0,652.0,641.0,649.95,2085253.0
2021-05-26,652.0,655.0,640.65,641.9,2314694.0
2021-05-27,643.5,652.0,641.15,648.55,3543940.0
2021-05-28,650.5,657.7,646.3,654.95,2881977.0
2021-05-31,659.95,665.0,650.2,663.85,3417033.0
2021-06-01,665.8,667.25,656.8,665.8,2355484.0
2021-06-02,665.5,674.75,660.15,673.55,3021421.0
2021-06-03,676.0,683.0,673.25,680.0,2485855.0
2021-06-04,680.85,689.95,675.0,686.95,2398771.0
2021-06-07,690.0,707.0,687.3,699.95,3511853.0
2021-06-08,705.15,715.4,701.6,710.45,3981598.0
2021-06-09,712.3,714.85,700.75,702.85,3039558.0
2021-06-10,704.3,718.75,704.0,707.7,2571253.0
2021-06-11,714.15,717.35,709.5,715.4,2171601.0
2021-06-14,715.4,717.0,702.6,714.75,1798953.0
2021-06-15,718.0,724.1,715.4,719.5,2387652.0
2021-06-16,724.0,737.75,721.0,735.9,4134529.0
2021-06-17,730.55,747.3,724.85,745.0,4167585.0
2021-06-18,746.0,747.45,732.1,739.8,3762934.0
2021-06-21,729.0,743.95,727.85,742.55,1594856.0
2021-06-22,748.0,758.75,742.35,756.7,3346784.0
2021-06-23,760.0,765.0,751.85,757.85,2952360.0
2021-06-24,762.0,763.8,754.0,757.45,1668843.0
2021-06-25,755.0,763.45,753.5,757.6,1588289.0
2021-06-28,762.0,769.7,759.0,765.65,1486902.0
2021-06-29,766.4,771.9,755.85,758.05,1506378.0
2021-06-30,765.0,768.35,749.4,754.4,1733070.0
2021-07-01,755.8,760.0,750.0,756.05,1914434.0
2021-07-02,757.9,768.8,753.2,763.6,1916135.0
2021-07-05,770.45,771.5,765.0,766.3,1020895.0
2021-07-06,768.0,769.0,758.0,762.6,1411602.0
2021-07-07,759.0,766.05,751.25,763.05,2104914.0
2021-07-08,762.95,766.0,757.0,763.3,1540033.0
2021-07-09,763.0,772.75,759.7,765.95,1151792.0
2021-07-12,771.0,786.85,769.1,775.9,2992685.0
2021-07-13,780.9,780.9,766.7,772.85,1500414.0
2021-07-14,773.6,776.7,763.4,768.2,1094262.0
2021-07-15,769.0,774.6,763.5,772.35,965602.0
2021-07-16,772.35,774.95,761.4,763.0,980383.0
2021-07-19,761.0,770.0,758.55,765.55,1695546.0
2021-07-20,762.0,768.0,747.0,757.1,2195159.0
2021-07-22,763.5,765.9,755.1,764.2,1464419.0
2021-07-23,767.15,777.0,766.0,775.15,2021122.0
2021-07-26,780.25,786.0,770.8,776.35,2154261.0
2021-07-27,780.4,788.15,764.0,769.75,2001824.0
