symbol,signal_date,entry_date,exit_date,side,entry_price,exit_price,stop_loss,target_price,quantity,pnl,pnl_pct,holding_days,confidence,score,market_trend,entry_point,avg_volume,macd_crossover,ema_crossover,price_position,bullish_reversal,comments
DRREDDY,2026-02-23,2026-02-24,2026-03-02,LONG,1307.5,1242.12,1242.12,1438.26,7,-457.66,-5.0,5,Medium,5,Up,Weak,Good,No neg-zone cross,Above 12W & 26W EMA,At 50W/200W MA,Strong pattern,Signal score 5/7
HEROMOTOCO,2026-02-25,2026-02-26,2026-03-04,LONG,5760.0,5472.0,5472.0,6336.0,1,-288.0,-5.0,4,Medium,5,Up,Weak,Good,Neg-zone cross,Above 12W & 26W EMA,At 50W/200W MA,No clear pattern,Signal score 5/7
SUNPHARMA,2026-03-06,2026-03-09,2026-04-01,LONG,1772.9,1728.5,1684.26,1950.18,5,-222.0,-2.5,16,Medium,5,Up,Weak,Good,No neg-zone cross,Above 12W & 26W EMA,At 50W/200W MA,Strong pattern,Signal score 5/7
DRREDDY,2026-03-10,2026-03-11,2026-03-23,LONG,1311.1,1245.54,1245.54,1442.22,7,-458.92,-5.0,9,Medium,5,Up,Weak,Good,No neg-zone cross,Above 12W & 26W EMA,At 50W/200W MA,Strong pattern,Signal score 5/7
HEROMOTOCO,2026-03-10,2026-03-11,2026-03-12,LONG,5729.5,5443.02,5443.02,6302.46,1,-286.48,-5.0,2,Medium,5,Up,Weak,Low,Neg-zone cross,Above 12W & 26W EMA,At 50W/200W MA,Strong pattern,Signal score 5/7
POWERGRID,2026-03-23,2026-03-24,2026-03-24,LONG,309.0,293.55,293.55,339.9,32,-494.4,-5.0,1,Medium,5,Up,Weak,Good,No neg-zone cross,Above 12W & 26W EMA,At 50W/200W MA,Strong pattern,Signal score 5/7
COALINDIA,2026-03-30,2026-04-01,2026-04-02,LONG,464.0,440.8,440.8,510.4,21,-487.2,-5.0,2,Medium,5,Up,Weak,Good,No neg-zone cross,Above 12W & 26W EMA,At 50W/200W MA,Strong pattern,Signal score 5/7
TITAN,2026-04-02,2026-04-06,2026-04-28,LONG,4105.0,4417.0,3899.75,4515.5,2,624.0,7.6,16,Medium,5,Up,Weak,Good,No neg-zone cross,Above 12W & 26W EMA,At 50W/200W MA,Strong pattern,Signal score 5/7
EICHERMOT,2026-04-08,2026-04-09,2026-05-04,LONG,7147.0,7329.0,6789.65,7861.7,1,182.0,2.55,16,High,7,Up,Good,Good,Neg-zone cross,Above 12W & 26W EMA,At 50W/200W MA,Strong pattern,Signal score 7/7
SHRIRAMFIN,2026-04-08,2026-04-09,2026-04-28,LONG,1010.1,959.6,959.6,1111.1,9,-454.5,-5.0,13,High,7,Up,Good,Good,Neg-zone cross,Above 12W & 26W EMA,At 50W/200W MA,Strong pattern,Signal score 7/7
AXISBANK,2026-04-08,2026-04-09,2026-05-04,LONG,1322.3,1275.1,1256.18,1454.54,7,-330.4,-3.57,16,Medium,5,Up,Weak,Good,No neg-zone cross,Above 12W & 26W EMA,At 50W/200W MA,Strong pattern,Signal score 5/7
NTPC,2026-04-08,2026-04-09,2026-05-04,LONG,376.95,400.05,358.1,414.65,26,600.6,6.13,16,Medium,5,Up,Weak,Good,No neg-zone cross,Above 12W & 26W EMA,At 50W/200W MA,Strong pattern,Signal score 5/7
