date,equity
2025-07-30,25117.0
2025-07-25,23894.44
2025-07-30,23712.44
2025-07-25,22578.84
2025-07-30,22756.44
2025-08-08,21619.039999999997
2025-08-11,22980.039999999997
2025-08-07,21849.339999999997
2025-08-14,23356.339999999997
2025-08-14,22731.739999999998
2025-08-20,25225.059999999998
2025-08-13,27355.359999999997
2025-08-28,29618.559999999998
2025-08-26,28377.6
2025-09-01,27842.1
2025-08-29,26628.6
2025-09-04,27488.6
2025-09-04,29922.6
2025-09-12,29882.6
2025-09-15,29793.0
2025-09-08,32120.5
2025-09-18,32036.5
2025-09-18,33113.5
2025-09-22,34028.5
2025-09-26,32781.09
2025-09-29,33223.28999999999
2025-09-29,32072.809999999994
2025-10-03,33008.35999999999
2025-10-07,32679.359999999993
2025-10-13,32829.35999999999
2025-10-14,32490.359999999993
2025-10-14,32534.359999999993
2025-10-17,33040.27999999999
2025-10-21,34414.27999999999
2025-10-28,34596.77999999999
2025-10-29,35946.77999999999
2025-10-29,36207.17999999999
2025-10-24,35033.12999999999
2025-10-31,37466.32999999999
2025-11-04,36352.32999999999
2025-11-12,35846.32999999999
2025-11-13,37617.779999999984
2025-11-14,38400.779999999984
2025-11-17,38923.97999999998
2025-11-19,38770.07999999998
2025-11-26,38890.87999999998
2025-11-27,40156.87999999998
2025-11-25,38908.669999999984
2025-12-01,39517.669999999984
2025-12-03,39287.669999999984
2025-12-09,39494.069999999985
2025-12-10,38569.46999999999
2025-12-11,39064.46999999999
2025-12-15,39183.36999999999
2025-12-17,38810.16999999999
2025-12-23,39086.16999999999
2025-12-24,39058.969999999994
2025-12-26,38976.77
2025-12-30,38385.869999999995
2026-01-01,37491.27
2026-01-07,38022.57
2026-01-08,39178.57
2026-01-09,38317.27
2026-01-13,37987.27
2026-01-16,37543.27
2026-01-16,36702.869999999995
2026-01-23,36453.969999999994
2026-01-21,35497.729999999996
2026-01-21,34389.229999999996
2026-02-02,34865.229999999996
2026-02-02,34950.729999999996
2026-02-05,37016.63
2026-01-27,35936.63
2026-01-29,38427.28999999999
2026-02-10,38643.88999999999
2026-02-02,37413.88999999999
2026-02-03,36167.88999999999
2026-02-04,34958.84999999999
2026-02-17,34733.84999999999
2026-02-13,33487.149999999994
2026-02-12,32276.799999999996
2026-02-19,32485.049999999996
2026-02-13,31255.049999999996
2026-02-26,31819.349999999995
2026-02-27,32704.349999999995
2026-02-27,33259.149999999994
2026-03-02,32085.399999999994
2026-03-02,30855.399999999994
2026-03-13,32804.799999999996
2026-03-09,31571.999999999996
2026-03-13,30343.589999999997
2026-03-17,30522.189999999995
2026-03-17,30162.189999999995
2026-03-13,28939.869999999995
2026-03-30,28770.869999999995
2026-03-30,28425.869999999995
2026-03-23,27203.969999999994
2026-03-23,25956.849999999995
2026-04-01,24742.179999999993
2026-04-08,27191.079999999994
2026-04-10,28760.079999999994
2026-04-17,28917.579999999994
2026-04-20,28502.329999999994
2026-04-16,30992.029999999995
2026-04-23,33133.13
2026-04-28,34651.13
2026-04-30,35019.13
2026-05-04,35529.13
2026-04-30,38014.409999999996
2026-05-06,37853.909999999996
2026-05-06,37953.659999999996
2026-05-06,38832.06
2026-05-06,38986.11
2026-05-06,39876.11
