symbol,signal_date,entry_date,exit_date,side,entry_price,exit_price,stop_loss,target_price,quantity,pnl,pnl_pct,holding_days,confidence,score,market_trend,entry_point,avg_volume,macd_crossover,ema_crossover,price_position,bullish_reversal,comments
APOLLOHOSP,2023-02-16,2023-02-17,2023-02-28,LONG,4640.15,4361.74,4361.74,5336.17,1,-278.41,-6.0,8,Medium,5,Up,Weak,Good,N/A,Trend OK,Below breakout,N/A,Signal score 5/7
COALINDIA,2023-02-16,2023-02-17,2023-03-17,LONG,214.85,221.65,201.96,247.07,38,258.4,3.16,20,Medium,5,Up,Weak,Good,N/A,Trend OK,Below breakout,N/A,Signal score 5/7
ONGC,2023-02-16,2023-02-17,2023-03-17,LONG,155.5,153.15,146.17,178.83,53,-124.55,-1.51,20,Medium,5,Up,Weak,Good,N/A,Trend OK,Below breakout,N/A,Signal score 5/7
AXISBANK,2023-02-16,2023-02-17,2023-03-17,LONG,861.0,837.4,809.34,990.15,9,-212.4,-2.74,20,Medium,4,Up,Weak,Low,N/A,Trend OK,Below breakout,N/A,Signal score 4/7
BAJAJ-AUTO,2023-02-16,2023-02-17,2023-02-27,LONG,3890.0,3656.6,3656.6,4473.5,2,-466.8,-6.0,7,Medium,4,Up,Weak,Low,N/A,Trend OK,Below breakout,N/A,Signal score 4/7
JSWSTEEL,2023-02-27,2023-02-28,2023-03-28,LONG,683.95,660.0,642.91,786.55,12,-287.4,-3.5,20,Medium,4,Up,Weak,Low,N/A,Trend OK,Below breakout,N/A,Signal score 4/7
BAJAJ-AUTO,2023-02-28,2023-03-01,2023-03-29,LONG,3670.0,3879.3,3449.8,4220.5,2,418.6,5.7,20,Medium,5,Up,Weak,Good,N/A,Trend OK,Below breakout,N/A,Signal score 5/7
ICICIBANK,2023-03-17,2023-03-20,2023-04-20,LONG,837.0,894.4,786.78,962.55,9,516.6,6.86,20,Medium,4,Up,Weak,Low,N/A,Trend OK,Below breakout,N/A,Signal score 4/7
INDUSINDBK,2023-03-17,2023-03-20,2023-04-20,LONG,1020.0,1126.2,958.8,1173.0,8,849.6,10.41,20,Medium,4,Up,Weak,Low,N/A,Trend OK,Below breakout,N/A,Signal score 4/7
MARUTI,2023-03-17,2023-03-20,2023-04-20,LONG,8316.85,8714.65,7817.84,9564.38,1,397.8,4.78,20,Medium,4,Up,Weak,Low,N/A,Trend OK,Below breakout,N/A,Signal score 4/7
BPCL,2023-03-29,2023-03-31,2023-05-03,LONG,344.9,360.8,324.21,396.62,24,381.6,4.61,20,Medium,4,Up,Weak,Low,N/A,Trend OK,Below breakout,N/A,Signal score 4/7
BAJAJ-AUTO,2023-03-31,2023-04-03,2023-05-02,LONG,3904.8,4490.52,3670.51,4490.52,2,1171.44,15.0,18,Medium,4,Up,Weak,Low,N/A,Trend OK,Below breakout,N/A,Signal score 4/7
