date,equity
2026-03-02,24766.93
2026-02-27,24567.19
2026-03-12,25033.59
2026-03-04,24801.39
2026-03-05,24560.89
2026-03-20,24580.09
2026-03-12,24383.88
2026-03-13,24166.8
2026-03-09,23964.75
2026-03-27,23914.35
2026-03-16,23671.649999999998
2026-03-23,23434.05
2026-03-23,23207.35
2026-04-06,23153.75
2026-04-02,22963.67
2026-04-08,23417.17
2026-04-08,23825.109999999997
2026-04-02,23581.109999999997
2026-04-16,24047.549999999996
2026-04-22,23985.499999999996
2026-04-20,24482.579999999998
2026-04-27,24962.079999999998
2026-04-27,25027.679999999997
2026-04-27,24798.679999999997
2026-05-05,24576.679999999997
2026-05-06,24606.379999999997
2026-05-06,24858.78
2026-05-06,24910.989999999998
2026-05-06,24923.64
2026-05-06,25055.39
