date,equity
2025-07-29,25081.5
2025-07-29,25163.5
2025-07-25,24755.46
2025-07-29,25027.76
2025-07-29,24904.76
2025-08-08,24733.26
2025-08-12,24468.26
2025-08-07,23978.679999999997
2025-08-12,23643.279999999995
2025-08-13,24038.479999999996
2025-08-20,25029.799999999996
2025-08-19,25963.439999999995
2025-08-26,25478.689999999995
2025-09-01,25505.389999999996
2025-09-01,25326.889999999996
2025-09-03,25648.389999999996
2025-08-28,25154.289999999997
2025-09-11,25144.69
2025-09-08,26132.85
2025-09-15,26099.25
2025-09-15,26471.25
2025-09-18,26429.25
2025-09-22,26795.25
2025-09-25,26793.25
2025-09-29,26974.15
2025-09-26,26513.2
2025-10-03,26341.0
2025-10-07,26247.0
2025-10-10,26514.0
2025-10-13,26564.0
2025-10-14,26581.6
2025-10-17,26784.96
2025-10-23,27099.46
2025-10-27,27209.66
2025-10-28,27282.16
2025-10-29,27732.16
2025-11-04,27625.16
2025-11-04,27346.66
2025-10-30,26897.26
2025-11-12,26694.859999999997
2025-11-13,27393.459999999995
2025-11-14,27706.659999999996
2025-11-19,27645.859999999997
2025-11-20,27781.459999999995
2025-11-26,27826.759999999995
2025-11-27,28333.159999999996
2025-11-25,27848.779999999995
2025-12-03,27791.279999999995
2025-12-04,27801.679999999997
2025-12-08,27309.439999999995
2025-12-10,27049.439999999995
2025-12-11,27247.439999999995
2025-12-17,27123.039999999994
2025-12-18,27139.839999999993
2025-12-22,27289.339999999993
2025-12-18,26992.059999999994
2025-12-26,26964.659999999993
2026-01-01,26645.159999999993
2026-01-02,27107.959999999992
2026-01-05,26910.55999999999
2026-01-06,27143.25999999999
2026-01-12,27011.25999999999
2026-01-16,26900.25999999999
2026-01-09,26444.139999999992
2026-01-20,26065.339999999993
2026-01-21,25704.43999999999
2026-01-20,25273.69999999999
2026-01-28,25711.69999999999
2026-02-02,25881.69999999999
2026-02-05,26702.39999999999
2026-02-02,26343.64999999999
2026-01-27,25983.64999999999
2026-02-10,26063.44999999999
2026-02-11,26339.54999999999
2026-02-03,25894.54999999999
2026-02-04,25462.74999999999
2026-02-12,26184.24999999999
2026-02-12,25700.10999999999
2026-02-19,25783.40999999999
2026-02-13,25291.40999999999
2026-02-25,25370.509999999987
2026-02-26,25592.809999999987
2026-02-26,25395.409999999985
2026-02-27,25690.409999999985
2026-03-02,25280.409999999985
2026-03-12,25585.909999999985
2026-03-13,26372.509999999984
2026-03-04,25913.589999999986
2026-03-09,25416.789999999986
2026-03-17,25482.589999999986
2026-03-13,25048.429999999986
2026-03-23,24854.029999999984
2026-03-16,24356.829999999984
2026-03-30,24272.329999999984
2026-03-30,24157.329999999984
2026-04-01,23928.429999999982
2026-03-23,23438.489999999983
2026-04-08,24436.189999999984
2026-04-10,25063.789999999983
2026-04-17,25126.789999999983
2026-04-20,24960.689999999984
2026-04-16,25944.989999999983
2026-04-23,26768.489999999983
2026-04-28,27372.239999999983
2026-04-30,27556.239999999983
2026-05-04,27760.239999999983
2026-04-30,28736.599999999984
2026-05-06,28683.099999999984
2026-05-06,28721.599999999984
2026-05-06,29050.999999999985
2026-05-06,29111.449999999986
2026-05-06,29467.449999999986
