date,equity
2026-02-11,26238.4
2026-03-09,25741.480000000003
2026-02-27,25258.4
2026-03-04,24815.93
2026-03-09,24316.55
2026-03-02,23882.899999999998
2026-04-02,23436.219999999998
2026-03-12,23044.499999999996
2026-03-09,22544.939999999995
2026-03-16,22055.939999999995
2026-03-13,21609.549999999996
2026-03-13,21137.949999999997
2026-03-24,20789.44
2026-04-16,21443.239999999998
2026-04-16,22602.44
2026-04-08,23645.84
2026-04-16,24830.84
2026-05-06,25448.84
2026-05-06,25601.84
2026-04-28,25111.28
2026-05-06,25990.78
2026-05-06,25818.28
2026-05-06,26320.03
