symbol,signal_date,entry_date,exit_date,side,entry_price,exit_price,stop_loss,target_price,quantity,pnl,pnl_pct,holding_days,confidence,score,market_trend,entry_point,avg_volume,macd_crossover,ema_crossover,price_position,bullish_reversal,comments
BAJAJ-AUTO,2022-07-12,2022-07-13,2022-07-26,LONG,3858.0,3925.6,3665.1,4243.8,2,135.2,1.75,10,Medium,5,Up,Weak,Low,Yes,Trend OK,Away from 20 DMA,Yes,Signal score 5/7
ADANIENT,2022-07-12,2022-07-13,2022-07-26,LONG,2373.5,2559.7,2254.82,2610.86,4,744.8,7.84,10,Medium,4,Up,Weak,Low,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
BRITANNIA,2022-07-12,2022-07-13,2022-07-26,LONG,3731.05,3807.15,3544.5,4104.15,2,152.2,2.04,10,Medium,4,Up,Weak,Low,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
COALINDIA,2022-07-12,2022-07-13,2022-07-26,LONG,193.9,202.3,184.2,213.3,51,428.4,4.33,10,Medium,4,Up,Weak,Low,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
DRREDDY,2022-07-12,2022-07-13,2022-07-26,LONG,4494.5,4269.77,4269.77,4943.96,2,-449.46,-5.0,10,Medium,4,Up,Weak,Low,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
M&M,2022-07-27,2022-07-28,2022-08-02,LONG,1142.1,1256.32,1084.99,1256.32,8,913.76,10.0,4,High,7,Up,Good,Low,No,Trend OK,20 DMA pullback,Yes,Signal score 7/7
TATAMOTORS,2022-07-27,2022-07-28,2022-08-11,LONG,440.25,484.27,418.24,484.27,22,968.44,10.0,10,High,7,Up,Good,Low,Yes,Trend OK,20 DMA pullback,Yes,Signal score 7/7
ADANIENT,2022-07-27,2022-07-28,2022-08-10,LONG,2559.9,2815.88,2431.91,2815.88,3,767.94,10.0,9,Medium,5,Up,Weak,Low,Yes,Trend OK,Away from 20 DMA,Yes,Signal score 5/7
HDFCBANK,2022-07-27,2022-07-28,2022-08-11,LONG,1415.05,1485.7,1344.3,1556.55,7,494.55,4.99,10,Medium,5,Up,Weak,Low,Yes,Trend OK,Away from 20 DMA,Yes,Signal score 5/7
HEROMOTOCO,2022-07-27,2022-07-28,2022-08-11,LONG,2798.0,2785.3,2658.1,3077.8,3,-38.1,-0.45,10,Medium,5,Up,Weak,Good,No,Trend OK,Away from 20 DMA,Yes,Signal score 5/7
JSWSTEEL,2022-08-02,2022-08-03,2022-08-18,LONG,650.0,673.4,617.5,715.0,15,351.0,3.6,10,Medium,4,Up,Weak,Low,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
BRITANNIA,2022-08-10,2022-08-11,2022-08-25,LONG,3666.0,3646.6,3482.7,4032.6,2,-38.8,-0.53,10,Medium,4,Up,Weak,Low,No,Trend OK,Away from 20 DMA,No,Signal score 4/7
ADANIENT,2022-08-11,2022-08-12,2022-08-18,LONG,2840.0,3124.0,2698.0,3124.0,3,852.0,10.0,4,Medium,5,Up,Weak,Low,Yes,Trend OK,Away from 20 DMA,Yes,Signal score 5/7
TCS,2022-08-11,2022-08-12,2022-08-25,LONG,3419.0,3248.05,3248.05,3760.9,2,-341.9,-5.0,9,Medium,4,Up,Weak,Low,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
HDFCBANK,2022-08-12,2022-08-16,2022-08-29,LONG,1494.8,1439.4,1420.06,1644.28,6,-332.4,-3.71,10,Medium,5,Up,Weak,Low,Yes,Trend OK,Away from 20 DMA,Yes,Signal score 5/7
SBILIFE,2022-08-18,2022-08-19,2022-09-02,LONG,1320.0,1288.2,1254.0,1452.0,7,-222.6,-2.41,10,Medium,4,Up,Weak,Low,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
ADANIENT,2022-08-19,2022-08-22,2022-08-23,LONG,3134.0,2977.3,2977.3,3447.4,3,-470.1,-5.0,2,Medium,4,Up,Weak,Good,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
BAJFINANCE,2022-08-23,2022-08-24,2022-09-07,LONG,7165.0,7166.5,6806.75,7881.5,1,1.5,0.02,10,Medium,5,Up,Weak,Low,No,Trend OK,20 DMA pullback,No,Signal score 5/7
BHARTIARTL,2022-08-25,2022-08-26,2022-09-07,LONG,741.5,704.42,704.42,815.66,13,-482.04,-5.0,8,Medium,4,Up,Weak,Good,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
CIPLA,2022-08-25,2022-08-26,2022-09-09,LONG,1030.9,1058.3,979.36,1133.98,9,246.6,2.66,10,Medium,4,Up,Weak,Low,No,Trend OK,Away from 20 DMA,No,Signal score 4/7
BAJAJ-AUTO,2022-08-30,2022-09-01,2022-09-14,LONG,4010.0,3850.25,3809.5,4411.0,2,-319.5,-3.98,10,Medium,5,Up,Weak,Good,No,Trend OK,20 DMA pullback,No,Signal score 5/7
GRASIM,2022-09-02,2022-09-05,2022-09-16,LONG,1692.95,1744.6,1608.3,1862.25,5,258.25,3.05,10,Medium,5,Up,Weak,Low,Yes,Trend OK,Away from 20 DMA,Yes,Signal score 5/7
APOLLOHOSP,2022-09-07,2022-09-08,2022-09-21,LONG,4400.0,4604.8,4180.0,4840.0,2,409.6,4.65,10,Medium,5,Up,Weak,Low,Yes,Trend OK,Away from 20 DMA,Yes,Signal score 5/7
HDFCLIFE,2022-09-07,2022-09-08,2022-09-16,LONG,579.85,550.86,550.86,637.83,17,-492.83,-5.0,7,Medium,5,Up,Weak,Low,Yes,Trend OK,Away from 20 DMA,Yes,Signal score 5/7
AXISBANK,2022-09-09,2022-09-12,2022-09-23,LONG,789.0,768.6,749.55,867.9,12,-244.8,-2.59,10,Medium,4,Up,Weak,Good,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
EICHERMOT,2022-09-14,2022-09-15,2022-09-28,LONG,3559.55,3628.3,3381.57,3915.51,2,137.5,1.93,10,Medium,4,Up,Weak,Low,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
BEL,2022-09-16,2022-09-19,2022-09-23,LONG,112.35,106.73,106.73,123.59,88,-494.56,-5.0,5,Medium,4,Up,Weak,Good,No,Trend OK,Away from 20 DMA,No,Signal score 4/7
LT,2022-09-16,2022-09-19,2022-09-26,LONG,1921.1,1825.04,1825.04,2113.22,5,-480.3,-5.0,6,Medium,4,Up,Weak,Good,No,Trend OK,Away from 20 DMA,No,Signal score 4/7
JSWSTEEL,2022-09-21,2022-09-22,2022-09-26,LONG,681.0,646.95,646.95,749.1,14,-476.7,-5.0,3,Medium,4,Up,Weak,Low,No,Trend OK,Away from 20 DMA,No,Signal score 4/7
TRENT,2022-09-23,2022-09-26,2022-10-10,LONG,1420.0,1431.85,1349.0,1562.0,7,82.95,0.83,10,Medium,5,Up,Weak,Low,No,Trend OK,20 DMA pullback,No,Signal score 5/7
