date,equity
2025-07-25,24556.3
2025-07-24,24087.3
2025-07-28,23650.8
2025-07-30,23697.6
2025-07-30,23462.6
2025-08-07,22966.6
2025-08-11,22691.6
2025-08-11,23236.0
2025-08-14,23838.8
2025-08-06,23398.5
2025-08-22,23341.5
2025-08-22,23407.5
2025-08-26,22922.75
2025-08-29,23315.75
2025-09-01,23137.25
2025-09-08,23181.65
2025-09-10,23206.850000000002
2025-09-10,23652.850000000002
2025-09-12,23636.850000000002
2025-09-08,24634.350000000002
2025-09-23,24363.15
2025-09-24,23981.65
2025-09-25,23979.65
2025-09-25,23665.25
2025-09-26,23340.75
2025-09-29,22942.5
2025-09-29,22450.78
2025-10-10,22427.579999999998
2025-10-03,23426.579999999998
2025-10-13,23766.78
2025-10-14,24141.18
2025-10-14,24522.68
2025-10-17,24874.18
2025-10-27,24791.78
2025-10-28,24876.98
2025-10-29,25025.78
2025-10-29,25475.78
2025-10-23,24992.78
2025-11-06,24505.94
2025-10-30,24056.539999999997
2025-11-12,24812.539999999997
2025-11-13,25100.539999999997
2025-11-04,24822.01
2025-11-14,25150.809999999998
2025-11-19,25514.01
2025-11-18,26044.51
2025-11-26,26204.91
2025-11-27,26483.31
2025-11-24,25991.11
2025-12-02,26105.71
2025-12-03,25873.51
2025-12-08,26371.51
2025-12-09,25907.91
2025-12-11,26152.71
2025-12-17,26084.309999999998
2025-12-17,25974.309999999998
2025-12-22,25702.71
2025-12-18,25401.309999999998
2025-12-26,25404.309999999998
2026-01-02,25371.309999999998
2026-01-02,26043.309999999998
2026-01-02,26007.809999999998
2026-01-06,26340.609999999997
2026-01-09,26027.409999999996
2026-01-19,26212.209999999995
2026-01-20,26056.209999999995
2026-01-12,25609.209999999995
2026-01-08,25126.129999999994
2026-01-23,25284.529999999995
2026-01-27,25572.229999999996
2026-01-28,25499.729999999996
2026-01-27,25088.729999999996
2026-01-29,26084.729999999996
2026-01-29,27071.129999999997
2026-02-10,27388.479999999996
2026-01-28,26912.479999999996
2026-01-30,26500.999999999996
2026-02-11,26706.099999999995
2026-02-12,27049.099999999995
2026-02-12,27346.099999999995
2026-02-04,26928.599999999995
2026-02-18,26887.999999999996
2026-02-25,26974.499999999996
2026-02-12,26479.499999999996
2026-02-26,26858.899999999998
2026-02-27,27121.399999999998
2026-02-27,27452.899999999998
2026-03-05,27676.749999999996
2026-03-04,27217.829999999998
2026-03-16,27481.329999999998
2026-03-16,27837.329999999998
2026-03-16,27706.329999999998
2026-03-13,27272.17
2026-03-13,26794.67
2026-03-20,26330.17
2026-03-19,25830.17
2026-04-01,25625.67
2026-04-01,25572.87
2026-04-01,25933.27
2026-04-07,26065.57
2026-03-23,25600.57
2026-04-10,25651.07
2026-04-16,26635.37
2026-04-20,26735.37
2026-04-21,27720.329999999998
2026-04-23,27751.129999999997
2026-04-27,27852.53
2026-04-30,28417.78
2026-05-06,29161.78
2026-05-06,29158.98
2026-05-06,29404.68
2026-05-06,29280.08
2026-05-06,29609.480000000003
