symbol,signal_date,entry_date,exit_date,side,entry_price,exit_price,stop_loss,target_price,quantity,pnl,pnl_pct,holding_days,confidence,score,market_trend,entry_point,avg_volume,macd_crossover,ema_crossover,price_position,bullish_reversal,comments
SBIN,2025-07-11,2025-07-11,2025-07-22,LONG,807.55,815.0,767.17,888.31,12,89.4,0.92,10,Medium,5,Up,Weak,Low,No,Trend OK,20 DMA pullback,No,Signal score 5/7
ASIANPAINT,2025-07-14,2025-07-14,2025-07-25,LONG,2431.1,2336.2,2309.54,2674.22,4,-379.6,-3.9,10,Medium,4,Up,Weak,Low,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
ETERNAL,2025-07-14,2025-07-14,2025-07-22,LONG,264.95,291.45,251.7,291.45,37,980.5,10.0,7,Medium,4,Up,Weak,Low,No,Trend OK,Away from 20 DMA,No,Signal score 4/7
BAJAJFINSV,2025-07-14,2025-07-15,2025-07-28,LONG,2010.0,1977.8,1909.5,2211.0,4,-128.8,-1.6,10,Medium,4,Up,Weak,Low,No,Trend OK,Away from 20 DMA,No,Signal score 4/7
LT,2025-07-14,2025-07-15,2025-07-28,LONG,3519.0,3422.2,3343.05,3870.9,2,-193.6,-2.75,10,Medium,4,Up,Weak,Low,No,Trend OK,Away from 20 DMA,No,Signal score 4/7
ICICIBANK,2025-07-22,2025-07-23,2025-08-05,LONG,1482.9,1444.4,1408.76,1631.18,6,-231.0,-2.6,10,Medium,4,Up,Weak,Low,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
INDUSINDBK,2025-07-22,2025-07-23,2025-07-28,LONG,849.0,806.55,806.55,933.9,11,-466.95,-5.0,4,Medium,4,Up,Weak,Good,No,Trend OK,Away from 20 DMA,No,Signal score 4/7
ASIANPAINT,2025-07-28,2025-07-29,2025-08-11,LONG,2359.0,2489.1,2241.05,2594.9,4,520.4,5.52,10,Medium,5,Up,Weak,Low,No,Trend OK,Away from 20 DMA,Yes,Signal score 5/7
HEROMOTOCO,2025-07-28,2025-07-29,2025-08-11,LONG,4290.0,4562.2,4075.5,4719.0,2,544.4,6.34,10,Medium,5,Up,Weak,Low,No,Trend OK,Away from 20 DMA,Yes,Signal score 5/7
BPCL,2025-07-28,2025-07-29,2025-08-01,LONG,336.0,319.2,319.2,369.6,29,-487.2,-5.0,4,Medium,4,Up,Weak,Low,No,Trend OK,Away from 20 DMA,No,Signal score 4/7
CIPLA,2025-07-28,2025-07-29,2025-08-06,LONG,1563.4,1485.23,1485.23,1719.74,6,-469.02,-5.0,7,Medium,4,Up,Weak,Good,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
BPCL,2025-08-04,2025-08-05,2025-08-19,LONG,317.0,321.45,301.15,348.7,31,137.95,1.4,10,Medium,4,Up,Weak,Low,No,Trend OK,Away from 20 DMA,No,Signal score 4/7
ICICIBANK,2025-08-06,2025-08-07,2025-08-21,LONG,1441.1,1446.0,1369.04,1585.22,6,29.4,0.34,10,Medium,4,Up,Weak,Low,No,Trend OK,Away from 20 DMA,No,Signal score 4/7
ETERNAL,2025-08-07,2025-08-08,2025-08-20,LONG,300.35,330.39,285.33,330.39,33,991.32,10.0,8,Medium,5,Up,Weak,Good,No,Trend OK,20 DMA pullback,No,Signal score 5/7
ASIANPAINT,2025-08-12,2025-08-13,2025-08-28,LONG,2479.8,2489.0,2355.81,2727.78,4,36.8,0.37,10,Medium,4,Up,Weak,Low,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
HEROMOTOCO,2025-08-12,2025-08-13,2025-08-19,LONG,4668.3,5135.12,4434.89,5135.12,2,933.64,10.0,4,Medium,4,Up,Weak,Good,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
BAJAJ-AUTO,2025-08-19,2025-08-20,2025-09-03,LONG,8794.5,9116.0,8354.77,9673.96,1,321.5,3.66,10,Medium,4,Up,Weak,Good,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
TATASTEEL,2025-08-20,2025-08-21,2025-08-28,LONG,161.92,153.82,153.82,178.12,61,-494.1,-5.0,6,Medium,5,Up,Weak,Good,Yes,Trend OK,20 DMA pullback,No,Signal score 5/7
HEROMOTOCO,2025-08-20,2025-08-21,2025-09-04,LONG,5136.0,5351.0,4879.2,5649.6,1,215.0,4.19,10,Medium,4,Up,Weak,Low,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
