symbol,signal_date,entry_date,exit_date,side,entry_price,exit_price,stop_loss,target_price,quantity,pnl,pnl_pct,holding_days,confidence,score,market_trend,entry_point,avg_volume,macd_crossover,ema_crossover,price_position,bullish_reversal,comments
NTPC,2026-02-20,2026-02-23,2026-03-16,LONG,374.0,382.4,359.04,411.4,33,277.2,2.25,15,High,7,Up,Good,Good,N/A,Trend OK,Consolidation breakout,N/A,Signal score 7/7
INDUSINDBK,2026-02-20,2026-02-23,2026-03-09,LONG,926.05,889.01,889.01,1018.65,13,-481.52,-4.0,10,Medium,5,Up,Weak,Good,N/A,Trend OK,No consolidation,N/A,Signal score 5/7
SBILIFE,2026-02-20,2026-02-23,2026-03-02,LONG,2089.7,2006.11,2006.11,2298.67,5,-417.95,-4.0,6,Medium,5,Up,Weak,Low,N/A,Trend OK,Consolidation breakout,N/A,Signal score 5/7
ADANIPORTS,2026-02-20,2026-02-23,2026-03-02,LONG,1511.0,1450.56,1450.56,1662.1,8,-483.52,-4.0,6,Medium,4,Up,Weak,Low,N/A,Trend OK,No consolidation,N/A,Signal score 4/7
ASIANPAINT,2026-02-20,2026-02-23,2026-03-02,LONG,2424.7,2327.71,2327.71,2667.17,5,-484.95,-4.0,6,Medium,4,Up,Weak,Low,N/A,Trend OK,No consolidation,N/A,Signal score 4/7
GRASIM,2026-03-04,2026-03-05,2026-03-13,LONG,2685.0,2577.6,2577.6,2953.5,4,-429.6,-4.0,7,Medium,5,Up,Weak,Good,N/A,Trend OK,No consolidation,N/A,Signal score 5/7
LT,2026-03-04,2026-03-05,2026-03-09,LONG,3924.2,3767.23,3767.23,4316.62,3,-470.91,-4.0,3,Medium,5,Up,Weak,Good,N/A,Trend OK,No consolidation,N/A,Signal score 5/7
M&M,2026-03-04,2026-03-05,2026-03-12,LONG,3264.3,3133.73,3133.73,3590.73,3,-391.71,-4.0,6,Medium,5,Up,Weak,Good,N/A,Trend OK,No consolidation,N/A,Signal score 5/7
SHRIRAMFIN,2026-03-09,2026-03-10,2026-03-16,LONG,1010.0,969.6,969.6,1111.0,12,-484.8,-4.0,5,Medium,5,Up,Weak,Good,N/A,Trend OK,No consolidation,N/A,Signal score 5/7
AXISBANK,2026-03-09,2026-03-10,2026-03-12,LONG,1295.2,1243.39,1243.39,1424.72,9,-466.29,-4.0,3,Medium,4,Up,Weak,Low,N/A,Trend OK,No consolidation,N/A,Signal score 4/7
EICHERMOT,2026-03-12,2026-03-13,2026-03-30,LONG,6865.0,6590.4,6590.4,7551.5,1,-274.6,-4.0,11,Medium,5,Up,Weak,Good,N/A,Trend OK,No consolidation,N/A,Signal score 5/7
TATACONSUM,2026-03-12,2026-03-13,2026-04-07,LONG,1049.0,1062.0,1007.04,1153.9,11,143.0,1.24,15,Medium,4,Up,Weak,Low,N/A,Trend OK,No consolidation,N/A,Signal score 4/7
COALINDIA,2026-03-13,2026-03-16,2026-03-24,LONG,467.0,448.32,448.32,513.7,26,-485.68,-4.0,7,Medium,5,Up,Weak,Good,N/A,Trend OK,No consolidation,N/A,Signal score 5/7
GRASIM,2026-03-16,2026-03-17,2026-03-23,LONG,2655.1,2548.9,2548.9,2920.6,4,-424.8,-4.0,5,Medium,5,Up,Weak,Good,N/A,Trend OK,No consolidation,N/A,Signal score 5/7
HEROMOTOCO,2026-03-16,2026-03-17,2026-03-23,LONG,5276.5,5065.44,5065.44,5804.15,2,-422.12,-4.0,5,Medium,4,Up,Weak,Low,N/A,Trend OK,No consolidation,N/A,Signal score 4/7
APOLLOHOSP,2026-03-23,2026-03-24,2026-04-17,LONG,7210.0,7699.0,6921.6,7931.0,1,489.0,6.78,15,Medium,4,Up,Weak,Low,N/A,Trend OK,No consolidation,N/A,Signal score 4/7
BEL,2026-03-23,2026-03-24,2026-04-16,LONG,412.5,453.75,396.0,453.75,30,1237.5,10.0,14,Medium,4,Up,Weak,Low,N/A,Trend OK,No consolidation,N/A,Signal score 4/7
SBIN,2026-03-24,2026-03-25,2026-03-30,LONG,1043.0,1001.28,1001.28,1147.3,11,-458.92,-4.0,3,Medium,5,Up,Weak,Good,N/A,Trend OK,No consolidation,N/A,Signal score 5/7
SUNPHARMA,2026-03-30,2026-04-01,2026-04-02,LONG,1762.1,1691.62,1691.62,1938.3,7,-493.36,-4.0,2,Medium,4,Up,Weak,Low,N/A,Trend OK,No consolidation,N/A,Signal score 4/7
BRITANNIA,2026-04-01,2026-04-02,2026-04-24,LONG,5460.0,5730.5,5241.6,6006.0,2,541.0,4.95,15,Medium,4,Up,Weak,Low,N/A,Trend OK,No consolidation,N/A,Signal score 4/7
DRREDDY,2026-04-02,2026-04-06,2026-04-23,LONG,1220.1,1342.1,1171.3,1342.1,10,1220.0,10.0,13,Medium,5,Up,Weak,Good,N/A,Trend OK,No consolidation,N/A,Signal score 5/7
EICHERMOT,2026-04-08,2026-04-09,2026-04-30,LONG,7147.0,7109.0,6861.12,7861.7,1,-38.0,-0.53,15,Medium,4,Up,Weak,Low,N/A,Trend OK,No consolidation,N/A,Signal score 4/7
INDUSINDBK,2026-04-16,2026-04-17,2026-05-04,LONG,849.0,933.9,815.04,933.9,14,1188.6,10.0,11,Medium,4,Up,Weak,Low,N/A,Trend OK,No consolidation,N/A,Signal score 4/7
BEL,2026-04-17,2026-04-20,2026-04-24,LONG,462.0,443.52,443.52,508.2,27,-498.96,-4.0,5,Medium,4,Up,Weak,Low,N/A,Trend OK,No consolidation,N/A,Signal score 4/7
DRREDDY,2026-04-24,2026-04-27,2026-05-06,LONG,1320.4,1311.0,1267.58,1452.45,9,-84.6,-0.71,7,Medium,5,Up,Weak,Good,N/A,Trend OK,No consolidation,N/A,Signal score 5/7
SBILIFE,2026-04-24,2026-04-27,2026-05-06,LONG,1768.9,1859.0,1698.14,1945.8,7,630.7,5.09,7,Medium,5,Up,Weak,Good,N/A,Trend OK,No consolidation,N/A,Signal score 5/7
BEL,2026-04-27,2026-04-28,2026-05-06,LONG,435.6,438.2,418.18,479.15,28,72.8,0.6,6,Medium,4,Up,Weak,Low,N/A,Trend OK,No consolidation,N/A,Signal score 4/7
COALINDIA,2026-04-30,2026-05-04,2026-05-06,LONG,481.6,470.2,462.34,529.75,25,-285.0,-2.37,3,Medium,4,Up,Weak,Low,N/A,Trend OK,No consolidation,N/A,Signal score 4/7
EICHERMOT,2026-05-04,2026-05-05,2026-05-06,LONG,7325.0,7310.5,7032.0,8057.5,1,-14.5,-0.2,2,Medium,4,Up,Weak,Low,N/A,Trend OK,No consolidation,N/A,Signal score 4/7
