symbol,signal_date,entry_date,exit_date,side,entry_price,exit_price,stop_loss,target_price,quantity,pnl,pnl_pct,holding_days,confidence,score,market_trend,entry_point,avg_volume,macd_crossover,ema_crossover,price_position,bullish_reversal,comments
BPCL,2026-02-20,2026-02-23,2026-02-26,LONG,370.0,386.65,358.9,386.65,45,749.25,4.5,4,Medium,5,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=16.2,Bullish reversal,Signal score 5/7
BRITANNIA,2026-02-20,2026-02-23,2026-02-26,LONG,6136.0,6137.0,5951.92,6412.12,2,2.0,0.02,4,Medium,5,Up,Weak,Good,N/A,Above 200 EMA,RSI(2)=32.5,Bullish reversal,Signal score 5/7
COALINDIA,2026-02-20,2026-02-23,2026-02-26,LONG,426.0,433.5,413.22,445.17,39,292.5,1.76,4,Medium,5,Up,Weak,Good,N/A,Above 200 EMA,RSI(2)=77.6,Bullish reversal,Signal score 5/7
LT,2026-02-20,2026-02-23,2026-02-24,LONG,4395.6,4263.73,4263.73,4593.41,3,-395.61,-3.0,2,Medium,5,Up,Weak,Good,N/A,Above 200 EMA,RSI(2)=84.3,Bullish reversal,Signal score 5/7
NTPC,2026-02-20,2026-02-23,2026-02-26,LONG,374.0,381.9,362.78,390.83,44,347.6,2.11,4,Medium,5,Up,Weak,Good,N/A,Above 200 EMA,RSI(2)=78.0,Bullish reversal,Signal score 5/7
HINDALCO,2026-02-24,2026-02-25,2026-03-02,LONG,936.0,907.92,907.92,978.12,17,-477.36,-3.0,4,Medium,5,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=59.1,Bullish reversal,Signal score 5/7
ADANIPORTS,2026-02-26,2026-02-27,2026-03-02,LONG,1545.0,1498.65,1498.65,1614.52,10,-463.5,-3.0,2,Medium,4,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=64.8,No reversal,Signal score 4/7
HEROMOTOCO,2026-02-26,2026-02-27,2026-03-02,LONG,5775.0,5601.75,5601.75,6034.88,2,-346.5,-3.0,2,Medium,4,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=96.6,No reversal,Signal score 4/7
BRITANNIA,2026-02-27,2026-03-02,2026-03-06,LONG,5866.0,5983.0,5690.02,6129.97,2,234.0,1.99,4,Medium,5,Up,Weak,Good,N/A,Above 200 EMA,RSI(2)=4.7,No reversal,Signal score 5/7
COALINDIA,2026-02-27,2026-03-02,2026-03-04,LONG,417.9,436.71,405.36,436.71,39,733.59,4.5,2,Medium,5,Up,Weak,Good,N/A,Above 200 EMA,RSI(2)=35.0,Bullish reversal,Signal score 5/7
LT,2026-03-04,2026-03-05,2026-03-09,LONG,3924.2,3806.47,3806.47,4100.8,4,-470.92,-3.0,3,High,7,Up,Good,Good,N/A,Above 200 EMA,RSI(2)=1.3,Bullish reversal,Signal score 7/7
ADANIPORTS,2026-03-04,2026-03-05,2026-03-10,LONG,1447.2,1424.1,1403.78,1512.33,11,-254.1,-1.6,4,Medium,5,Up,Weak,Good,N/A,Below 200 EMA,RSI(2)=4.7,Bullish reversal,Signal score 5/7
HEROMOTOCO,2026-03-04,2026-03-05,2026-03-09,LONG,5513.5,5348.1,5348.1,5761.6,3,-496.2,-3.0,3,Medium,5,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=11.4,Bullish reversal,Signal score 5/7
TATASTEEL,2026-03-04,2026-03-05,2026-03-09,LONG,198.5,192.54,192.54,207.44,83,-494.68,-3.0,3,Medium,5,Up,Weak,Good,N/A,Above 200 EMA,RSI(2)=3.2,No reversal,Signal score 5/7
BEL,2026-03-06,2026-03-09,2026-03-09,LONG,470.0,455.9,455.9,491.15,35,-493.5,-3.0,1,Medium,4,Up,Weak,Good,N/A,Above 200 EMA,RSI(2)=88.7,No reversal,Signal score 4/7
SBIN,2026-03-09,2026-03-10,2026-03-12,LONG,1111.1,1077.77,1077.77,1161.09,15,-499.95,-3.0,3,High,7,Up,Good,Good,N/A,Above 200 EMA,RSI(2)=0.3,Bullish reversal,Signal score 7/7
BAJAJ-AUTO,2026-03-09,2026-03-10,2026-03-12,LONG,9449.5,9166.01,9166.01,9874.74,1,-283.49,-3.0,3,Medium,5,Up,Weak,Good,N/A,Above 200 EMA,RSI(2)=9.1,No reversal,Signal score 5/7
BRITANNIA,2026-03-09,2026-03-10,2026-03-12,LONG,5911.0,5733.67,5733.67,6176.99,2,-354.66,-3.0,3,Medium,5,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=20.8,Bullish reversal,Signal score 5/7
EICHERMOT,2026-03-09,2026-03-10,2026-03-12,LONG,7380.0,7158.6,7158.6,7712.1,2,-442.8,-3.0,3,Medium,5,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=7.2,No reversal,Signal score 5/7
BEL,2026-03-10,2026-03-11,2026-03-12,LONG,463.5,449.59,449.59,484.37,35,-486.85,-3.0,2,Medium,5,Up,Weak,Good,N/A,Above 200 EMA,RSI(2)=62.5,Bullish reversal,Signal score 5/7
APOLLOHOSP,2026-03-12,2026-03-13,2026-03-18,LONG,7556.0,7471.0,7329.32,7896.02,2,-170.0,-1.12,4,Medium,5,Up,Weak,Good,N/A,Above 200 EMA,RSI(2)=8.6,No reversal,Signal score 5/7
JSWSTEEL,2026-03-12,2026-03-13,2026-03-13,LONG,1166.7,1131.7,1131.7,1219.2,14,-490.0,-3.0,1,Medium,5,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=17.6,Bullish reversal,Signal score 5/7
SUNPHARMA,2026-03-12,2026-03-13,2026-03-18,LONG,1822.0,1778.3,1767.34,1903.99,9,-393.3,-2.4,4,Medium,5,Up,Weak,Good,N/A,Above 200 EMA,RSI(2)=93.1,Bullish reversal,Signal score 5/7
