date,equity
2025-07-30,25023.4
2025-07-25,24819.640000000003
2025-07-30,24849.24
2025-07-28,24631.74
2025-07-30,24729.84
2025-08-08,24502.36
2025-08-11,24774.56
2025-08-14,25075.960000000003
2025-08-14,25006.56
2025-08-14,24968.31
2025-08-19,25435.13
2025-08-26,25202.45
2025-08-29,24959.75
2025-09-02,24956.34
2025-09-02,24908.94
2025-09-04,24902.539999999997
2025-09-12,24894.539999999997
2025-09-15,24877.739999999998
2025-09-04,24688.739999999998
2025-09-17,24757.179999999997
2025-09-19,24868.179999999997
2025-09-19,24937.579999999998
2025-09-26,24700.73
2025-09-29,24781.13
2025-09-25,24532.13
2025-10-01,24336.73
2025-10-06,24239.23
2025-10-10,24372.73
2025-10-13,24397.73
2025-10-14,24329.93
2025-10-16,24433.93
2025-10-20,24526.03
2025-10-27,24579.23
2025-10-28,24614.23
2025-10-29,24839.23
2025-10-31,24890.43
2025-11-04,24962.63
2025-10-30,24770.030000000002
2025-11-12,24668.83
2025-11-13,25018.13
2025-11-14,25174.73
2025-11-17,25272.829999999998
2025-11-19,25242.429999999997
2025-11-26,25257.529999999995
2025-11-27,25510.729999999996
2025-11-25,25268.539999999997
2025-12-01,25355.539999999997
2025-12-03,25418.139999999996
2025-12-09,25456.839999999997
2025-12-10,25277.439999999995
2025-12-11,25376.439999999995
2025-12-15,25396.939999999995
2025-12-17,25334.739999999994
2025-12-23,25621.539999999994
2025-12-24,25616.439999999995
2025-12-26,25602.739999999994
2025-12-30,25509.439999999995
2026-01-01,25381.639999999996
2026-01-07,25482.839999999997
2026-01-06,25915.439999999995
2026-01-09,25758.839999999997
2026-01-13,25692.839999999997
2026-01-16,25982.089999999997
2026-01-21,25861.789999999997
2026-01-22,25913.789999999997
2026-01-21,25683.01
2026-01-29,25715.91
2026-02-02,25783.91
2026-02-05,26180.11
2026-01-27,26000.11
2026-02-06,26117.260000000002
2026-02-10,26151.460000000003
2026-02-02,25946.460000000003
2026-02-03,25768.460000000003
2026-02-04,25595.74
2026-02-17,25558.24
2026-02-12,25316.170000000002
2026-02-19,25357.820000000003
2026-02-16,25121.450000000004
2026-02-13,24875.450000000004
2026-02-26,24986.600000000006
2026-02-27,25074.200000000004
2026-03-02,25309.700000000004
2026-03-02,25074.950000000004
2026-03-02,24869.950000000004
2026-03-13,25246.150000000005
2026-03-09,25006.950000000004
2026-03-17,25035.150000000005
2026-03-06,24791.200000000004
2026-03-13,24574.120000000003
2026-03-13,24381.79
2026-03-13,24159.55
2026-03-23,23915.17
2026-03-30,23919.17
2026-03-20,23671.67
2026-03-30,23582.87
2026-03-23,23337.899999999998
2026-04-08,23791.399999999998
2026-04-10,24105.199999999997
2026-04-10,24449.899999999998
2026-04-17,24481.399999999998
2026-04-20,24398.35
2026-04-23,24810.1
2026-04-28,25103.35
2026-04-28,24974.1
2026-05-04,25076.1
2026-04-30,25564.28
2026-04-30,25438.21
2026-05-06,25457.46
2026-05-06,25467.66
2026-05-06,25577.46
2026-05-06,25606.71
2026-05-06,25784.71
