date,equity
2025-07-29,25272.3
2025-07-29,25142.8
2025-07-29,25488.6
2025-07-29,25324.8
2025-07-28,24890.52
2025-08-11,24615.52
2025-08-12,24350.52
2025-08-07,23860.94
2025-08-12,23525.539999999997
2025-08-13,23920.739999999998
2025-08-22,23863.739999999998
2025-08-26,23378.989999999998
2025-09-01,23405.69
2025-09-01,23227.19
2025-08-26,22825.19
2025-09-08,22869.59
2025-09-10,22894.79
2025-09-10,23340.79
2025-09-15,23487.09
2025-09-16,23508.59
2025-09-23,23237.39
2025-09-24,23217.39
2025-09-25,23215.39
2025-09-29,23396.29
2025-09-26,22935.34
2025-09-29,22537.09
2025-09-29,22045.37
2025-10-10,22022.17
2025-10-13,22362.37
2025-10-14,22736.77
2025-10-14,23118.27
2025-10-14,23135.87
2025-10-27,23053.469999999998
2025-10-28,23138.67
2025-10-29,23588.67
2025-10-29,23970.019999999997
2025-10-29,24350.42
2025-10-30,23901.019999999997
2025-11-12,24657.019999999997
2025-11-13,24945.019999999997
2025-11-04,24666.489999999998
2025-11-04,24177.89
2025-11-11,23754.89
2025-11-19,24118.09
2025-11-19,23960.89
2025-11-25,23771.39
2025-11-26,23931.79
2025-11-27,24034.190000000002
2025-12-03,23801.99
2025-12-03,23897.99
2025-12-09,23975.390000000003
2025-12-09,23511.790000000005
2025-12-11,23756.590000000004
2025-12-17,23646.590000000004
2025-12-17,23696.990000000005
2025-12-18,23395.590000000004
2025-12-23,23969.190000000002
2025-12-26,23972.190000000002
2026-01-02,24644.190000000002
2026-01-02,24608.690000000002
2026-01-02,24715.090000000004
2026-01-07,24917.490000000005
2026-01-09,24610.290000000005
2026-01-19,24795.090000000004
2026-01-20,24639.090000000004
2026-01-14,24198.650000000005
2026-01-12,23782.650000000005
2026-01-27,24070.350000000006
2026-01-20,23637.330000000005
2026-01-23,23270.830000000005
2026-01-27,22859.830000000005
2026-01-29,23855.830000000005
2026-02-04,23360.530000000006
2026-01-29,24346.930000000008
2026-02-10,24664.280000000006
2026-01-28,24188.280000000006
2026-01-30,23776.800000000007
2026-02-12,24119.800000000007
2026-02-12,24416.800000000007
2026-02-04,23999.300000000007
2026-02-18,23958.700000000008
2026-02-16,23485.960000000006
2026-02-25,23572.460000000006
2026-02-26,23951.860000000008
2026-02-27,24214.360000000008
2026-03-02,24067.360000000008
2026-03-05,24291.210000000006
2026-03-04,23832.290000000008
2026-03-16,24095.790000000008
2026-03-16,24451.790000000008
2026-03-13,23975.960000000006
2026-03-13,23541.800000000007
2026-03-13,23064.300000000007
2026-03-20,22599.800000000007
2026-03-19,22099.800000000007
2026-04-01,21895.300000000007
2026-04-01,21842.500000000007
2026-04-01,22202.90000000001
2026-04-07,22335.200000000008
2026-03-23,21870.200000000008
2026-04-10,21920.700000000008
2026-04-16,22905.000000000007
2026-04-20,23005.000000000007
2026-04-21,23989.960000000006
2026-04-23,24020.760000000006
2026-04-27,24122.160000000007
2026-04-30,24687.410000000007
2026-05-06,25431.410000000007
2026-05-06,25428.610000000008
2026-05-06,25674.31000000001
2026-05-06,25549.71000000001
2026-05-06,25879.11000000001
