date,equity
2026-03-04,23757.0
2026-03-04,22598.76
2026-03-09,21368.519999999997
2026-03-12,20578.519999999997
2026-03-24,19789.269999999997
2026-03-13,18847.449999999997
2026-03-13,17656.249999999996
2026-03-13,16503.449999999997
2026-04-15,17567.369999999995
2026-04-16,18427.369999999995
2026-04-16,19061.019999999997
2026-04-10,20802.219999999998
2026-04-27,21530.219999999998
2026-05-06,22170.269999999997
2026-05-05,20971.709999999995
2026-05-06,21480.709999999995
2026-04-23,20379.189999999995
2026-05-06,20275.789999999994
2026-05-06,20306.789999999994
2026-05-06,20412.389999999992
