date,equity
2026-02-27,24738.4
2026-02-24,24378.88
2026-02-27,24217.88
2026-02-27,24410.73
2026-02-25,24903.93
2026-03-04,24669.93
2026-03-02,24325.41
2026-03-04,23961.09
2026-03-06,23686.14
2026-03-06,23330.64
2026-03-05,23847.2
2026-03-09,23494.010000000002
2026-03-09,23163.210000000003
2026-03-09,22793.97
2026-03-10,23299.81
2026-03-12,23852.81
2026-03-12,23486.18
2026-03-12,23111.54
2026-03-13,22801.04
2026-03-16,22764.14
2026-03-18,22679.14
2026-03-13,22313.02
2026-03-13,21963.02
2026-03-19,21965.22
2026-03-17,22525.54
2026-03-19,22468.24
2026-03-20,22290.440000000002
2026-03-19,21925.640000000003
2026-03-20,22483.340000000004
2026-03-25,22808.760000000002
2026-03-24,22438.86
2026-03-23,22126.11
2026-03-27,22289.91
2026-03-27,22201.41
2026-03-30,21830.01
2026-03-30,21470.01
2026-04-02,21563.809999999998
2026-04-02,21339.71
2026-04-06,21899.149999999998
2026-04-07,22430.85
2026-04-06,22056.75
2026-04-09,22191.15
2026-04-08,22745.34
2026-04-10,22886.34
2026-04-10,22531.51
2026-04-10,23058.01
2026-04-15,23618.96
2026-04-16,23301.14
2026-04-16,23854.64
2026-04-16,24388.96
2026-04-20,24529.46
2026-04-21,24318.76
2026-04-22,24359.559999999998
2026-04-20,24887.67
2026-04-23,24977.969999999998
2026-04-27,24998.319999999996
2026-04-27,25121.319999999996
2026-04-27,24751.419999999995
2026-04-28,25303.109999999993
2026-04-27,24938.609999999993
2026-04-30,25481.669999999995
2026-05-05,25132.019999999993
2026-05-05,25028.419999999995
2026-04-30,24681.019999999993
2026-05-05,24708.019999999993
2026-05-06,25032.11999999999
2026-05-06,25311.61999999999
2026-05-06,24937.519999999993
