date,equity
2026-03-05,24500.5
2026-03-09,24193.7
2026-03-11,24670.95
2026-03-04,24252.99
2026-03-02,23799.690000000002
2026-03-20,23844.49
2026-03-20,23379.49
2026-03-09,22992.84
2026-03-12,22534.34
2026-03-12,22055.59
2026-03-30,22525.39
2026-03-16,22028.19
2026-03-23,21619.09
2026-04-02,21164.09
2026-04-02,20720.57
2026-04-06,21654.47
2026-04-08,22652.170000000002
2026-04-21,22468.570000000003
2026-04-22,22778.070000000003
2026-04-16,23707.590000000004
2026-04-21,24692.550000000003
2026-04-27,24823.750000000004
2026-05-05,25042.750000000004
2026-05-05,24543.250000000004
2026-05-06,24401.500000000004
2026-05-06,24470.800000000003
2026-05-06,25167.800000000003
2026-05-06,25431.300000000003
2026-05-06,25422.800000000003
