symbol,signal_date,entry_date,exit_date,side,entry_price,exit_price,stop_loss,target_price,quantity,pnl,pnl_pct,holding_days,confidence,score,market_trend,entry_point,avg_volume,macd_crossover,ema_crossover,price_position,bullish_reversal,comments
BAJAJ-AUTO,2022-07-12,2022-07-13,2022-07-26,LONG,3858.0,3925.6,3665.1,4243.8,2,135.2,1.75,10,Medium,5,Up,Weak,Low,MACD cross,Pullback to 20 EMA,RSI cooling,Bullish reversal,Signal score 5/7
DRREDDY,2022-07-12,2022-07-13,2022-07-26,LONG,4494.5,4269.77,4269.77,4943.96,2,-449.46,-5.0,10,Medium,4,Up,Weak,Low,MACD cross,Pullback to 20 EMA,RSI cooling,No reversal,Signal score 4/7
EICHERMOT,2022-07-12,2022-07-13,2022-07-26,LONG,2955.5,3023.3,2807.72,3251.06,3,203.4,2.29,10,Medium,4,Up,Weak,Good,MACD cross,Away from 20 EMA,RSI cooling,No reversal,Signal score 4/7
HDFCBANK,2022-07-12,2022-07-13,2022-07-26,LONG,1390.0,1393.75,1320.5,1529.0,7,26.25,0.27,10,Medium,4,Up,Weak,Low,MACD cross,Pullback to 20 EMA,RSI cooling,No reversal,Signal score 4/7
MARUTI,2022-07-12,2022-07-13,2022-07-26,LONG,8454.0,8525.85,8031.3,9299.4,1,71.85,0.85,10,Medium,4,Up,Weak,Low,No MACD cross,Pullback to 20 EMA,RSI cooling,No reversal,Signal score 4/7
AXISBANK,2022-07-26,2022-07-27,2022-08-10,LONG,707.95,739.0,672.55,778.75,14,434.7,4.39,10,Medium,5,Up,Weak,Good,MACD cross,Pullback to 20 EMA,RSI cooling,No reversal,Signal score 5/7
HINDUNILVR,2022-07-26,2022-07-27,2022-08-10,LONG,2535.35,2642.8,2408.58,2788.89,3,322.35,4.24,10,Medium,4,Up,Weak,Low,MACD cross,Pullback to 20 EMA,RSI cooling,No reversal,Signal score 4/7
TATACONSUM,2022-07-26,2022-07-27,2022-08-10,LONG,790.0,790.55,750.5,869.0,12,6.6,0.07,10,Medium,4,Up,Weak,Low,MACD cross,Pullback to 20 EMA,RSI cooling,No reversal,Signal score 4/7
HDFCBANK,2022-07-27,2022-07-28,2022-08-11,LONG,1415.05,1485.7,1344.3,1556.55,7,494.55,4.99,10,Medium,5,Up,Weak,Low,MACD cross,Pullback to 20 EMA,RSI cooling,Bullish reversal,Signal score 5/7
MARUTI,2022-07-27,2022-07-28,2022-08-11,LONG,8700.0,8813.85,8265.0,9570.0,1,113.85,1.31,10,Medium,5,Up,Weak,Good,No MACD cross,Pullback to 20 EMA,RSI cooling,No reversal,Signal score 5/7
ADANIPORTS,2022-08-10,2022-08-11,2022-08-19,LONG,794.7,874.16,754.97,874.16,12,953.52,10.0,6,Medium,4,Up,Weak,Good,MACD cross,Pullback to 20 EMA,RSI not in zone,No reversal,Signal score 4/7
KOTAKBANK,2022-08-10,2022-08-11,2022-08-25,LONG,1849.0,1868.75,1756.55,2033.9,5,98.75,1.07,10,Medium,4,Up,Weak,Low,MACD cross,Pullback to 20 EMA,RSI cooling,No reversal,Signal score 4/7
SBIN,2022-08-10,2022-08-11,2022-08-25,LONG,520.0,520.4,494.0,572.0,19,7.6,0.08,10,Medium,4,Up,Weak,Low,No MACD cross,Pullback to 20 EMA,RSI cooling,No reversal,Signal score 4/7
TATACONSUM,2022-08-11,2022-08-12,2022-08-26,LONG,773.45,801.95,734.78,850.79,12,342.0,3.68,10,Medium,5,Up,Weak,Good,No MACD cross,Pullback to 20 EMA,RSI cooling,No reversal,Signal score 5/7
HINDUNILVR,2022-08-11,2022-08-12,2022-08-26,LONG,2624.9,2571.55,2493.65,2887.4,3,-160.05,-2.03,10,Medium,4,Up,Weak,Low,No MACD cross,Pullback to 20 EMA,RSI cooling,No reversal,Signal score 4/7
