date,equity
2026-03-16,25277.2
2026-03-09,24795.68
2026-03-02,24377.73
2026-03-02,23894.21
2026-03-02,23409.26
2026-03-13,22979.66
2026-03-09,22508.75
2026-03-12,22117.04
2026-03-16,21632.24
2026-03-12,21165.95
2026-03-30,20891.350000000002
2026-04-07,21034.350000000002
2026-03-24,20548.670000000002
2026-03-23,20123.870000000003
2026-03-23,19701.750000000004
2026-04-17,20190.750000000004
2026-04-16,21428.250000000004
2026-03-30,20969.330000000005
2026-04-02,20475.970000000005
2026-04-24,21016.970000000005
2026-04-23,22236.970000000005
2026-04-30,22198.970000000005
2026-05-04,23387.570000000003
2026-04-24,22888.610000000004
2026-05-06,22804.010000000006
2026-05-06,23434.710000000006
2026-05-06,23507.510000000006
2026-05-06,23222.510000000006
2026-05-06,23208.010000000006
