symbol,signal_date,entry_date,exit_date,side,entry_price,exit_price,stop_loss,target_price,quantity,pnl,pnl_pct,holding_days,confidence,score,market_trend,entry_point,avg_volume,macd_crossover,ema_crossover,price_position,bullish_reversal,comments
HINDUNILVR,2023-02-16,2023-02-17,2023-02-22,LONG,2525.0,2494.05,2449.25,2638.62,6,-185.7,-1.23,4,Medium,5,Up,Weak,Good,N/A,Above 200 EMA,RSI(2)=1.7,No reversal,Signal score 5/7
APOLLOHOSP,2023-02-16,2023-02-17,2023-02-21,LONG,4640.15,4500.95,4500.95,4848.95,3,-417.6,-3.0,3,Medium,4,Up,Weak,Good,N/A,Above 200 EMA,RSI(2)=90.0,No reversal,Signal score 4/7
AXISBANK,2023-02-16,2023-02-17,2023-02-22,LONG,861.0,835.17,835.17,899.75,19,-490.77,-3.0,4,Medium,4,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=32.6,No reversal,Signal score 4/7
BAJAJ-AUTO,2023-02-16,2023-02-17,2023-02-22,LONG,3890.0,3840.7,3773.3,4065.05,4,-197.2,-1.27,4,Medium,4,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=85.5,No reversal,Signal score 4/7
BHARTIARTL,2023-02-16,2023-02-17,2023-02-22,LONG,785.95,772.15,762.37,821.32,21,-289.8,-1.76,4,Medium,4,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=79.4,No reversal,Signal score 4/7
CIPLA,2023-02-21,2023-02-22,2023-02-27,LONG,966.6,950.2,937.6,1010.1,17,-278.8,-1.7,4,Medium,4,Up,Weak,Good,N/A,Below 200 EMA,RSI(2)=8.2,No reversal,Signal score 4/7
APOLLOHOSP,2023-02-22,2023-02-23,2023-02-28,LONG,4471.35,4401.65,4337.21,4672.56,3,-209.1,-1.56,4,Medium,4,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=12.8,No reversal,Signal score 4/7
AXISBANK,2023-02-23,2023-02-24,2023-03-01,LONG,850.1,865.15,824.6,888.35,19,285.95,1.77,4,Medium,5,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=58.6,Bullish reversal,Signal score 5/7
DRREDDY,2023-02-23,2023-02-24,2023-02-28,LONG,4464.9,4330.95,4330.95,4665.82,3,-401.85,-3.0,3,Medium,5,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=7.7,No reversal,Signal score 5/7
HDFCBANK,2023-02-23,2023-02-24,2023-03-01,LONG,1617.9,1598.05,1569.36,1690.71,10,-198.5,-1.23,4,Medium,5,Up,Weak,Good,N/A,Above 200 EMA,RSI(2)=5.3,No reversal,Signal score 5/7
JSWSTEEL,2023-02-27,2023-02-28,2023-03-03,LONG,683.95,682.3,663.43,714.73,24,-39.6,-0.24,4,Medium,5,Up,Weak,Good,N/A,Below 200 EMA,RSI(2)=2.4,Bullish reversal,Signal score 5/7
LT,2023-02-28,2023-03-01,2023-03-06,LONG,2100.0,2141.15,2037.0,2194.5,7,288.05,1.96,4,High,7,Up,Good,Low,N/A,Above 200 EMA,RSI(2)=1.9,Bullish reversal,Signal score 7/7
