symbol,signal_date,entry_date,exit_date,side,entry_price,exit_price,stop_loss,target_price,quantity,pnl,pnl_pct,holding_days,confidence,score,market_trend,entry_point,avg_volume,macd_crossover,ema_crossover,price_position,bullish_reversal,comments
APOLLOHOSP,2023-02-16,2023-02-17,2023-03-16,LONG,4640.15,4268.94,4268.94,5196.97,1,-371.21,-8.0,19,Medium,5,Up,Weak,Good,N/A,Trend OK,Momentum weak,N/A,Signal score 5/7
AXISBANK,2023-02-16,2023-02-17,2023-03-17,LONG,861.0,837.4,792.12,964.32,7,-165.2,-2.74,20,Medium,5,Up,Weak,Low,N/A,Trend OK,Momentum weak,N/A,Signal score 5/7
BAJAJ-AUTO,2023-02-16,2023-02-17,2023-03-17,LONG,3890.0,3814.4,3578.8,4356.8,1,-75.6,-1.94,20,Medium,5,Up,Weak,Low,N/A,Trend OK,Momentum weak,N/A,Signal score 5/7
BHARTIARTL,2023-02-16,2023-02-17,2023-03-17,LONG,785.95,757.25,723.07,880.27,7,-200.9,-3.65,20,Medium,5,Up,Weak,Low,N/A,Trend OK,Momentum weak,N/A,Signal score 5/7
BPCL,2023-02-16,2023-02-17,2023-03-17,LONG,325.7,351.4,299.64,364.79,19,488.3,7.89,20,Medium,5,Up,Weak,Good,N/A,Trend OK,Momentum weak,N/A,Signal score 5/7
INDUSINDBK,2023-03-16,2023-03-17,2023-04-19,LONG,1038.0,1120.4,954.96,1162.56,6,494.4,7.94,20,Medium,5,Up,Weak,Good,N/A,Trend OK,Momentum weak,N/A,Signal score 5/7
APOLLOHOSP,2023-03-17,2023-03-20,2023-04-20,LONG,4322.0,4348.4,3976.24,4840.64,1,26.4,0.61,20,Medium,5,Up,Weak,Good,N/A,Trend OK,Momentum weak,N/A,Signal score 5/7
TATAMOTORS,2023-03-17,2023-03-20,2023-04-10,LONG,415.6,465.48,382.35,465.48,15,748.2,12.0,13,Medium,5,Up,Weak,Good,N/A,Trend OK,Momentum weak,N/A,Signal score 5/7
TRENT,2023-03-17,2023-03-20,2023-04-20,LONG,1366.0,1393.7,1256.72,1529.92,4,110.8,2.03,20,Medium,5,Up,Weak,Low,N/A,Trend OK,Momentum weak,N/A,Signal score 5/7
AXISBANK,2023-03-20,2023-03-21,2023-04-21,LONG,840.1,864.2,772.89,940.92,7,168.7,2.87,20,Medium,5,Up,Weak,Good,N/A,Trend OK,Momentum weak,N/A,Signal score 5/7
