symbol,signal_date,entry_date,exit_date,side,entry_price,exit_price,stop_loss,target_price,quantity,pnl,pnl_pct,holding_days,confidence,score,market_trend,entry_point,avg_volume,macd_crossover,ema_crossover,price_position,bullish_reversal,comments
ASIANPAINT,2025-07-16,2025-07-17,2025-07-30,LONG,2404.1,2415.8,2283.89,2644.52,2,23.4,0.49,10,High,7,Up,Good,Good,No,Trend OK,20 DMA pullback,Yes,Signal score 7/7
BAJAJFINSV,2025-07-16,2025-07-17,2025-07-25,LONG,2037.6,1935.72,1935.72,2241.36,2,-203.76,-5.0,7,High,7,Up,Good,Low,Yes,Trend OK,20 DMA pullback,Yes,Signal score 7/7
JSWSTEEL,2025-07-16,2025-07-17,2025-07-30,LONG,1030.5,1037.9,978.97,1133.56,4,29.6,0.72,10,High,7,Up,Good,Low,No,Trend OK,20 DMA pullback,Yes,Signal score 7/7
KOTAKBANK,2025-07-16,2025-07-17,2025-07-28,LONG,2175.0,2066.25,2066.25,2392.5,2,-217.5,-5.0,8,High,7,Up,Good,Low,No,Trend OK,20 DMA pullback,Yes,Signal score 7/7
DRREDDY,2025-07-16,2025-07-17,2025-07-30,LONG,1259.4,1292.1,1196.43,1385.34,3,98.1,2.6,10,Medium,5,Up,Weak,Low,No,Trend OK,Away from 20 DMA,Yes,Signal score 5/7
NESTLEIND,2025-07-25,2025-07-28,2025-08-08,LONG,2274.7,2160.96,2160.96,2502.18,2,-227.48,-5.0,10,Medium,4,Up,Weak,Good,No,Trend OK,Away from 20 DMA,No,Signal score 4/7
HEROMOTOCO,2025-07-28,2025-07-29,2025-08-11,LONG,4290.0,4562.2,4075.5,4719.0,1,272.2,6.34,10,Medium,5,Up,Weak,Low,No,Trend OK,Away from 20 DMA,Yes,Signal score 5/7
ASIANPAINT,2025-07-31,2025-08-01,2025-08-14,LONG,2378.0,2528.7,2259.1,2615.8,2,301.4,6.34,10,High,7,Up,Good,Good,No,Trend OK,20 DMA pullback,Yes,Signal score 7/7
HINDUNILVR,2025-07-31,2025-08-01,2025-08-14,LONG,2550.0,2480.6,2422.5,2805.0,1,-69.4,-2.72,10,High,7,Up,Good,Good,No,Trend OK,20 DMA pullback,Yes,Signal score 7/7
JIOFIN,2025-07-31,2025-08-01,2025-08-14,LONG,329.95,327.4,313.45,362.95,15,-38.25,-0.77,10,High,7,Up,Good,Good,No,Trend OK,20 DMA pullback,Yes,Signal score 7/7
HEROMOTOCO,2025-08-12,2025-08-13,2025-08-19,LONG,4668.3,5135.12,4434.89,5135.12,1,466.82,10.0,4,Medium,4,Up,Weak,Good,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
BEL,2025-08-13,2025-08-14,2025-08-26,LONG,387.85,368.46,368.46,426.63,12,-232.68,-5.0,8,Medium,4,Up,Weak,Low,No,Trend OK,Away from 20 DMA,No,Signal score 4/7
HDFCLIFE,2025-08-14,2025-08-18,2025-08-29,LONG,809.0,768.55,768.55,889.9,6,-242.7,-5.0,9,Medium,4,Up,Weak,Good,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
TATASTEEL,2025-08-18,2025-08-19,2025-09-02,LONG,158.5,158.39,150.57,174.36,31,-3.41,-0.07,10,Medium,5,Up,Weak,Good,No,Trend OK,Away from 20 DMA,Yes,Signal score 5/7
ASIANPAINT,2025-08-18,2025-08-19,2025-09-02,LONG,2587.4,2540.0,2458.03,2846.14,1,-47.4,-1.83,10,Medium,4,Up,Weak,Good,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
LT,2025-08-20,2025-08-21,2025-09-04,LONG,3599.0,3592.6,3419.05,3958.9,1,-6.4,-0.18,10,Medium,4,Up,Weak,Low,No,Trend OK,Away from 20 DMA,No,Signal score 4/7
JIOFIN,2025-08-29,2025-09-01,2025-09-12,LONG,311.7,311.2,296.11,342.88,16,-8.0,-0.16,10,Medium,4,Up,Weak,Good,No,Trend OK,Away from 20 DMA,No,Signal score 4/7
HDFCLIFE,2025-09-01,2025-09-02,2025-09-15,LONG,780.0,777.2,741.0,858.0,6,-16.8,-0.36,10,High,7,Up,Good,Low,No,Trend OK,20 DMA pullback,Yes,Signal score 7/7
SBILIFE,2025-09-03,2025-09-04,2025-09-04,LONG,1890.0,1795.5,1795.5,2079.0,2,-189.0,-5.0,1,Medium,5,Up,Weak,Good,No,Trend OK,Away from 20 DMA,Yes,Signal score 5/7
TATASTEEL,2025-09-03,2025-09-04,2025-09-17,LONG,169.0,171.36,160.55,185.9,29,68.44,1.4,10,Medium,5,Up,Weak,Good,Yes,Trend OK,20 DMA pullback,No,Signal score 5/7
LT,2025-09-05,2025-09-08,2025-09-19,LONG,3570.0,3681.0,3391.5,3927.0,1,111.0,3.11,10,Medium,4,Up,Weak,Low,No,Trend OK,Away from 20 DMA,No,Signal score 4/7
SBILIFE,2025-09-05,2025-09-08,2025-09-19,LONG,1807.0,1841.7,1716.65,1987.7,2,69.4,1.92,10,Medium,4,Up,Weak,Low,No,Trend OK,Away from 20 DMA,No,Signal score 4/7
JIOFIN,2025-09-15,2025-09-16,2025-09-26,LONG,315.8,300.01,300.01,347.38,15,-236.85,-5.0,9,Medium,5,Up,Weak,Good,No,Trend OK,20 DMA pullback,No,Signal score 5/7
TATACONSUM,2025-09-15,2025-09-16,2025-09-29,LONG,1103.0,1123.1,1047.85,1213.3,4,80.4,1.82,10,Medium,5,Up,Weak,Good,Yes,Trend OK,Away from 20 DMA,Yes,Signal score 5/7
BEL,2025-09-17,2025-09-18,2025-09-25,LONG,415.0,394.25,394.25,456.5,12,-249.0,-5.0,6,Medium,4,Up,Weak,Good,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
BHARTIARTL,2025-09-19,2025-09-22,2025-10-01,LONG,1954.0,1856.3,1856.3,2149.4,2,-195.4,-5.0,8,Medium,5,Up,Weak,Good,Yes,Trend OK,Away from 20 DMA,Yes,Signal score 5/7
ADANIPORTS,2025-09-19,2025-09-22,2025-10-06,LONG,1433.0,1400.5,1361.35,1576.3,3,-97.5,-2.27,10,Medium,4,Up,Weak,Good,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
BPCL,2025-09-25,2025-09-26,2025-10-10,LONG,329.8,338.7,313.31,362.78,15,133.5,2.7,10,Medium,4,Up,Weak,Good,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
BAJAJFINSV,2025-09-26,2025-09-29,2025-10-13,LONG,2007.9,2020.4,1907.51,2208.68,2,25.0,0.62,10,Medium,4,Up,Weak,Low,No,Trend OK,Away from 20 DMA,No,Signal score 4/7
ASIANPAINT,2025-09-29,2025-09-30,2025-10-14,LONG,2352.0,2318.1,2234.4,2587.2,2,-67.8,-1.44,10,Medium,4,Up,Weak,Low,No,Trend OK,Away from 20 DMA,No,Signal score 4/7
JSWSTEEL,2025-10-01,2025-10-03,2025-10-16,LONG,1146.1,1172.1,1088.79,1260.72,4,104.0,2.27,10,Medium,5,Up,Weak,Low,Yes,Trend OK,Away from 20 DMA,Yes,Signal score 5/7
HINDALCO,2025-10-06,2025-10-07,2025-10-20,LONG,771.0,786.35,732.45,848.1,6,92.1,1.99,10,Medium,4,Up,Weak,Low,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
NTPC,2025-10-10,2025-10-13,2025-10-27,LONG,337.95,341.75,321.05,371.75,14,53.2,1.12,10,Medium,5,Up,Weak,Low,No,Trend OK,20 DMA pullback,No,Signal score 5/7
BPCL,2025-10-13,2025-10-14,2025-10-28,LONG,338.15,340.65,321.24,371.97,14,35.0,0.74,10,Medium,4,Up,Weak,Low,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
BAJAJFINSV,2025-10-14,2025-10-15,2025-10-29,LONG,2024.5,2137.0,1923.27,2226.96,2,225.0,5.56,10,Medium,4,Up,Weak,Low,No,Trend OK,Away from 20 DMA,No,Signal score 4/7
TATACONSUM,2025-10-16,2025-10-17,2025-10-31,LONG,1152.2,1165.0,1094.59,1267.42,4,51.2,1.11,10,High,7,Up,Good,Good,No,Trend OK,20 DMA pullback,Yes,Signal score 7/7
ONGC,2025-10-20,2025-10-21,2025-11-04,LONG,248.74,252.35,236.3,273.62,20,72.2,1.45,10,Medium,4,Up,Weak,Low,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
DRREDDY,2025-10-27,2025-10-28,2025-10-30,LONG,1283.9,1219.7,1219.7,1412.3,3,-192.6,-5.0,3,High,7,Up,Good,Low,Yes,Trend OK,20 DMA pullback,Yes,Signal score 7/7
AXISBANK,2025-10-28,2025-10-29,2025-11-12,LONG,1246.9,1221.6,1184.56,1371.58,4,-101.2,-2.03,10,Medium,4,Up,Weak,Low,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
BPCL,2025-10-29,2025-10-30,2025-11-13,LONG,350.0,374.95,332.5,385.0,14,349.3,7.13,10,Medium,4,Up,Weak,Good,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
BEL,2025-10-30,2025-10-31,2025-11-14,LONG,413.8,426.85,393.11,455.18,12,156.6,3.15,10,Medium,5,Up,Weak,Low,No,Trend OK,Away from 20 DMA,Yes,Signal score 5/7
CIPLA,2025-10-31,2025-11-03,2025-11-17,LONG,1502.9,1535.6,1427.76,1653.18,3,98.1,2.18,10,Medium,4,Up,Weak,Good,No,Trend OK,Away from 20 DMA,No,Signal score 4/7
ETERNAL,2025-11-04,2025-11-06,2025-11-19,LONG,308.5,306.6,293.07,339.36,16,-30.4,-0.62,10,Medium,4,Up,Weak,Good,No,Trend OK,Away from 20 DMA,No,Signal score 4/7
ASIANPAINT,2025-11-12,2025-11-13,2025-11-26,LONG,2858.9,2874.0,2715.95,3144.8,1,15.1,0.53,10,Medium,4,Up,Weak,Good,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
AXISBANK,2025-11-13,2025-11-14,2025-11-27,LONG,1224.0,1287.3,1162.8,1346.4,4,253.2,5.17,10,Medium,4,Up,Weak,Low,No,Trend OK,Away from 20 DMA,No,Signal score 4/7
BPCL,2025-11-14,2025-11-17,2025-11-25,LONG,372.6,353.97,353.97,409.86,13,-242.19,-5.0,7,Medium,4,Up,Weak,Low,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
SUNPHARMA,2025-11-17,2025-11-18,2025-12-01,LONG,1763.9,1807.4,1675.7,1940.3,2,87.0,2.47,10,Medium,5,Up,Weak,Low,Yes,Trend OK,Away from 20 DMA,Yes,Signal score 5/7
KOTAKBANK,2025-11-19,2025-11-20,2025-12-03,LONG,2114.8,2146.1,2009.06,2326.28,2,62.6,1.48,10,Medium,5,Up,Weak,Low,No,Trend OK,Away from 20 DMA,Yes,Signal score 5/7
ADANIPORTS,2025-11-25,2025-11-26,2025-12-09,LONG,1484.3,1497.2,1410.08,1632.74,3,38.7,0.87,10,High,7,Up,Good,Low,No,Trend OK,20 DMA pullback,Yes,Signal score 7/7
BPCL,2025-11-26,2025-11-27,2025-12-10,LONG,368.95,355.15,350.5,405.85,13,-179.4,-3.74,10,Medium,5,Up,Weak,Low,No,Trend OK,20 DMA pullback,No,Signal score 5/7
INFY,2025-11-27,2025-11-28,2025-12-11,LONG,1565.0,1598.0,1486.75,1721.5,3,99.0,2.11,10,Medium,5,Up,Weak,Low,Yes,Trend OK,Away from 20 DMA,Yes,Signal score 5/7
INDUSINDBK,2025-12-01,2025-12-02,2025-12-15,LONG,847.15,851.25,804.79,931.87,5,20.5,0.48,10,Medium,4,Up,Weak,Low,No,Trend OK,Away from 20 DMA,No,Signal score 4/7
M&M,2025-12-03,2025-12-04,2025-12-17,LONG,3675.0,3612.8,3491.25,4042.5,1,-62.2,-1.69,10,Medium,4,Up,Weak,Low,No,Trend OK,Away from 20 DMA,No,Signal score 4/7
HINDALCO,2025-12-09,2025-12-10,2025-12-23,LONG,816.05,863.85,775.25,897.65,6,286.8,5.86,10,Medium,5,Up,Weak,Low,Yes,Trend OK,20 DMA pullback,No,Signal score 5/7
ADANIPORTS,2025-12-10,2025-12-11,2025-12-24,LONG,1496.0,1494.3,1421.2,1645.6,3,-5.1,-0.11,10,Medium,5,Up,Weak,Low,No,Trend OK,20 DMA pullback,No,Signal score 5/7
LT,2025-12-11,2025-12-12,2025-12-26,LONG,4061.0,4047.3,3857.95,4467.1,1,-13.7,-0.34,10,Medium,5,Up,Weak,Low,No,Trend OK,20 DMA pullback,No,Signal score 5/7
AXISBANK,2025-12-15,2025-12-16,2025-12-30,LONG,1277.1,1246.0,1213.24,1404.82,3,-93.3,-2.44,10,Medium,5,Up,Weak,Low,No,Trend OK,Away from 20 DMA,Yes,Signal score 5/7
SUNPHARMA,2025-12-17,2025-12-18,2026-01-01,LONG,1785.0,1721.1,1695.75,1963.5,2,-127.8,-3.58,10,High,7,Up,Good,Low,No,Trend OK,20 DMA pullback,Yes,Signal score 7/7
TATACONSUM,2025-12-23,2025-12-24,2026-01-07,LONG,1187.3,1212.6,1127.93,1306.04,4,101.2,2.13,10,Medium,5,Up,Weak,Good,Yes,Trend OK,Away from 20 DMA,Yes,Signal score 5/7
HINDALCO,2025-12-24,2025-12-26,2026-01-06,LONG,865.25,951.77,821.99,951.77,5,432.6,10.0,8,Medium,4,Up,Weak,Low,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
BHARTIARTL,2025-12-26,2025-12-29,2026-01-09,LONG,2105.4,2027.1,2000.13,2315.94,2,-156.6,-3.72,10,Medium,5,Up,Weak,Low,Yes,Trend OK,20 DMA pullback,No,Signal score 5/7
INFY,2025-12-30,2025-12-31,2026-01-13,LONG,1621.0,1599.0,1539.95,1783.1,3,-66.0,-1.36,10,Medium,5,Up,Weak,Good,No,Trend OK,20 DMA pullback,No,Signal score 5/7
INDUSINDBK,2026-01-01,2026-01-02,2026-01-16,LONG,896.0,953.85,851.2,985.6,5,289.25,6.46,10,Medium,4,Up,Weak,Good,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
TCS,2026-01-06,2026-01-07,2026-01-21,LONG,3242.9,3122.6,3080.76,3567.18,1,-120.3,-3.71,10,High,7,Up,Good,Good,No,Trend OK,20 DMA pullback,Yes,Signal score 7/7
HINDALCO,2026-01-07,2026-01-08,2026-01-22,LONG,934.05,944.45,887.35,1027.45,5,52.0,1.11,10,Medium,4,Up,Weak,Good,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
BEL,2026-01-09,2026-01-12,2026-01-21,LONG,419.5,398.52,398.52,461.46,11,-230.78,-5.0,7,Medium,4,Up,Weak,Good,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
LT,2026-01-13,2026-01-14,2026-01-29,LONG,3900.0,3932.9,3705.0,4290.0,1,32.9,0.84,10,Medium,4,Up,Weak,Good,No,Trend OK,Away from 20 DMA,No,Signal score 4/7
TECHM,2026-01-16,2026-01-19,2026-02-02,LONG,1690.0,1724.0,1605.5,1859.0,2,68.0,2.01,10,Medium,5,Up,Weak,Good,No,Trend OK,20 DMA pullback,No,Signal score 5/7
NTPC,2026-01-21,2026-01-22,2026-02-05,LONG,338.7,367.0,321.76,372.58,14,396.2,8.36,10,Medium,5,Up,Weak,Low,No,Trend OK,20 DMA pullback,No,Signal score 5/7
M&M,2026-01-21,2026-01-22,2026-01-27,LONG,3600.0,3420.0,3420.0,3960.0,1,-180.0,-5.0,3,Medium,4,Up,Weak,Good,No,Trend OK,Away from 20 DMA,No,Signal score 4/7
BEL,2026-01-22,2026-01-23,2026-02-06,LONG,419.0,429.65,398.05,460.9,11,117.15,2.54,10,Medium,5,Up,Weak,Good,Yes,Trend OK,20 DMA pullback,No,Signal score 5/7
NESTLEIND,2026-01-27,2026-01-28,2026-02-10,LONG,1297.2,1308.6,1232.34,1426.92,3,34.2,0.88,10,Medium,5,Up,Weak,Good,No,Trend OK,20 DMA pullback,No,Signal score 5/7
SHRIRAMFIN,2026-01-29,2026-01-30,2026-02-02,LONG,1025.0,973.75,973.75,1127.5,4,-205.0,-5.0,2,Medium,5,Up,Weak,Good,No,Trend OK,Away from 20 DMA,Yes,Signal score 5/7
HCLTECH,2026-02-02,2026-02-03,2026-02-03,LONG,1780.0,1691.0,1691.0,1958.0,2,-178.0,-5.0,1,Medium,5,Up,Weak,Low,No,Trend OK,Away from 20 DMA,Yes,Signal score 5/7
INFY,2026-02-02,2026-02-03,2026-02-04,LONG,1727.2,1640.84,1640.84,1899.92,2,-172.72,-5.0,2,Medium,4,Up,Weak,Low,No,Trend OK,Away from 20 DMA,No,Signal score 4/7
AXISBANK,2026-02-03,2026-02-04,2026-02-17,LONG,1369.7,1357.2,1301.21,1506.68,3,-37.5,-0.91,10,Medium,4,Up,Weak,Good,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
HCLTECH,2026-02-04,2026-02-05,2026-02-12,LONG,1613.7,1533.01,1533.01,1775.08,3,-242.07,-5.0,6,Medium,5,Up,Weak,Good,No,Trend OK,Away from 20 DMA,Yes,Signal score 5/7
POWERGRID,2026-02-05,2026-02-06,2026-02-19,LONG,292.2,294.65,277.59,321.42,17,41.65,0.84,10,Medium,5,Up,Weak,Low,Yes,Trend OK,Away from 20 DMA,Yes,Signal score 5/7
ADANIPORTS,2026-02-06,2026-02-09,2026-02-16,LONG,1575.9,1497.11,1497.11,1733.48,3,-236.37,-5.0,6,Medium,5,Up,Weak,Good,Yes,Trend OK,Away from 20 DMA,Yes,Signal score 5/7
HINDUNILVR,2026-02-10,2026-02-11,2026-02-13,LONG,2460.0,2337.0,2337.0,2706.0,2,-246.0,-5.0,3,Medium,4,Up,Weak,Low,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
BPCL,2026-02-12,2026-02-13,2026-02-26,LONG,377.45,386.0,358.58,415.19,13,111.15,2.27,10,Medium,5,Up,Weak,Low,Yes,Trend OK,20 DMA pullback,No,Signal score 5/7
DRREDDY,2026-02-13,2026-02-16,2026-02-27,LONG,1257.1,1286.3,1194.24,1382.82,3,87.6,2.32,10,Medium,4,Up,Weak,Low,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
HINDALCO,2026-02-16,2026-02-17,2026-03-02,LONG,892.9,940.0,848.25,982.2,5,235.5,5.27,10,Medium,4,Up,Weak,Low,No,Trend OK,Away from 20 DMA,No,Signal score 4/7
ADANIPORTS,2026-02-17,2026-02-18,2026-03-02,LONG,1565.0,1486.75,1486.75,1721.5,3,-234.75,-5.0,9,Medium,4,Up,Weak,Low,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
BAJAJFINSV,2026-02-20,2026-02-23,2026-03-02,LONG,2050.0,1947.5,1947.5,2255.0,2,-205.0,-5.0,6,Medium,5,Up,Weak,Low,Yes,Trend OK,20 DMA pullback,No,Signal score 5/7
COALINDIA,2026-02-26,2026-02-27,2026-03-13,LONG,432.8,467.0,411.16,476.08,11,376.2,7.9,10,Medium,4,Up,Weak,Good,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
BPCL,2026-02-27,2026-03-02,2026-03-09,LONG,368.0,349.6,349.6,404.8,13,-239.2,-5.0,5,Medium,4,Up,Weak,Good,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
DRREDDY,2026-03-02,2026-03-04,2026-03-17,LONG,1274.4,1283.8,1210.68,1401.84,3,28.2,0.74,10,Medium,5,Up,Weak,Low,Yes,Trend OK,20 DMA pullback,No,Signal score 5/7
ONGC,2026-03-02,2026-03-04,2026-03-06,LONG,287.0,272.65,272.65,315.7,17,-243.95,-5.0,3,Medium,4,Up,Weak,Good,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
ADANIPORTS,2026-03-04,2026-03-05,2026-03-13,LONG,1447.2,1374.84,1374.84,1591.92,3,-217.08,-5.0,7,Medium,5,Up,Weak,Good,No,Trend OK,Away from 20 DMA,Yes,Signal score 5/7
AXISBANK,2026-03-06,2026-03-09,2026-03-13,LONG,1282.2,1218.09,1218.09,1410.42,3,-192.33,-5.0,5,Medium,4,Up,Weak,Good,No,Trend OK,Away from 20 DMA,No,Signal score 4/7
SBIN,2026-03-09,2026-03-10,2026-03-13,LONG,1111.1,1055.54,1055.54,1222.22,4,-222.24,-5.0,4,Medium,5,Up,Weak,Good,No,Trend OK,Away from 20 DMA,Yes,Signal score 5/7
INDUSINDBK,2026-03-13,2026-03-16,2026-03-23,LONG,814.55,773.82,773.82,896.01,6,-244.38,-5.0,6,Medium,4,Up,Weak,Good,No,Trend OK,Away from 20 DMA,No,Signal score 4/7
JSWSTEEL,2026-03-13,2026-03-16,2026-03-30,LONG,1121.5,1122.5,1065.42,1233.66,4,4.0,0.09,10,Medium,4,Up,Weak,Good,No,Trend OK,Away from 20 DMA,No,Signal score 4/7
SHRIRAMFIN,2026-03-13,2026-03-16,2026-03-20,LONG,990.0,940.5,940.5,1089.0,5,-247.5,-5.0,5,Medium,4,Up,Weak,Good,No,Trend OK,Away from 20 DMA,No,Signal score 4/7
SUNPHARMA,2026-03-13,2026-03-16,2026-03-30,LONG,1801.6,1757.2,1711.52,1981.76,2,-88.8,-2.46,10,Medium,4,Up,Weak,Good,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
BEL,2026-03-17,2026-03-18,2026-03-23,LONG,445.45,423.18,423.18,489.99,11,-244.97,-5.0,4,Medium,4,Up,Weak,Low,No,Trend OK,Away from 20 DMA,No,Signal score 4/7
SHRIRAMFIN,2026-03-23,2026-03-24,2026-04-08,LONG,907.0,997.7,861.65,997.7,5,453.5,10.0,9,Medium,4,Up,Weak,Good,No,Trend OK,Away from 20 DMA,No,Signal score 4/7
BEL,2026-03-24,2026-03-25,2026-04-10,LONG,416.3,442.45,395.49,457.92,12,313.8,6.28,10,Medium,4,Up,Weak,Low,No,Trend OK,Away from 20 DMA,No,Signal score 4/7
ONGC,2026-03-24,2026-03-25,2026-04-10,LONG,267.35,286.5,253.98,294.09,18,344.7,7.16,10,Medium,4,Up,Weak,Low,No,Trend OK,Away from 20 DMA,No,Signal score 4/7
SUNPHARMA,2026-04-01,2026-04-02,2026-04-17,LONG,1665.0,1675.5,1581.75,1831.5,3,31.5,0.63,10,Medium,4,Up,Weak,Good,No,Trend OK,Away from 20 DMA,No,Signal score 4/7
COALINDIA,2026-04-02,2026-04-06,2026-04-20,LONG,449.3,441.75,426.83,494.24,11,-83.05,-1.68,10,High,7,Up,Good,Low,No,Trend OK,20 DMA pullback,Yes,Signal score 7/7
HINDALCO,2026-04-08,2026-04-09,2026-04-23,LONG,959.0,1041.35,911.05,1054.9,5,411.75,8.59,10,Medium,4,Up,Weak,Good,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
ONGC,2026-04-13,2026-04-15,2026-04-28,LONG,284.05,301.3,269.85,312.45,17,293.25,6.07,10,Medium,5,Up,Weak,Low,Yes,Trend OK,Away from 20 DMA,Yes,Signal score 5/7
BEL,2026-04-13,2026-04-15,2026-04-28,LONG,447.5,435.75,425.12,492.26,11,-129.25,-2.63,10,Medium,4,Up,Weak,Low,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
JSWSTEEL,2026-04-17,2026-04-20,2026-05-04,LONG,1241.1,1266.6,1179.04,1365.22,4,102.0,2.05,10,Medium,5,Up,Weak,Low,Yes,Trend OK,Away from 20 DMA,Yes,Signal score 5/7
COALINDIA,2026-04-21,2026-04-22,2026-04-30,LONG,443.8,488.18,421.61,488.18,11,488.18,10.0,7,Medium,4,Up,Weak,Low,No,Trend OK,Away from 20 DMA,No,Signal score 4/7
ASIANPAINT,2026-04-23,2026-04-24,2026-04-30,LONG,2521.4,2395.33,2395.33,2773.54,1,-126.07,-5.0,5,Medium,4,Up,Weak,Low,Yes,Trend OK,Away from 20 DMA,No,Signal score 4/7
