date,equity
2026-02-13,24547.87
2026-02-25,25057.87
2026-02-02,24567.19
2026-02-25,24364.789999999997
2026-02-25,24776.19
2026-03-02,25031.39
2026-02-24,24596.04
2026-03-25,24916.440000000002
2026-03-02,24418.47
2026-03-16,24001.170000000002
2026-03-02,23742.88
2026-03-13,23271.98
2026-03-13,22837.829999999998
2026-04-01,22372.53
2026-03-24,22024.02
2026-04-16,22664.62
2026-04-17,23317.719999999998
2026-04-17,24541.42
2026-04-28,24603.42
2026-04-27,25761.719999999998
2026-05-06,25836.12
2026-05-06,25663.62
2026-05-06,25813.62
2026-05-06,25734.12
2026-05-06,26235.87
