symbol,signal_date,entry_date,exit_date,side,entry_price,exit_price,stop_loss,target_price,quantity,pnl,pnl_pct,holding_days,confidence,score,market_trend,entry_point,avg_volume,macd_crossover,ema_crossover,price_position,bullish_reversal,comments
ASIANPAINT,2026-01-28,2026-01-29,2026-02-13,LONG,2511.8,2361.09,2361.09,2888.58,3,-452.13,-6.0,12,Medium,5,Up,Weak,Good,N/A,Trend OK,Below breakout,N/A,Signal score 5/7
AXISBANK,2026-01-28,2026-01-29,2026-02-25,LONG,1318.0,1403.0,1238.92,1515.7,6,510.0,6.45,20,Medium,5,Up,Weak,Good,N/A,Trend OK,Below breakout,N/A,Signal score 5/7
BEL,2026-01-28,2026-01-29,2026-02-02,LONG,454.25,426.99,426.99,522.4,18,-490.68,-6.0,3,Medium,5,Up,Weak,Good,N/A,Trend OK,Below breakout,N/A,Signal score 5/7
BHARTIARTL,2026-01-28,2026-01-29,2026-02-25,LONG,1964.0,1913.4,1846.16,2258.6,4,-202.4,-2.58,20,Medium,5,Up,Weak,Good,N/A,Trend OK,Below breakout,N/A,Signal score 5/7
BPCL,2026-01-28,2026-01-29,2026-02-25,LONG,362.35,381.05,340.61,416.7,22,411.4,5.16,20,Medium,5,Up,Weak,Good,N/A,Trend OK,Below breakout,N/A,Signal score 5/7
NTPC,2026-02-02,2026-02-03,2026-03-02,LONG,365.95,377.55,343.99,420.85,22,255.2,3.17,20,Medium,4,Up,Weak,Low,N/A,Trend OK,Below breakout,N/A,Signal score 4/7
HCLTECH,2026-02-13,2026-02-16,2026-02-24,LONG,1451.1,1364.03,1364.03,1668.77,5,-435.35,-6.0,7,Medium,5,Up,Weak,Good,N/A,Trend OK,Below breakout,N/A,Signal score 5/7
TECHM,2026-02-24,2026-02-25,2026-03-25,LONG,1355.1,1408.5,1273.79,1558.37,6,320.4,3.94,20,Medium,5,Up,Weak,Good,N/A,Trend OK,Below breakout,N/A,Signal score 5/7
ETERNAL,2026-02-25,2026-02-26,2026-03-02,LONG,251.55,236.46,236.46,289.28,33,-497.97,-6.0,3,Medium,5,Up,Weak,Good,N/A,Trend OK,Below breakout,N/A,Signal score 5/7
HCLTECH,2026-02-25,2026-02-26,2026-03-16,LONG,1391.0,1307.54,1307.54,1599.65,5,-417.3,-6.0,12,Medium,5,Up,Weak,Good,N/A,Trend OK,Below breakout,N/A,Signal score 5/7
LT,2026-02-25,2026-02-26,2026-03-02,LONG,4304.9,4046.61,4046.61,4950.62,1,-258.29,-6.0,3,Medium,4,Up,Weak,Low,N/A,Trend OK,Below breakout,N/A,Signal score 4/7
LT,2026-03-04,2026-03-05,2026-03-13,LONG,3924.2,3688.75,3688.75,4512.82,2,-470.9,-6.0,7,Medium,5,Up,Weak,Good,N/A,Trend OK,Below breakout,N/A,Signal score 5/7
ADANIPORTS,2026-03-04,2026-03-05,2026-03-13,LONG,1447.2,1360.37,1360.37,1664.28,5,-434.15,-6.0,7,Medium,4,Up,Weak,Low,N/A,Trend OK,Below breakout,N/A,Signal score 4/7
DRREDDY,2026-03-04,2026-03-05,2026-04-01,LONG,1292.5,1214.95,1214.95,1486.38,6,-465.3,-6.0,18,Medium,4,Up,Weak,Low,N/A,Trend OK,Below breakout,N/A,Signal score 4/7
BRITANNIA,2026-03-13,2026-03-16,2026-03-24,LONG,5808.5,5459.99,5459.99,6679.78,1,-348.51,-6.0,7,Medium,5,Up,Weak,Good,N/A,Trend OK,Below breakout,N/A,Signal score 5/7
M&M,2026-03-13,2026-03-16,2026-04-16,LONG,2902.0,3222.3,2727.88,3337.3,2,640.6,11.04,20,Medium,5,Up,Weak,Good,N/A,Trend OK,Below breakout,N/A,Signal score 5/7
JSWSTEEL,2026-03-16,2026-03-17,2026-04-17,LONG,1147.0,1240.3,1078.18,1319.05,7,653.1,8.13,20,Medium,5,Up,Weak,Good,N/A,Trend OK,Below breakout,N/A,Signal score 5/7
ADANIPORTS,2026-03-24,2026-03-25,2026-04-17,LONG,1359.7,1563.65,1278.12,1563.65,6,1223.7,15.0,14,Medium,4,Up,Weak,Low,N/A,Trend OK,Below breakout,N/A,Signal score 4/7
BRITANNIA,2026-03-25,2026-03-27,2026-04-28,LONG,5600.0,5662.0,5264.0,6440.0,1,62.0,1.11,20,Medium,4,Up,Weak,Low,N/A,Trend OK,Below breakout,N/A,Signal score 4/7
INDUSINDBK,2026-04-01,2026-04-02,2026-04-27,LONG,772.2,888.03,725.87,888.03,10,1158.3,15.0,16,Medium,4,Up,Weak,Low,N/A,Trend OK,Below breakout,N/A,Signal score 4/7
HINDALCO,2026-04-16,2026-04-17,2026-05-06,LONG,1036.5,1045.8,974.31,1191.98,8,74.4,0.9,13,Medium,4,Up,Weak,Low,N/A,Trend OK,Below breakout,N/A,Signal score 4/7
TITAN,2026-04-17,2026-04-20,2026-05-06,LONG,4532.1,4359.6,4260.17,5211.93,1,-172.5,-3.81,12,Medium,5,Up,Weak,Good,N/A,Trend OK,Below breakout,N/A,Signal score 5/7
