date,equity
2026-03-04,24751.4
2026-03-04,24558.36
2026-03-09,24334.68
2026-03-24,24176.83
2026-03-04,24017.050000000003
2026-03-13,23778.81
2026-04-02,23626.81
2026-03-30,23472.41
2026-03-13,23262.81
2026-04-16,23362.86
2026-04-16,23693.82
2026-04-08,24005.579999999998
2026-04-15,24216.78
2026-04-23,24506.699999999997
2026-05-06,24658.049999999996
2026-05-05,24440.129999999997
2026-04-23,24282.769999999997
2026-05-06,24471.459999999995
2026-05-06,24452.659999999996
2026-05-06,24542.759999999995
2026-05-06,24555.959999999995
