date,equity
2023-02-27,24528.4
2023-02-27,24035.350000000002
2023-03-06,24075.350000000002
2023-02-27,23577.050000000003
2023-03-06,23456.600000000002
2023-03-16,22960.280000000002
2023-03-16,22481.480000000003
2023-03-13,22039.220000000005
2023-03-14,21564.900000000005
2023-03-24,21661.900000000005
2023-03-24,21205.180000000004
2023-04-05,20927.080000000005
2023-04-05,21207.580000000005
2023-04-05,21841.180000000004
2023-04-18,22019.180000000004
2023-04-18,22846.080000000005
2023-04-26,23207.430000000004
2023-04-26,23591.330000000005
2023-04-26,23810.330000000005
2023-05-05,23644.730000000007
2023-05-08,24251.530000000006
2023-05-16,24611.230000000007
2023-05-16,24923.730000000007
2023-05-16,25277.13000000001
2023-05-23,25155.930000000008
2023-05-24,25524.480000000007
2023-06-01,25708.580000000005
2023-06-01,25949.880000000005
2023-06-02,26010.880000000005
2023-06-07,26924.680000000004
2023-06-12,27121.880000000005
2023-06-19,27063.830000000005
2023-06-19,26903.630000000005
2023-06-20,27139.880000000005
2023-06-23,27381.380000000005
2023-06-30,27780.980000000003
2023-07-05,27430.500000000004
2023-07-06,27435.750000000004
2023-07-07,27702.350000000002
2023-07-12,28359.800000000003
2023-07-17,29127.200000000004
2023-07-21,29208.800000000003
2023-07-24,29070.4
2023-07-25,29441.4
2023-07-28,29377.9
2023-08-02,29168.15
2023-07-27,28915.800000000003
2023-07-31,29898.800000000003
2023-08-10,29534.9
2023-08-14,29719.800000000003
2023-08-07,29229.300000000003
2023-08-17,29034.800000000003
2023-08-21,28731.800000000003
2023-08-24,28805.000000000004
2023-08-29,29031.000000000004
2023-08-31,29295.750000000004
2023-09-04,29307.300000000003
2023-09-07,29103.600000000002
2023-09-11,29314.9
2023-09-14,29529.300000000003
2023-09-18,30052.4
2023-09-21,30655.75
2023-09-27,30725.05
2023-09-28,30427.149999999998
2023-09-20,29932.149999999998
2023-09-29,29483.449999999997
2023-10-04,29225.049999999996
2023-10-10,29035.099999999995
2023-10-17,29286.999999999996
2023-10-18,29313.999999999996
2023-10-18,29599.449999999997
2023-10-20,29223.149999999998
2023-10-23,28726.71
2023-10-25,28231.93
2023-11-06,28270.68
2023-11-07,28501.08
2023-11-08,28318.18
2023-11-09,28726.93
2023-11-10,29055.63
2023-11-23,30031.670000000002
2023-11-13,31011.27
2023-11-28,30942.87
2023-11-30,31422.12
2023-11-30,32035.92
2023-12-01,32153.519999999997
2023-12-13,32285.519999999997
2023-12-15,32710.319999999996
2023-12-18,33126.02
2023-12-15,34114.02
2023-12-19,34293.32
2023-12-21,33858.17
2023-12-21,33365.119999999995
2024-01-04,33918.31999999999
2024-01-01,33506.55999999999
2024-01-05,34149.95999999999
2024-01-09,34340.30999999999
2024-01-09,34627.95999999999
2024-01-17,35179.05999999999
2024-01-23,35243.05999999999
2024-01-24,35450.85999999999
2024-01-18,35063.81999999999
2024-01-15,36053.09999999999
2024-02-02,36189.59999999999
2024-01-24,37157.27999999999
2024-02-02,38156.87999999999
2024-01-25,37710.11999999999
2024-02-01,38581.139999999985
2024-02-01,39477.61999999999
2024-02-13,39790.36999999999
2024-02-08,39329.91999999999
2024-02-12,38830.41999999999
2024-02-20,38977.91999999999
2024-02-20,39153.719999999994
2024-02-26,39353.66999999999
2024-02-28,39334.469999999994
2024-02-22,40326.78999999999
2024-03-11,40475.09
2024-03-11,40380.14
2024-03-12,40408.74
2024-03-14,40433.939999999995
2024-03-18,40107.439999999995
2024-03-14,39675.59
2024-04-01,39878.09
2024-03-18,39502.189999999995
2024-04-03,39341.49
2024-04-03,39708.84
2024-04-05,39740.78999999999
2024-04-01,40728.78999999999
2024-04-04,40231.439999999995
2024-04-22,40336.28999999999
2024-04-08,39843.27999999999
2024-04-16,39384.77999999999
2024-04-24,39193.079999999994
2024-04-25,39674.88
2024-04-18,39190.68
2024-04-19,38707.0
2024-05-07,39158.0
2024-04-29,38850.27
2024-05-09,38591.869999999995
2024-05-13,38613.869999999995
2024-05-09,38302.619999999995
2024-05-14,39131.81999999999
2024-05-24,39911.619999999995
2024-05-28,39951.369999999995
2024-05-21,40951.369999999995
2024-05-30,40853.77
2024-05-16,40368.27
2024-06-04,39893.469999999994
2024-06-06,39896.869999999995
2024-06-04,39532.369999999995
2024-06-04,39098.42
2024-06-04,38803.42
2024-06-05,38314.689999999995
2024-06-05,37860.189999999995
2024-06-05,37411.84
2024-06-05,36922.329999999994
2024-06-24,37347.92999999999
2024-06-24,37425.62999999999
2024-06-24,37842.42999999999
2024-06-24,37881.27999999999
2024-06-25,37883.37999999999
2024-07-10,38267.22999999999
2024-07-10,38397.12999999999
2024-07-11,38928.37999999999
2024-07-02,38478.97999999999
2024-07-11,38888.22999999999
2024-07-19,38394.02999999999
2024-07-29,38403.62999999999
2024-07-29,38290.22999999999
2024-07-30,38987.57999999999
2024-07-23,39895.57999999999
2024-07-30,40406.57999999999
2024-08-08,40430.57999999999
2024-08-14,40449.929999999986
2024-08-14,40313.429999999986
2024-08-16,40422.029999999984
2024-08-05,40003.40999999998
2024-08-22,40137.35999999998
2024-08-27,40664.809999999976
2024-08-22,41418.52999999998
2024-08-29,42266.92999999998
2024-09-03,43232.08999999998
2024-09-09,43504.33999999998
2024-09-04,43028.23999999998
2024-09-13,43123.73999999998
2024-09-09,42663.539999999986
2024-09-10,42170.83999999999
2024-09-20,42583.48999999999
2024-09-20,43573.08999999999
2024-09-25,43489.88999999999
2024-09-19,43037.74999999999
2024-10-03,43718.74999999999
2024-10-08,43448.99999999999
2024-10-09,43354.899999999994
2024-10-09,43756.149999999994
2024-10-14,43701.24999999999
2024-10-08,43208.59999999999
2024-10-23,42709.91999999999
2024-10-24,42515.91999999999
2024-10-24,42040.11999999999
2024-10-24,41544.71999999999
2024-10-22,41241.46999999999
2024-11-08,41209.069999999985
2024-10-28,40711.15999999998
2024-11-11,40912.459999999985
2024-11-04,40492.15999999998
2024-10-25,40004.029999999984
2024-11-04,39635.919999999984
2024-11-13,39270.919999999984
2024-11-25,39187.669999999984
2024-11-07,38836.46999999999
2024-11-13,38340.80999999998
2024-11-21,37997.80999999998
2024-11-29,38165.459999999985
2024-12-03,38798.75999999999
2024-11-18,38546.43999999999
2024-11-28,38068.43999999999
2024-12-05,38882.639999999985
2024-12-12,39131.039999999986
2024-12-16,39381.389999999985
2024-12-17,39130.139999999985
