symbol,signal_date,entry_date,exit_date,side,entry_price,exit_price,stop_loss,target_price,quantity,pnl,pnl_pct,holding_days,confidence,score,market_trend,entry_point,avg_volume,macd_crossover,ema_crossover,price_position,bullish_reversal,comments
BHARTIARTL,2023-02-16,2023-02-17,2023-02-27,LONG,785.95,746.65,746.65,864.55,12,-471.6,-5.0,7,Medium,5,Up,Weak,Low,MACD cross,At 50 EMA,Above 200 EMA,No reversal,Signal score 5/7
EICHERMOT,2023-02-16,2023-02-17,2023-02-27,LONG,3287.05,3122.7,3122.7,3615.75,3,-493.05,-5.0,7,Medium,5,Up,Weak,Good,MACD cross,At 50 EMA,Above 200 EMA,No reversal,Signal score 5/7
HCLTECH,2023-02-16,2023-02-17,2023-03-06,LONG,1121.7,1126.7,1065.62,1233.86,8,40.0,0.45,12,Medium,5,Up,Weak,Low,No MACD cross,At 50 EMA,Above 200 EMA,No reversal,Signal score 5/7
HDFCBANK,2023-02-16,2023-02-17,2023-02-27,LONG,1661.0,1577.95,1577.95,1827.1,6,-498.3,-5.0,7,Medium,5,Up,Weak,Low,MACD cross,At 50 EMA,Above 200 EMA,No reversal,Signal score 5/7
HINDUNILVR,2023-02-16,2023-02-17,2023-03-06,LONG,2525.0,2484.85,2398.75,2777.5,3,-120.45,-1.59,12,Medium,5,Up,Weak,Good,No MACD cross,At 50 EMA,Above 200 EMA,No reversal,Signal score 5/7
HINDALCO,2023-02-27,2023-02-28,2023-03-16,LONG,413.5,392.82,392.82,454.86,24,-496.32,-5.0,12,Medium,4,Up,Weak,Good,No MACD cross,Away from 50 EMA,Below 200 EMA,Bullish reversal,Signal score 4/7
JSWSTEEL,2023-02-27,2023-02-28,2023-03-16,LONG,683.95,649.75,649.75,752.35,14,-478.8,-5.0,12,Medium,4,Up,Weak,Good,No MACD cross,Away from 50 EMA,Below 200 EMA,Bullish reversal,Signal score 4/7
M&M,2023-02-27,2023-02-28,2023-03-13,LONG,1263.7,1200.52,1200.52,1390.06,7,-442.26,-5.0,9,Medium,4,Up,Weak,Low,No MACD cross,Away from 50 EMA,Above 200 EMA,No reversal,Signal score 4/7
AXISBANK,2023-03-08,2023-03-09,2023-03-14,LONG,862.5,819.38,819.38,948.74,11,-474.32,-5.0,4,High,7,Up,Good,Good,MACD cross,At 50 EMA,Above 200 EMA,Bullish reversal,Signal score 7/7
DRREDDY,2023-03-08,2023-03-09,2023-03-24,LONG,4415.65,4464.15,4194.87,4857.21,2,97.0,1.1,12,High,7,Up,Good,Low,No MACD cross,At 50 EMA,Above 200 EMA,Bullish reversal,Signal score 7/7
EICHERMOT,2023-03-14,2023-03-15,2023-03-24,LONG,3044.8,2892.56,2892.56,3349.28,3,-456.72,-5.0,8,Medium,4,Up,Weak,Good,No MACD cross,Away from 50 EMA,Below 200 EMA,Bullish reversal,Signal score 4/7
APOLLOHOSP,2023-03-16,2023-03-17,2023-04-05,LONG,4340.0,4200.95,4123.0,4774.0,2,-278.1,-3.2,12,Medium,4,Up,Weak,Low,No MACD cross,At 50 EMA,Below 200 EMA,Bullish reversal,Signal score 4/7
AXISBANK,2023-03-16,2023-03-17,2023-04-05,LONG,835.0,860.5,793.25,918.5,11,280.5,3.05,12,Medium,4,Up,Weak,Low,No MACD cross,Away from 50 EMA,Above 200 EMA,No reversal,Signal score 4/7
ICICIBANK,2023-03-16,2023-03-17,2023-04-05,LONG,831.8,884.6,790.21,914.98,12,633.6,6.35,12,Medium,4,Up,Weak,Good,No MACD cross,Away from 50 EMA,Below 200 EMA,Bullish reversal,Signal score 4/7
SUNPHARMA,2023-03-27,2023-03-28,2023-04-18,LONG,987.0,1004.8,937.65,1085.7,10,178.0,1.8,12,High,7,Up,Good,Good,MACD cross,At 50 EMA,Above 200 EMA,Bullish reversal,Signal score 7/7
DRREDDY,2023-03-27,2023-03-28,2023-04-18,LONG,4498.95,4912.4,4274.0,4948.85,2,826.9,9.19,12,Medium,5,Up,Weak,Good,MACD cross,At 50 EMA,Above 200 EMA,No reversal,Signal score 5/7
AXISBANK,2023-04-06,2023-04-10,2023-04-26,LONG,854.8,887.65,812.06,940.28,11,361.35,3.84,12,Medium,5,Up,Weak,Good,MACD cross,At 50 EMA,Above 200 EMA,No reversal,Signal score 5/7
ICICIBANK,2023-04-06,2023-04-10,2023-04-26,LONG,880.05,914.95,836.05,968.05,11,383.9,3.97,12,Medium,5,Up,Weak,Good,MACD cross,At 50 EMA,Above 200 EMA,No reversal,Signal score 5/7
TITAN,2023-04-06,2023-04-10,2023-04-26,LONG,2568.0,2641.0,2439.6,2824.8,3,219.0,2.84,12,Medium,4,Up,Weak,Good,MACD cross,Away from 50 EMA,Above 200 EMA,No reversal,Signal score 4/7
HCLTECH,2023-04-18,2023-04-19,2023-05-05,LONG,1073.95,1055.55,1020.25,1181.35,9,-165.6,-1.71,12,Medium,5,Up,Weak,Good,No MACD cross,At 50 EMA,Above 200 EMA,No reversal,Signal score 5/7
BRITANNIA,2023-04-19,2023-04-20,2023-05-08,LONG,4295.0,4598.4,4080.25,4724.5,2,606.8,7.06,12,Medium,5,Up,Weak,Good,MACD cross,At 50 EMA,Above 200 EMA,No reversal,Signal score 5/7
AXISBANK,2023-04-27,2023-04-28,2023-05-16,LONG,885.1,917.8,840.85,973.6,11,359.7,3.69,12,Medium,5,Up,Weak,Low,MACD cross,At 50 EMA,Above 200 EMA,No reversal,Signal score 5/7
ICICIBANK,2023-04-27,2023-04-28,2023-05-16,LONG,915.1,946.35,869.35,1006.6,10,312.5,3.41,12,Medium,4,Up,Weak,Low,MACD cross,Away from 50 EMA,Above 200 EMA,No reversal,Signal score 4/7
TITAN,2023-04-27,2023-04-28,2023-05-16,LONG,2672.45,2790.25,2538.83,2939.69,3,353.4,4.41,12,Medium,4,Up,Weak,Low,MACD cross,Away from 50 EMA,Above 200 EMA,No reversal,Signal score 4/7
APOLLOHOSP,2023-05-05,2023-05-08,2023-05-23,LONG,4611.0,4550.4,4380.45,5072.1,2,-121.2,-1.31,12,Medium,4,Up,Weak,Low,MACD cross,Away from 50 EMA,Above 200 EMA,No reversal,Signal score 4/7
HCLTECH,2023-05-08,2023-05-09,2023-05-24,LONG,1071.0,1111.95,1017.45,1178.1,9,368.55,3.82,12,Medium,5,Up,Weak,Low,MACD cross,At 50 EMA,Above 200 EMA,No reversal,Signal score 5/7
EICHERMOT,2023-05-16,2023-05-17,2023-06-01,LONG,3624.0,3716.05,3442.8,3986.4,2,184.1,2.54,12,Medium,4,Up,Weak,Good,MACD cross,Away from 50 EMA,Above 200 EMA,No reversal,Signal score 4/7
TATAMOTORS,2023-05-16,2023-05-17,2023-06-01,LONG,522.5,535.2,496.38,574.74,19,241.3,2.43,12,Medium,4,Up,Weak,Good,MACD cross,Away from 50 EMA,Above 200 EMA,No reversal,Signal score 4/7
AXISBANK,2023-05-17,2023-05-18,2023-06-02,LONG,920.0,926.1,874.0,1012.0,10,61.0,0.66,12,Medium,4,Up,Weak,Low,MACD cross,Away from 50 EMA,Above 200 EMA,No reversal,Signal score 4/7
APOLLOHOSP,2023-05-24,2023-05-25,2023-06-07,LONG,4569.0,5025.9,4340.55,5025.9,2,913.8,10.0,10,Medium,5,Up,Weak,Low,No MACD cross,At 50 EMA,Above 200 EMA,No reversal,Signal score 5/7
