symbol,signal_date,entry_date,exit_date,side,entry_price,exit_price,stop_loss,target_price,quantity,pnl,pnl_pct,holding_days,confidence,score,market_trend,entry_point,avg_volume,macd_crossover,ema_crossover,price_position,bullish_reversal,comments
ADANIPORTS,2026-02-23,2026-02-24,2026-02-27,LONG,1553.7,1521.0,1507.09,1623.62,10,-327.0,-2.1,4,Medium,5,Up,Weak,Good,N/A,Above 200 EMA,RSI(2)=78.6,Bullish reversal,Signal score 5/7
BHARTIARTL,2026-02-23,2026-02-24,2026-02-24,LONG,1997.3,1937.38,1937.38,2087.18,8,-479.36,-3.0,1,Medium,5,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=58.7,Bullish reversal,Signal score 5/7
BRITANNIA,2026-02-23,2026-02-24,2026-02-27,LONG,6083.0,6002.5,5900.51,6356.73,2,-161.0,-1.32,4,Medium,5,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=59.8,Bullish reversal,Signal score 5/7
COALINDIA,2026-02-23,2026-02-24,2026-02-27,LONG,424.0,430.65,411.28,443.08,39,259.35,1.57,4,Medium,5,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=84.7,Bullish reversal,Signal score 5/7
HEROMOTOCO,2026-02-23,2026-02-24,2026-02-25,LONG,5480.0,5726.6,5315.6,5726.6,3,739.8,4.5,2,Medium,5,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=53.0,Bullish reversal,Signal score 5/7
APOLLOHOSP,2026-02-25,2026-02-26,2026-03-04,LONG,7800.0,7566.0,7566.0,8151.0,2,-468.0,-3.0,4,Medium,5,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=96.5,Bullish reversal,Signal score 5/7
BHARTIARTL,2026-02-25,2026-02-26,2026-03-02,LONG,1914.0,1856.58,1856.58,2000.13,8,-459.36,-3.0,3,Medium,4,Up,Weak,Good,N/A,Below 200 EMA,RSI(2)=8.1,No reversal,Signal score 4/7
BPCL,2026-02-27,2026-03-02,2026-03-04,LONG,368.0,356.96,356.96,384.56,45,-496.8,-3.0,2,Medium,4,Up,Weak,Good,N/A,Above 200 EMA,RSI(2)=84.9,No reversal,Signal score 4/7
INDUSINDBK,2026-02-27,2026-03-02,2026-03-06,LONG,939.0,917.85,910.83,981.25,17,-359.55,-2.25,4,Medium,4,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=66.0,No reversal,Signal score 4/7
SBIN,2026-02-27,2026-03-02,2026-03-06,LONG,1185.0,1149.45,1149.45,1238.32,14,-497.7,-3.0,4,Medium,4,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=29.0,No reversal,Signal score 4/7
ADANIPORTS,2026-03-02,2026-03-04,2026-03-05,LONG,1435.0,1499.57,1391.95,1499.57,11,710.27,4.5,2,High,7,Up,Good,Good,N/A,Above 200 EMA,RSI(2)=9.1,Bullish reversal,Signal score 7/7
LT,2026-03-04,2026-03-05,2026-03-09,LONG,3924.2,3806.47,3806.47,4100.8,4,-470.92,-3.0,3,High,7,Up,Good,Good,N/A,Above 200 EMA,RSI(2)=1.3,Bullish reversal,Signal score 7/7
HEROMOTOCO,2026-03-04,2026-03-05,2026-03-09,LONG,5513.5,5348.1,5348.1,5761.6,3,-496.2,-3.0,3,Medium,5,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=11.4,Bullish reversal,Signal score 5/7
BPCL,2026-03-05,2026-03-06,2026-03-09,LONG,362.05,351.19,351.19,378.34,46,-499.56,-3.0,2,Medium,5,Up,Weak,Good,N/A,Above 200 EMA,RSI(2)=27.6,Bullish reversal,Signal score 5/7
ADANIPORTS,2026-03-06,2026-03-09,2026-03-10,LONG,1405.0,1468.23,1362.85,1468.23,11,695.53,4.5,2,Medium,4,Up,Weak,Good,N/A,Above 200 EMA,RSI(2)=45.8,No reversal,Signal score 4/7
COALINDIA,2026-03-06,2026-03-09,2026-03-12,LONG,439.0,458.75,425.83,458.75,37,730.75,4.5,4,Medium,4,Up,Weak,Good,N/A,Above 200 EMA,RSI(2)=49.2,No reversal,Signal score 4/7
SBIN,2026-03-09,2026-03-10,2026-03-12,LONG,1111.1,1077.77,1077.77,1161.09,15,-499.95,-3.0,3,High,7,Up,Good,Good,N/A,Above 200 EMA,RSI(2)=0.3,Bullish reversal,Signal score 7/7
INDUSINDBK,2026-03-09,2026-03-10,2026-03-12,LONG,892.0,865.24,865.24,932.14,18,-481.68,-3.0,3,Medium,5,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=5.6,No reversal,Signal score 5/7
ONGC,2026-03-09,2026-03-10,2026-03-13,LONG,270.85,264.1,262.72,283.05,61,-411.75,-2.49,4,Medium,4,Up,Weak,Good,N/A,Above 200 EMA,RSI(2)=14.5,No reversal,Signal score 4/7
POWERGRID,2026-03-10,2026-03-11,2026-03-16,LONG,298.65,297.75,289.69,312.09,55,-49.5,-0.3,4,Medium,5,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=63.7,Bullish reversal,Signal score 5/7
APOLLOHOSP,2026-03-12,2026-03-13,2026-03-18,LONG,7556.0,7471.0,7329.32,7896.02,2,-170.0,-1.12,4,Medium,5,Up,Weak,Good,N/A,Above 200 EMA,RSI(2)=8.6,No reversal,Signal score 5/7
BEL,2026-03-12,2026-03-13,2026-03-13,LONG,451.9,438.34,438.34,472.24,36,-488.16,-3.0,1,Medium,5,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=27.5,Bullish reversal,Signal score 5/7
JSWSTEEL,2026-03-12,2026-03-13,2026-03-13,LONG,1166.7,1131.7,1131.7,1219.2,14,-490.0,-3.0,1,Medium,5,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=17.6,Bullish reversal,Signal score 5/7
SBIN,2026-03-13,2026-03-16,2026-03-19,LONG,1048.7,1048.9,1017.24,1095.89,15,3.0,0.02,4,Medium,5,Up,Weak,Good,N/A,Above 200 EMA,RSI(2)=3.3,No reversal,Signal score 5/7
TATASTEEL,2026-03-13,2026-03-16,2026-03-17,LONG,183.0,191.24,177.51,191.24,91,749.84,4.5,2,Medium,5,Up,Weak,Good,N/A,Above 200 EMA,RSI(2)=4.7,No reversal,Signal score 5/7
TITAN,2026-03-13,2026-03-16,2026-03-19,LONG,4057.0,4037.9,3935.29,4239.57,4,-76.4,-0.47,4,Medium,5,Up,Weak,Good,N/A,Above 200 EMA,RSI(2)=9.0,No reversal,Signal score 5/7
BEL,2026-03-16,2026-03-17,2026-03-20,LONG,432.45,426.1,419.48,451.9,38,-241.3,-1.47,4,High,7,Up,Good,Good,N/A,Above 200 EMA,RSI(2)=3.3,Bullish reversal,Signal score 7/7
SHRIRAMFIN,2026-03-17,2026-03-18,2026-03-19,LONG,1013.3,982.9,982.9,1058.9,16,-486.4,-3.0,2,Medium,5,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=49.4,Bullish reversal,Signal score 5/7
TATASTEEL,2026-03-18,2026-03-19,2026-03-20,LONG,190.8,199.38,185.08,199.38,87,746.46,4.5,2,Medium,5,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=78.3,Bullish reversal,Signal score 5/7
APOLLOHOSP,2026-03-19,2026-03-20,2026-03-25,LONG,7231.5,7556.92,7014.55,7556.92,2,650.84,4.5,4,Medium,4,Up,Weak,Low,N/A,Below 200 EMA,RSI(2)=1.2,No reversal,Signal score 4/7
COALINDIA,2026-03-19,2026-03-20,2026-03-24,LONG,456.7,443.0,443.0,477.25,36,-493.2,-3.0,3,Medium,4,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=19.3,No reversal,Signal score 4/7
LT,2026-03-19,2026-03-20,2026-03-23,LONG,3475.0,3370.75,3370.75,3631.38,4,-417.0,-3.0,2,Low,3,Up,Weak,Good,N/A,Below 200 EMA,RSI(2)=22.0,No reversal,Signal score 3/7
HINDALCO,2026-03-20,2026-03-23,2026-03-27,LONG,855.0,866.7,829.35,893.47,19,222.3,1.37,4,Medium,5,Up,Weak,Good,N/A,Above 200 EMA,RSI(2)=6.2,No reversal,Signal score 5/7
BAJAJ-AUTO,2026-03-20,2026-03-23,2026-03-27,LONG,8989.5,8901.0,8719.82,9394.02,1,-88.5,-0.98,4,Medium,4,Up,Weak,Good,N/A,Above 200 EMA,RSI(2)=52.7,No reversal,Signal score 4/7
BEL,2026-03-23,2026-03-24,2026-03-30,LONG,412.5,400.12,400.12,431.07,40,-495.2,-3.0,4,Medium,5,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=3.8,No reversal,Signal score 5/7
AXISBANK,2026-03-24,2026-03-25,2026-03-30,LONG,1200.0,1164.0,1164.0,1254.0,13,-468.0,-3.0,3,Medium,4,Up,Weak,Good,N/A,Below 200 EMA,RSI(2)=50.7,Bullish reversal,Signal score 4/7
COALINDIA,2026-03-25,2026-03-27,2026-04-02,LONG,446.0,449.35,432.62,466.07,37,123.95,0.75,4,Medium,5,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=25.2,Bullish reversal,Signal score 5/7
APOLLOHOSP,2026-03-27,2026-03-30,2026-04-02,LONG,7470.0,7245.9,7245.9,7806.15,2,-448.2,-3.0,3,Medium,4,Up,Weak,Good,N/A,Above 200 EMA,RSI(2)=70.3,No reversal,Signal score 4/7
SHRIRAMFIN,2026-03-27,2026-03-30,2026-04-06,LONG,888.0,927.96,861.36,927.96,18,719.28,4.5,4,Medium,4,Up,Weak,Good,N/A,Above 200 EMA,RSI(2)=34.5,No reversal,Signal score 4/7
HINDALCO,2026-03-30,2026-04-01,2026-04-07,LONG,909.0,949.9,881.73,949.9,18,736.2,4.5,4,Medium,4,Up,Weak,Good,N/A,Above 200 EMA,RSI(2)=83.8,No reversal,Signal score 4/7
ONGC,2026-03-30,2026-04-01,2026-04-06,LONG,290.0,281.3,281.3,303.05,57,-495.9,-3.0,3,Medium,4,Up,Weak,Good,N/A,Above 200 EMA,RSI(2)=98.7,No reversal,Signal score 4/7
POWERGRID,2026-04-02,2026-04-06,2026-04-09,LONG,294.9,298.1,286.05,308.17,56,179.2,1.09,4,High,7,Up,Good,Low,N/A,Above 200 EMA,RSI(2)=5.7,Bullish reversal,Signal score 7/7
TITAN,2026-04-02,2026-04-06,2026-04-08,LONG,4105.0,4289.73,3981.85,4289.73,4,738.92,4.5,3,Medium,4,Up,Weak,Good,N/A,Above 200 EMA,RSI(2)=83.9,No reversal,Signal score 4/7
APOLLOHOSP,2026-04-06,2026-04-07,2026-04-10,LONG,7370.5,7511.5,7149.39,7702.16,2,282.0,1.91,4,Medium,5,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=59.4,Bullish reversal,Signal score 5/7
SUNPHARMA,2026-04-06,2026-04-07,2026-04-10,LONG,1689.8,1639.11,1639.11,1765.84,9,-456.21,-3.0,4,Medium,5,Up,Weak,Good,N/A,Below 200 EMA,RSI(2)=7.6,Bullish reversal,Signal score 5/7
AXISBANK,2026-04-07,2026-04-08,2026-04-10,LONG,1300.1,1358.6,1261.1,1358.6,12,702.0,4.5,3,Medium,4,Up,Weak,Good,N/A,Above 200 EMA,RSI(2)=90.8,No reversal,Signal score 4/7
HINDALCO,2026-04-08,2026-04-09,2026-04-15,LONG,959.0,1002.15,930.23,1002.15,17,733.55,4.5,4,Medium,4,Up,Weak,Good,N/A,Above 200 EMA,RSI(2)=87.4,No reversal,Signal score 4/7
HEROMOTOCO,2026-04-09,2026-04-10,2026-04-16,LONG,5297.0,5138.09,5138.09,5535.36,3,-476.73,-3.0,4,Medium,5,Up,Weak,Good,N/A,Above 200 EMA,RSI(2)=83.5,Bullish reversal,Signal score 5/7
POWERGRID,2026-04-10,2026-04-13,2026-04-16,LONG,299.95,313.45,290.95,313.45,55,742.5,4.5,3,Medium,4,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=95.8,No reversal,Signal score 4/7
ADANIPORTS,2026-04-13,2026-04-15,2026-04-16,LONG,1484.3,1551.09,1439.77,1551.09,11,734.69,4.5,2,Medium,4,Up,Weak,Good,N/A,Above 200 EMA,RSI(2)=66.3,No reversal,Signal score 4/7
APOLLOHOSP,2026-04-13,2026-04-15,2026-04-20,LONG,7516.5,7657.0,7291.01,7854.73,2,281.0,1.87,4,Medium,4,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=92.1,No reversal,Signal score 4/7
ONGC,2026-04-15,2026-04-16,2026-04-21,LONG,288.0,283.1,279.36,300.96,57,-279.3,-1.7,4,Medium,4,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=62.5,No reversal,Signal score 4/7
HINDALCO,2026-04-16,2026-04-17,2026-04-22,LONG,1036.5,1039.9,1005.4,1083.15,16,54.4,0.33,4,Medium,4,Up,Weak,Good,N/A,Above 200 EMA,RSI(2)=93.2,No reversal,Signal score 4/7
SBIN,2026-04-16,2026-04-17,2026-04-20,LONG,1067.0,1115.01,1034.99,1115.01,15,720.15,4.5,2,Medium,4,Up,Weak,Good,N/A,Above 200 EMA,RSI(2)=56.2,No reversal,Signal score 4/7
INDUSINDBK,2026-04-17,2026-04-20,2026-04-23,LONG,853.9,860.35,828.28,892.33,19,122.55,0.76,4,Medium,5,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=88.5,Bullish reversal,Signal score 5/7
SBIN,2026-04-21,2026-04-22,2026-04-27,LONG,1110.0,1111.85,1076.7,1159.95,15,27.75,0.17,4,Medium,5,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=96.4,Bullish reversal,Signal score 5/7
APOLLOHOSP,2026-04-21,2026-04-22,2026-04-27,LONG,7702.0,7825.0,7470.94,8048.59,2,246.0,1.6,4,Medium,4,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=80.5,No reversal,Signal score 4/7
AXISBANK,2026-04-21,2026-04-22,2026-04-27,LONG,1370.0,1328.9,1328.9,1431.65,12,-493.2,-3.0,4,Medium,4,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=89.6,No reversal,Signal score 4/7
ONGC,2026-04-22,2026-04-23,2026-04-28,LONG,284.85,297.68,276.3,297.68,58,744.14,4.5,4,Medium,5,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=54.5,Bullish reversal,Signal score 5/7
BEL,2026-04-23,2026-04-24,2026-04-27,LONG,450.0,436.5,436.5,470.25,37,-499.5,-3.0,2,Medium,5,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=36.7,Bullish reversal,Signal score 5/7
SUNPHARMA,2026-04-27,2026-04-28,2026-04-30,LONG,1724.0,1801.58,1672.28,1801.58,9,698.22,4.5,3,Medium,4,Up,Weak,Good,N/A,Above 200 EMA,RSI(2)=79.2,No reversal,Signal score 4/7
AXISBANK,2026-04-28,2026-04-29,2026-05-05,LONG,1295.0,1256.15,1256.15,1353.27,12,-466.2,-3.0,4,Medium,5,Up,Weak,Good,N/A,Above 200 EMA,RSI(2)=1.6,No reversal,Signal score 5/7
BEL,2026-04-28,2026-04-29,2026-05-05,LONG,437.05,433.35,423.94,456.72,38,-140.6,-0.85,4,Medium,5,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=6.1,No reversal,Signal score 5/7
SHRIRAMFIN,2026-04-28,2026-04-29,2026-04-30,LONG,965.0,936.05,936.05,1008.43,17,-492.15,-3.0,2,Medium,5,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=1.8,No reversal,Signal score 5/7
APOLLOHOSP,2026-04-28,2026-04-29,2026-05-05,LONG,7745.0,7772.0,7512.65,8093.53,2,54.0,0.35,4,Medium,4,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=42.0,No reversal,Signal score 4/7
ADANIPORTS,2026-04-30,2026-05-04,2026-05-06,LONG,1702.0,1748.3,1650.94,1778.59,9,416.7,2.72,3,Medium,5,Up,Weak,Good,N/A,Above 200 EMA,RSI(2)=80.1,Bullish reversal,Signal score 5/7
INDUSINDBK,2026-04-30,2026-05-04,2026-05-06,LONG,925.25,946.75,897.49,966.89,18,387.0,2.32,3,Medium,4,Up,Weak,Good,N/A,Above 200 EMA,RSI(2)=83.0,No reversal,Signal score 4/7
ONGC,2026-05-05,2026-05-06,2026-05-06,LONG,289.95,281.25,281.25,303.0,57,-495.9,-3.0,1,Medium,4,Up,Weak,Low,N/A,Above 200 EMA,RSI(2)=13.2,No reversal,Signal score 4/7
