symbol,signal_date,entry_date,exit_date,side,entry_price,exit_price,stop_loss,target_price,quantity,pnl,pnl_pct,holding_days,confidence,score,market_trend,entry_point,avg_volume,macd_crossover,ema_crossover,price_position,bullish_reversal,comments
SBIN,2025-07-11,2025-07-11,2025-07-22,LONG,807.55,815.0,767.17,888.31,12,89.4,0.92,10,Medium,4,Up,Weak,Low,No MACD cross,Pullback to 20 EMA,RSI cooling,No reversal,Signal score 4/7
ETERNAL,2025-07-14,2025-07-14,2025-07-22,LONG,264.95,291.45,251.7,291.45,37,980.5,10.0,7,Medium,4,Up,Weak,Low,No MACD cross,Pullback to 20 EMA,RSI cooling,No reversal,Signal score 4/7
ASIANPAINT,2025-07-14,2025-07-15,2025-07-28,LONG,2409.9,2359.6,2289.41,2650.88,4,-201.2,-2.09,10,Medium,4,Up,Weak,Low,MACD cross,Pullback to 20 EMA,RSI cooling,No reversal,Signal score 4/7
BAJAJFINSV,2025-07-14,2025-07-15,2025-07-28,LONG,2010.0,1977.8,1909.5,2211.0,4,-128.8,-1.6,10,Medium,4,Up,Weak,Low,No MACD cross,Pullback to 20 EMA,RSI cooling,No reversal,Signal score 4/7
DRREDDY,2025-07-15,2025-07-16,2025-07-29,LONG,1260.9,1299.8,1197.86,1386.98,7,272.3,3.09,10,Medium,5,Up,Weak,Low,No MACD cross,Pullback to 20 EMA,RSI cooling,Bullish reversal,Signal score 5/7
SBIN,2025-07-23,2025-07-24,2025-08-06,LONG,820.0,805.15,779.0,902.0,12,-178.2,-1.81,10,Medium,5,Up,Weak,Good,No MACD cross,Pullback to 20 EMA,RSI cooling,No reversal,Signal score 5/7
BAJAJ-AUTO,2025-07-23,2025-07-24,2025-07-31,LONG,8409.5,7989.02,7989.02,9250.46,1,-420.48,-5.0,6,Medium,4,Up,Weak,Low,MACD cross,Pullback to 20 EMA,RSI cooling,No reversal,Signal score 4/7
HEROMOTOCO,2025-07-28,2025-07-29,2025-08-11,LONG,4290.0,4562.2,4075.5,4719.0,2,544.4,6.34,10,Medium,5,Up,Weak,Low,No MACD cross,Pullback to 20 EMA,RSI cooling,Bullish reversal,Signal score 5/7
ASIANPAINT,2025-07-29,2025-07-30,2025-08-12,LONG,2409.0,2478.3,2288.55,2649.9,4,277.2,2.88,10,Medium,5,Up,Weak,Good,No MACD cross,Pullback to 20 EMA,RSI cooling,No reversal,Signal score 5/7
BEL,2025-07-29,2025-07-30,2025-08-12,LONG,390.95,380.35,371.4,430.05,25,-265.0,-2.71,10,Medium,5,Up,Weak,Good,No MACD cross,Away from 20 EMA,RSI cooling,Bullish reversal,Signal score 5/7
