date,equity
2026-03-02,23788.14
2026-03-04,22629.899999999998
2026-03-06,21455.579999999998
2026-03-11,20270.579999999998
2026-03-23,19038.239999999998
2026-04-02,17809.87
2026-03-13,16632.62
2026-03-13,15389.259999999998
2026-04-15,16969.26
2026-03-24,15923.729999999998
2026-04-16,17604.929999999997
2026-04-15,20598.029999999995
2026-04-16,23560.529999999995
2026-05-05,24429.229999999996
2026-05-06,25447.229999999996
2026-05-06,25633.229999999996
2026-04-28,24406.829999999994
2026-05-06,23716.829999999994
2026-05-06,24999.079999999994
2026-05-06,24789.079999999994
