date,equity
2026-03-02,24689.24
2026-02-27,24389.63
2026-03-12,24085.48
2026-03-12,24806.28
2026-03-04,24457.98
2026-03-20,24489.98
2026-03-12,24293.77
2026-03-13,23931.97
2026-03-16,23559.83
2026-03-23,23192.63
2026-03-23,22829.91
2026-04-01,23569.11
2026-03-23,23194.61
2026-04-02,22877.81
2026-04-08,23603.41
2026-04-15,23784.41
2026-04-08,24464.31
2026-04-20,25164.31
2026-04-16,25881.91
2026-04-27,26553.21
2026-04-27,26618.809999999998
2026-04-28,26278.309999999998
2026-04-27,25911.909999999996
2026-05-05,25578.909999999996
2026-05-06,25719.409999999996
2026-05-06,26224.209999999995
2026-05-06,26303.659999999996
2026-05-06,26323.209999999995
2026-05-06,26534.009999999995
