date,equity
2026-03-02,24813.56
2026-03-04,24668.780000000002
2026-03-06,24501.020000000004
2026-03-23,24265.040000000005
2026-02-27,24025.360000000004
2026-03-04,23781.700000000004
2026-04-02,23558.360000000004
2026-03-13,23384.700000000004
2026-04-01,23152.050000000003
2026-03-23,22902.450000000004
2026-04-16,23182.650000000005
2026-04-15,23726.850000000006
2026-04-16,24319.350000000006
2026-04-27,24898.500000000007
2026-05-05,25051.800000000007
2026-05-06,25089.000000000007
2026-04-28,24843.72000000001
2026-05-06,24940.320000000007
2026-05-06,25163.320000000007
2026-05-06,25173.670000000006
2026-05-06,25245.670000000006
