date,equity
2025-07-25,24778.15
2025-07-24,24409.65
2025-07-28,24045.9
2025-07-30,24081.0
2025-07-25,23775.36
2025-08-07,23403.36
2025-08-11,23238.36
2025-08-11,23510.56
2025-08-12,23309.16
2025-08-14,23761.26
2025-08-22,23713.76
2025-08-26,23345.35
2025-08-29,23738.35
2025-08-29,23562.85
2025-09-02,23557.68
2025-09-08,23587.28
2025-09-10,23606.18
2025-09-12,23594.18
2025-09-08,24259.18
2025-09-04,23975.68
2025-09-18,24113.28
2025-09-23,23932.48
2025-09-24,23659.98
2025-09-25,23658.48
2025-09-29,23779.079999999998
2025-10-03,24034.23
2025-09-29,23768.73
2025-09-29,23399.94
2025-10-10,23382.34
2025-10-14,23663.14
2025-10-14,23676.34
2025-10-15,24339.89
2025-10-17,24407.39
2025-10-27,24345.59
2025-10-29,24469.59
2025-10-29,24807.09
2025-10-30,24707.49
2025-10-23,24345.24
2025-11-06,23980.11
2025-10-30,23659.11
2025-11-13,23875.11
2025-11-04,23596.58
2025-11-14,23870.58
2025-11-11,23553.33
2025-11-19,23825.730000000003
2025-11-18,24356.230000000003
2025-11-25,24495.030000000002
2025-11-27,24680.63
2025-11-24,24316.83
2025-12-02,24412.33
2025-12-03,24240.33
2025-12-08,24613.83
2025-12-08,24244.65
2025-12-11,24428.25
2025-12-17,24371.25
2025-12-17,24404.85
2025-12-22,24210.85
2025-12-22,24330.449999999997
2025-12-26,24332.549999999996
2026-01-02,24305.049999999996
2026-01-02,24269.549999999996
2026-01-06,24602.349999999995
2026-01-06,24763.449999999993
2026-01-09,24528.549999999992
2026-01-19,24620.949999999993
2026-01-20,24464.949999999993
2026-01-08,24093.349999999995
2026-01-13,23780.199999999993
2026-01-23,23895.399999999994
2026-01-27,24100.899999999994
2026-01-29,24327.299999999996
2026-01-27,24053.299999999996
2026-01-29,24800.299999999996
2026-01-29,25540.099999999995
2026-02-10,25770.899999999994
2026-01-28,25413.899999999994
2026-01-30,25105.289999999994
2026-02-12,25325.289999999994
2026-02-12,25582.089999999993
2026-02-04,25248.089999999993
2026-02-13,25274.489999999994
2026-02-18,25245.489999999994
2026-02-25,25314.689999999995
2026-02-26,25585.689999999995
2026-02-27,25840.689999999995
2026-02-27,25986.689999999995
2026-03-05,26150.039999999994
2026-03-04,25822.239999999994
2026-03-16,26015.989999999994
2026-03-16,26300.789999999994
2026-03-09,25958.489999999994
2026-03-13,25596.689999999995
2026-03-13,25262.439999999995
2026-03-12,24903.559999999994
2026-03-16,24541.959999999995
2026-03-20,24170.359999999997
2026-03-19,23820.359999999997
2026-03-23,23445.859999999997
2026-04-01,23406.26
2026-04-01,23671.46
2026-04-07,23772.26
2026-03-23,23400.26
2026-04-10,23450.76
2026-04-13,23911.109999999997
2026-04-16,24644.51
2026-04-20,24719.51
2026-04-23,24741.91
2026-04-27,24792.61
2026-04-28,24604.61
2026-04-30,25024.510000000002
2026-05-06,25023.11
2026-05-06,25210.31
2026-05-06,25121.31
2026-05-06,25268.61
2026-05-06,25488.21
